,Game ID,points
0,0.0,95
1,1.0,95
2,2.0,102
3,3.0,114
4,4.0,102
5,5.0,118
6,6.0,101
7,7.0,114
8,9.0,90
9,10.0,
10,11.0,105
11,12.0,117
12,13.0,101
13,14.0,113
14,15.0,111
15,16.0,108
16,17.0,107
17,18.0,133
18,19.0,88
19,20.0,110
20,21.0,123
21,22.0,110
22,23.0,85
23,24.0,120
24,25.0,118
25,26.0,94
26,27.0,108
27,28.0,116
28,29.0,102
29,30.0,124
30,31.0,89
31,32.0,101
32,33.0,97
33,34.0,108
34,35.0,116
35,36.0,106
36,37.0,99
37,38.0,96
38,40.0,-1
39,41.0,105
40,42.0,112
41,43.0,117
42,44.0,108
43,45.0,93
44,46.0,
45,47.0,133
46,48.0,121
47,49.0,99
48,50.0,107
49,51.0,
50,52.0,122
51,53.0,106
52,54.0,
53,55.0,99
54,56.0,
55,57.0,109
56,58.0,119
57,59.0,128
58,60.0,98
59,61.0,
60,62.0,103
61,63.0,118
62,64.0,121
63,65.0,101
64,66.0,94
65,67.0,92
66,69.0,104
67,70.0,98
68,71.0,119
69,72.0,120
70,73.0,
71,74.0,124
72,75.0,114
73,76.0,122
74,77.0,122
75,78.0,
76,79.0,88
77,80.0,101
78,81.0,107
79,83.0,88
80,84.0,109
81,85.0,105
82,86.0,104
83,87.0,119
84,88.0,105
85,89.0,97
86,90.0,107
87,91.0,-1
88,92.0,121
89,93.0,109
90,94.0,93
91,95.0,111
92,96.0,135
93,97.0,103
94,98.0,110
95,99.0,110
96,100.0,
97,101.0,
98,102.0,
99,103.0,
100,,129
101,,126
102,,111
103,,120
