,Game ID,points
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,9,-1
9,10,-1
10,11,
11,12,-1
12,13,-1
13,14,-1
14,15,-1
15,16,-1
16,17,-1
17,18,-1
18,19,-1
19,20,-1
20,21,-1
21,22,91
22,23,-1
23,24,-1
24,25,-1
25,26,-1
26,27,-1
27,28,-1
28,29,-1
29,30,-1
30,31,-1
31,32,-1
32,33,-1
33,34,-1
34,35,-1
35,36,-1
36,37,-1
37,38,-1
38,40,-1
39,41,-1
40,42,-1
41,43,-1
42,44,-1
43,45,-1
44,46,-1
45,47,-1
46,48,-1
47,49,-1
48,50,-1
49,51,-1
50,52,-1
51,53,-1
52,54,-1
53,55,-1
54,56,-1
55,57,-1
56,58,-1
57,59,-1
58,60,-1
59,61,-1
60,62,-1
61,63,-1
62,64,-1
63,65,-1
64,66,-1
65,67,-1
66,69,-1
67,70,-1
68,71,-1
69,72,-1
70,73,-1
71,74,-1
72,75,-1
73,76,-1
74,77,-1
75,78,-1
76,79,-1
77,80,-1
78,81,-1
79,83,-1
80,84,-1
81,85,-1
82,86,-1
83,87,-1
84,88,-1
85,89,-1
86,90,-1
87,91,-1
88,92,-1
89,93,-1
90,94,-1
91,95,117
92,96,-1
93,97,-1
94,98,-1
95,99,-1
96,100,-1
97,101,-1
98,102,-1
99,103,-1
100,104,-1
101,105,-1
102,106,-1
103,107,117
104,108,-1
105,109,-1
106,110,-1
107,111,-1
108,112,-1
109,113,-1
110,114,-1
111,115,-1
112,116,-1
113,117,-1
114,118,-1
115,119,-1
116,120,-1
117,121,115
118,124,-1
119,125,-1
120,126,-1
121,127,-1
122,128,-1
123,129,-1
124,130,-1
125,131,-1
126,132,-1
127,133,-1
128,134,-1
129,135,-1
130,136,-1
131,137,-1
132,138,-1
133,139,-1
134,140,-1
135,141,-1
136,142,-1
137,143,-1
138,144,-1
139,145,-1
140,146,-1
141,147,-1
142,148,-1
143,149,-1
144,151,-1
145,152,-1
146,153,-1
147,154,-1
148,156,-1
149,157,-1
150,158,-1
151,159,-1
152,160,-1
153,161,-1
154,162,-1
155,163,-1
156,164,-1
157,165,-1
158,166,-1
159,167,-1
160,168,-1
161,169,-1
162,170,-1
163,171,-1
164,172,-1
165,173,-1
166,174,-1
167,175,-1
168,176,-1
169,177,-1
170,178,-1
171,179,-1
172,180,-1
173,181,-1
174,182,-1
175,183,-1
176,184,-1
177,185,-1
178,186,-1
179,187,-1
180,188,-1
181,189,-1
182,190,-1
183,191,-1
184,193,-1
185,194,-1
186,195,-1
187,196,-1
188,197,-1
189,198,-1
190,200,-1
191,201,-1
192,202,-1
193,203,-1
194,204,-1
195,205,-1
196,206,-1
197,207,-1
198,208,-1
199,209,-1
