,Game ID,points
0,0,-1
1,1,107
2,2,119
3,3,125
4,4,98
5,5,111
6,6,104
7,7,94
8,9,-1
9,10,102
10,11,-1
11,12,132
12,13,108
13,14,97
14,15,-1
15,16,
16,17,
17,18,120
18,19,133
19,20,125
20,21,91
21,22,-1
22,23,-1
23,24,91
24,25,119
25,26,109
26,27,91
27,28,90
28,29,123
29,30,
30,31,110
31,32,105
32,33,104
33,34,107
34,35,107
35,36,95
36,37,95
37,38,101
38,40,
39,41,96
40,42,88
41,43,98
42,44,122
43,45,
44,46,88
45,47,-1
46,48,121
47,49,
48,50,102
49,51,117
50,52,-1
51,53,112
52,54,
53,55,108
54,56,
55,57,101
56,58,
57,59,117
58,60,-1
59,61,108
60,62,126
61,63,94
62,64,
63,65,-1
64,66,120
65,67,124
66,69,90
67,70,126
68,71,101
69,72,120
70,73,99
71,74,110
72,75,128
73,76,113
74,77,128
75,78,105
76,79,
77,80,
78,81,
79,83,
80,84,
81,85,110
82,86,-1
83,87,93
84,88,
85,89,103
86,90,113
87,91,
88,92,98
89,93,109
90,94,
91,95,117
92,96,-1
93,97,105
94,98,78
95,99,118
96,100,-1
97,101,
98,102,-1
99,103,102
100,104,107
101,105,101
102,106,92
103,107,-1
104,108,122
105,109,102
106,110,109
107,111,114
108,112,122
109,113,114
110,114,101
111,115,98
112,116,113
113,117,108
114,118,96
115,119,105
116,120,
117,121,-1
118,124,111
119,125,107
120,126,103
121,127,91
122,128,112
123,129,101
124,130,107
125,131,
126,132,-1
127,133,113
128,134,100
129,135,107
130,136,94
131,137,
132,138,97
133,139,90
134,140,
135,141,107
136,142,116
137,143,
138,144,119
139,145,123
140,146,93
141,147,23
142,148,
143,149,103
144,151,106
145,152,99
146,153,96
147,154,114
148,156,
149,157,104
150,158,-1
151,159,110
152,160,121
153,161,103
154,162,121
155,163,106
156,164,
157,165,
158,166,-1
159,167,94
160,168,106
161,169,
162,170,-1
163,171,109
164,172,102
165,173,121
166,174,121
167,175,
168,176,-1
169,177,103
170,178,106
171,179,
172,180,108
173,181,
174,182,
175,183,-1
176,184,-1
177,185,103
178,186,109
179,187,123
180,188,119
181,189,113
182,190,104
183,191,111
184,193,85
185,194,89
186,195,106
187,196,-1
188,197,
189,198,107
190,200,113
191,201,
192,202,97
193,203,105
194,204,116
195,205,-1
196,206,
197,207,114
198,208,107
199,209,117
200,210,23
201,212,80
202,213,108
203,215,109
204,216,124
205,217,114
206,218,120
207,219,-1
208,220,98
209,221,-1
210,222,118
211,223,110
212,224,-1
213,225,102
214,226,99
215,227,105
216,228,133
217,229,99
218,230,-1
219,231,135
220,232,
221,233,114
222,234,101
223,235,
224,236,-1
225,237,106
226,238,99
227,239,91
228,240,-1
229,241,121
230,242,-1
231,243,100
232,244,-1
233,245,135
234,246,121
235,247,105
236,248,121
237,249,111
238,250,108
239,251,94
240,252,98
241,253,-1
242,254,103
243,256,118
244,257,109
245,258,110
246,259,108
247,260,
248,261,-1
249,262,-1
250,263,-1
251,264,107
252,265,
253,266,-1
254,268,106
255,269,101
256,270,120
257,271,-1
258,272,91
259,273,-1
260,275,
261,276,
262,277,-1
263,278,
264,279,129
265,280,95
266,281,-1
267,282,122
268,283,106
269,284,117
270,285,109
271,286,101
272,287,-1
273,288,20
274,289,
275,291,108
276,292,117
277,293,
278,295,
279,296,-1
280,297,116
281,298,106
282,299,101
283,300,98
284,301,
285,302,109
286,303,99
287,304,114
288,305,112
289,306,-1
290,307,85
291,308,-1
292,309,119
293,310,124
294,311,113
295,312,93
296,314,-1
297,315,92
298,316,
299,317,103
