,Game ID,points
0,0,106
1,1,81
2,2,81
3,3,98
4,4,81
5,5,81
6,6,81
7,7,81
8,9,-1
9,10,104
10,11,107
11,12,104
12,13,
13,14,104
14,15,98
15,16,81
16,17,98
17,18,81
18,19,-1
19,20,81
20,21,98
21,22,19
22,23,81
23,24,81
24,25,98
25,26,81
26,27,104
27,28,98
28,29,98
29,30,104
30,31,-1
31,32,104
32,33,104
33,34,98
34,35,104
35,36,81
36,37,98
37,38,81
38,40,
39,41,110
40,42,81
41,43,-1
42,44,81
43,45,81
44,46,98
45,47,104
46,48,98
47,49,98
48,50,104
49,51,100
50,52,98
51,53,110
52,54,104
53,55,104
54,56,-1
55,57,104
56,58,81
57,59,-1
58,60,98
59,61,104
60,62,-1
61,63,81
62,64,105
63,65,-1
64,66,81
65,67,81
66,69,104
67,70,104
68,71,81
69,72,81
70,73,81
71,74,104
72,75,98
73,76,-1
74,77,104
75,78,104
76,79,81
77,80,111
78,81,-1
79,83,104
80,84,98
81,85,98
82,86,98
83,87,81
84,88,81
85,89,104
86,90,96
87,91,98
88,92,81
89,93,81
90,94,81
91,95,55
92,96,104
93,97,81
94,98,81
95,99,98
96,100,98
97,101,81
98,102,103
99,103,98
100,104,104
101,105,104
102,106,81
103,107,24
104,108,98
105,109,104
106,110,98
107,111,104
108,112,104
109,113,81
110,114,81
111,115,98
112,116,81
113,117,98
114,118,104
115,119,98
116,120,81
117,121,117
118,124,104
119,125,94
120,126,98
121,127,81
122,128,110
123,129,98
124,130,81
125,131,81
126,132,81
127,133,104
128,134,107
129,135,81
130,136,98
131,137,81
132,138,81
133,139,117
134,140,98
135,141,104
136,142,104
137,143,104
138,144,98
139,145,
140,146,81
141,147,104
142,148,81
143,149,98
144,151,81
145,152,98
146,153,18
147,154,61
148,156,98
149,157,81
150,158,110
151,159,44
152,160,104
153,161,126
154,162,98
155,163,81
156,164,104
157,165,81
158,166,98
159,167,98
160,168,104
161,169,81
162,170,118
163,171,81
164,172,104
165,173,81
166,174,81
167,175,98
168,176,81
169,177,81
170,178,104
171,179,
172,180,98
173,181,104
174,182,98
175,183,-1
176,184,104
177,185,104
178,186,81
179,187,116
180,188,33
181,189,98
182,190,81
183,191,81
184,193,81
185,194,98
186,195,98
187,196,98
188,197,104
189,198,81
190,200,98
191,201,
192,202,104
193,203,81
194,204,99
195,205,98
196,206,104
197,207,98
198,208,104
199,209,104
200,210,104
201,212,104
202,213,81
203,215,98
204,216,104
205,217,
206,218,98
207,219,101
208,220,81
209,221,-1
210,222,81
211,223,98
212,224,98
213,225,98
214,226,116
215,227,81
216,228,98
217,229,98
218,230,81
219,231,98
220,232,117
221,233,81
222,234,98
223,235,104
224,236,98
225,237,81
226,238,-1
227,239,98
228,240,-1
229,241,104
230,242,105
231,243,104
232,244,-1
233,245,81
234,246,98
235,247,98
236,248,26
237,249,104
238,250,104
239,251,98
240,252,81
241,253,
242,254,104
