,Game ID,points
0,0,
1,1,-1
2,2,105
3,3,
4,4,98
5,5,105
6,6,94
7,7,
8,9,29
9,10,110
10,11,-1
11,12,99
12,13,95
13,14,121
14,15,104
15,16,124
16,17,-1
17,18,
18,19,133
19,20,
20,21,
21,22,123
22,23,88
23,24,97
24,25,103
25,26,108
26,27,133
27,28,111
28,29,109
29,30,93
30,31,104
31,32,
32,33,109
33,34,107
34,35,93
35,36,120
36,37,
37,38,95
38,40,
39,41,103
40,42,
41,43,103
42,44,120
43,45,69
44,46,117
45,47,
46,48,88
47,49,102
48,50,128
49,51,123
50,52,112
51,53,99
52,54,105
53,55,-1
54,56,24
55,57,
56,58,-1
57,59,-1
58,60,117
59,61,94
60,62,
61,63,110
62,64,-1
63,65,-1
64,66,135
65,67,110
66,69,122
67,70,114
68,71,101
69,72,98
70,73,121
71,74,106
72,75,110
73,76,-1
74,77,119
75,78,89
76,79,101
77,80,
78,81,
79,83,114
80,84,107
81,85,107
82,86,99
83,87,-1
84,88,107
85,89,126
86,90,-1
87,91,101
88,92,105
89,93,108
90,94,119
91,95,-1
92,96,109
93,97,121
94,98,118
95,99,-1
96,100,122
97,101,120
98,102,-1
99,103,90
