rotten_tomatoes_link,movie_title_1,movie_info_1
m/0878835,Please Give,"Kate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences."
m/10002516-lost_city,The Lost City,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista."
m/10004050-bandwagon,Bandwagon,"When Tony (Lee Holmes) loses his job, he decides to focus on singing and writing songs. He then starts a band with his friends: Wynn (Kevin Corrigan) plays guitar, Eric (Steve Parlavecchio) is on bass and Charlie (Matthew Hennessey) mans the drums. Though an encounter with a loan shark almost ends the group's career before it starts, they soon team up with manager Chester (Doug MacMillan) and hit the road, where they learn that the rock 'n' roll lifestyle isn't everything it's cracked up to be."
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,"The offspring of rival pizzeria owners (Vincent Pastore, Frank Vincent) fall in love as their fathers battle over who makes the best pie."
m/10004352-going_the_distance,Going the Distance,"Nick (Christopher Jacot) is a successful young man whose comfortable West Coast life couldn't be better. However, when his girlfriend falls under the influence of lecherous music producer Lenny Swackhammer (Jason Priestley), Nick impulsively decides to travel to Toronto to intervene. Nick's buddies Tyler (Shawn Roberts) and Dime (Ryan Belleville) opt to turn the quest into a cross-country road trip that's complete with wacky antics and encounters with beautiful women."
m/10004684-malevolence,Malevolence,"Bank robbers (Brandon Johnson, Heather Magee) take two hostages to a rural farmhouse where a serial killer lurks."
m/1000580-alexander_the_great,Alexander the Great,"The son of Philip of Macedonia (Fredric March) and Olympias (Danielle Darrieux), Alexander the Great (Richard Burton) is one of the most legendary leaders throughout history. As the Macedonian king, Alexander successfully unites all the ancient Greek tribes and leads them to defeat the imposing Persian Empire. With the fall of Babylon, Alexander continues to conquer most of the known world. Eventually, he achieves the status of unparalleled ruler atop his newly formed Greek empire."
m/10006270,When Do We Eat?,"Members of the Stuckman family gather for Seder with patriarch Ira (Michael Lerner), an old-fashioned man who pushes his sons as hard as his own father (Jack Klugman) pushed him. Chaos erupts when one of Ira's sons slips him a hit of Ecstasy, turning him into a modern Moses."
m/10006343-dirty,Dirty,"Armando Sancho (Clifton Collins Jr.) is a former Los Angeles gang member who has transitioned into law enforcement. Sancho, however, who is surrounded by corruption, finds that life as a police officer is just as morally bankrupt as life as a gangster. After being implicated in the shooting of an innocent man himself, Sancho is then pressured to testify against his loose-cannon friend and partner, Salim Adel (Cuba Gooding Jr.), who has a history of abusing citizens."
m/10007598-cocaine_cowboys,Cocaine Cowboys,"Filmmaker Billy Corben recalls Miami drug wars of the 1970s and '80s, when Colombian drug lords turned the relatively quiet Florida city into a breeding ground for violence and excess. Corben interviews so-called ""survivors"" of the era, including dealers, smugglers and hit men."
