,id,claim
0,162664,Norman Bates is a fictional character.
1,103154,Sky UK is a company which serves the United Kingdom.
2,179088,Cate Blanchett starred in the film The Good German.
3,34769,Multiple people were involved in the development of Team Fortress 2.
4,62491,Battle of the Bastards had a viewership of over a million in its initial broadcast.
5,127166,Alvin and the Chipmunks was directed in America.
6,223678,UNICEF UK is a National Committee.
7,152730,Food Network is available in the United States.
8,91111,Half Girlfriend was partially filmed in India.
9,169313,Hammer Film Productions has worked on horror movies.
10,84292,Google Search can return etymology and synonyms.
11,61366,Jefferson Davis grew up.
12,99461,Personality is affected by the hindrance of values.
13,165694,Paula Abdul was an American Idol (season 8) judge.
14,23934,Solanum contains flora that have fruit.
15,22409,Faye Resnick is an interior designer.
16,93901,DodgeBall: A True Underdog Story has Vince Vaughn and Ben Stiller in starring roles.
17,224137,Celebrity Rehab with Dr. Drew is a TV show.
18,132834,Gamal Abdel Nasser's business was in the capital of Egypt.
19,197636,There was a contribution of the identification of the remains of King Richard III by the University of Leicester.
20,83173,Sky UK is a company which serves a sovereign country in debt.
21,187390,Rob McElhenney plays the character Mac on It's Always Sunny in Philadelphia.
22,178880,Dawood Ibrahim is originally from Mumbai.
23,18477,"Psych (season 2) began on July 13th, 2007."
24,156694,"South Island is referred to as the ""mainland."""
25,94812,Catherine Keener appeared in the 2007 film Into the Wild.
26,74789,Victor Frankenstein is a 2015 American film.
27,182697,Nina Jacobson worked for Walt Disney Pictures until July 2006.
28,152467,One ABC island is Curacao.
29,114247,The Gettysburg Address was criticized by a politician.
30,1729,Joni Mitchell released 17 albums of original songs.
31,175455,Death Note is a Japanese television series that draws its title from the manga series of the same name.
32,146455,LinkedIn has yet to be made available in the Turkish language.
33,175434,The Japanese television drama series Death Note is based on the manga series of the same name.
34,154383,Warren Beatty co-wrote Reds.
35,20672,Vincent D'Onofrio was nominated for an Emmy Award.
36,227772,"Lyon had a population of 506,615 in 2011."
37,92586,Firefox is one of the most popular web browsers.
38,32534,Japan is in Asia.
39,108315,The Danish language is spoken in North America.
40,100271,Sarah Hyland is a New Yorker.
41,21404,Brie Larson is an actress.
42,43510,Samsung was separated into four business groups in 1982.
43,56959,Samsung entered the shipbuilding industries in the 1970's.
44,144102,Manchester United's first name was the Newton Heath LYR Football Club.
45,132180,B. R. Ambedkar won a grant.
46,95542,Dan Trachtenberg is a person.
47,171491,Jiang Wen is an actor.
48,194565,Kyle Maclachlan has won an award called Golden Globe for Best Actor.
49,45014,Cambridgeshire's local government is only one unitary authority.
50,129066,Dev Patel has not worked with Neill Blomkamp.
51,46793,Doxycycline may cause diarrhea in children.
52,38947,Two and a Half Men starred a person.
53,91889,Atlanta metropolitan area had a population of 5.5 million people.
54,52780,John DiMaggio has had roles on multiple shows from Nickelodeon.
55,42274,Deepika Padukone has been in at least four Indian films.
56,138263,The Walking Dead (comic book) inspired a film.
57,128720,Chris Bosh is incapable of playing in the National Basketball Association.
58,15645,"Inside Llewyn Davis was screened for the Cannes Film Festival on May 19th, 2013."
59,220245,"Aristocracy is derived from the compound word for ""rule of the best""."
60,3808,Sonny & Cher began in the mid-1960's.
61,39832,The SpongeBob SquarePants Movie stars Clancy Brown.
