,id,claim
0,49169,"In 2004, Spider-Man 2 was released."
1,123777,Times Higher Education World University Rankings is a publication of university rankings by Times Higher Education (THE) magazine.
2,8552,Heath Ledger was in I'm Not There.
3,47478,Fuller House (TV series) airs in America.
4,155865,The basis for The Beguiled is a novel with a setting in the American South.
5,72143,Designated Survivor (TV series) is a television show.
6,211022,Resident Evil is loosely based on a novel series.
7,38947,Two and a Half Men starred a person.
8,58952,"Deepika Padukone's acting career includes comedies, dramas, and romances."
9,74924,Globalism is a group of ideologies that advocate the concept of globalization in the 21st century.
10,46023,Shannon Lee is a martial artist.
11,108739,James Brolin has had roles in situational comedies.
12,114278,Georgians came about from an ancient realm on the shore of the Black Sea.
13,160534,Meghan Markle's birthday occurs in August.
14,150321,Lorelai Gilmore has a mother who appears on the show.
15,157589,A Writers Guild Award was nominated to Key & Peele.
16,38808,Google Search can find business addresses.
17,19068,Color of Night came out in 1994.
18,43515,Jenny McCarthy began her career in 1993.
19,25395,Elizabeth of York was someone's niece.
20,46937,Skopje was a city.
21,205079,The Little Prince (2015 film) is a film.
22,66473,Watchmen is a film set in an alternate history in the year 1985.
23,47570,The United States dollar is the sole currency in paying employees.
24,104036,The English Wikipedia is the English-language edition of Wikipedia.
25,121472,Golf is played in a place.
26,198545,Catherine Hardwicke is an award-winning film director.
27,101407,Benjamin Franklin had indefatigable campaigning for colonial unity and was regarded.
28,7429,Jenny McCarthy modeled for Playboy magazine.
29,187571,Dan Brown published a 2003 bestselling novel.
30,11538,Mutiny on the Bounty is an American film.
31,178243,Nawaz Sharif is a conservative politician.
32,59890,Natasha Lyonne was born in 1979.
33,136062,"In 2008, Touch My Body was released."
34,113279,The Hit is a 1984 film.
35,11656,Freddie Highmore starred in the television series Bates Motel.
36,94483,The Hunger Games' goal is dystopian science fiction.
37,203039,Akon has had more than ten songs certified as 1 × platinum in digital sales.
38,127883,Nate Diaz competed in Japan for Pancrase.
39,220950,A former Soviet nation was part of the Group of 15.
40,8484,The 2003 NCAA Division I Men's Basketball Tournament was a knockout.
41,32939,Louis Malle produced films.
42,139529,"Shape of You was the top song on the singles charts of the UK, Australia, and Canada."
43,211858,See.SZA.Run is an EP.
44,225819,Chinatown was directed by someone.
45,228072,Caleb McLaughlin attended acting school.
46,32535,Japan is located in Asia.
47,100046,The Guthrie Theater's second building began operating in 1963.
48,25005,ASAP Rocky has directed music videos for himself and Danny Brown.
49,20288,Balibo (film) takes place in a sovereign state in Maritime Southeast Asia called East Timor.
50,225802,Chinatown is a film from the United States.
51,87573,Wolfgang Amadeus Mozart had two cousins who outlived him.
52,207340,Military deception is a form of strategic use of data.
53,23925,Laura Robson is an athlete.
54,180712,Cary Elwes is from London.
55,132806,Barbarella is not non-fiction.
56,146754,Konidela Production Company is Indian and it is successful.
57,130978,Kaya Scodelario was nominated for two BAFTA.
58,93878,"Warren Beatty was the co-writer, producer, and director of an epic drama movie."
59,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.
60,56960,"In the 1970's, Samsung entered the shipbuilding industries."
61,136089,Dulquer Salmaan acted in a 2012 film.
62,118195,Warren Beatty was a co-writer on Heaven Can Wait.
63,86198,Oscar Isaac acted as the supervillain Apocalypse in the liveaction movie adaptation.
64,11276,Ekta Kapoor worked on a sitcom.
65,143300,The site of the battle of the Trebia was south from the confluence of the Po and Trebbia rivers.
66,24779,"In 2015, among Americans, 30% of adults had consumed alcoholic drink in the last year."
67,201464,A static web page is delivered to the user.
68,203044,Akon is a musician.
69,11269,Legendary Entertainment and Wanda Cinemas are owned by the same entity.
70,185780,Logie Awards had many guest celebrities.
71,114514,Personality is affected by the development of task performance.
72,146214,Ned Stark worked with a cast in a film.
73,102312,Daenerys Targaryen's older brother and only living relative is named Viserys.
74,6650,The Icelandic Coast Guard is responsible for something.
75,222724,Vedic Sanskrit is a language.
76,111074,Kaya Scodelario is an entertainer.
77,162832,Islamabad contains Quaid-i-Azam University.
78,84807,Bob Ross was an artist.
79,53197,Eugene Ionesco wrote Exit the King.
80,67746,Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen.
81,149489,The United States dollar is used in the Caribbean in two British Overseas Territories.
