,id,claim
0,46262,Henry III assumed the throne at nine years old in the middle of the First Barons' War.
1,19865,Yemen's temporary capital is Aden.
2,102312,Daenerys Targaryen's older brother and only living relative is named Viserys.
3,49398,Hannah and Her Sisters is an American comedy-drama.
4,92851,John Frusciante incorporated experimental rock into his music.
5,78534,Benjamin Franklin was an author.
6,168931,The Boeing 767 is used for international flights.
7,30108,Pocahontas attended a masque at Whitehall Palace which was a place where mostly English people gathered.
8,149489,The United States dollar is used in the Caribbean in two British Overseas Territories.
9,117767,Louis Malle produced films in the English language.
10,185184,You Only Live Twice is the first Bond movie with the director Lewis Gilbert.
11,118195,Warren Beatty was a co-writer on Heaven Can Wait.
12,93878,"Warren Beatty was the co-writer, producer, and director of an epic drama movie."
13,61564,House of Balloons is reviewed by The Weeknd.
14,175864,Chris Mullin played with a team who play basketball professionally.
15,225798,Chinatown's writer is a convicted statutory rapist.
16,164502,The Nobel Prize in Chemistry was awarded to a person from the Kingdom of Denmark.
17,127090,Jenny McCarthy is a model.
18,118448,"Richard Dawson's date of birth was November 20, 1932."
19,13876,Brazilian jiu-jitsu includes grappling.
20,14366,"Michael Hutchence died on November 22nd, 1997."
21,114158,There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.
22,169328,Hammer Film Productions produced Let Me In in the United States in 2010.
23,177851,Milk is a biopic.
24,90291,Color of Night won a Golden Raspberry Award in 1994.
25,53478,Pink was born in 1979.
26,114514,Personality is affected by the development of task performance.
27,138595,Aphrodite performs with the god of blacksmiths.
28,43120,Python supports multiple programming paradigms and is highly usable.
29,87019,Theresa May served.
30,55024,Lorelai Gilmore's father is a banker.
31,144169,Music videos have been directed by ASAP Rocky for Danny Brown.
32,132244,Wolfgang Amadeus Mozart showed he was a child protege.
33,108739,James Brolin has had roles in situational comedies.
34,198545,Catherine Hardwicke is an award-winning film director.
35,28788,Maggie Q starred in a CW series.
36,152656,Zoe Saldana is a citizen of somewhere.
37,136062,"In 2008, Touch My Body was released."
38,85923,Adidas designs items.
39,212033,A Pet develops social equality.
40,1933,Dissociative identity disorder is known as multiple personality disorder.
41,70041,2 Hearts is a musical composition by Minogue.
42,176630,Great white sharks do not prefer dolphins as prey.
43,17915,Fred Seibert has produced comedy programs.
44,163803,Ukrainian Soviet Socialist Republic was a founding participant of the UN.
45,130978,Kaya Scodelario was nominated for two BAFTA.
46,154815,There have been more than 4 and a half million copies of The Fame sold.
47,30961,Georges Gilles de la Tourette described symptoms of Tourette's syndrome.
48,146837,The Catcher in the Rye deals with issues.
49,89521,Mom (TV series) has received one nomination.
50,132874,Daredevil is based on the character of the same name.
51,35804,There was an attempt to incorporate Cyprus into Greece.
52,58396,Konidela Production Company was established.
53,57989,Arjit Singh is an Indian male musician.
54,214790,The 2007 Toronto International Film Festival featured The Tracey Fragments.
55,150751,Paul von Hindenburg was a man.
56,69436,SpongeBob SquarePants is a media franchise.
57,67244,The current Duke of York is a person.
58,47482,Cleopatre is related to a work.
59,227114,Blank Space is on a top 100 list in numerous countries.
60,33235,The Walking Dead (comic book) inspired The Walking Dead: Torn Apart.
61,29550,The Invisible Man was a science fiction horror film.
62,76354,Ice-T's Rhyme Pays was his first commercial full length record.
63,102597,Night of the Living Dead is a series of seven zombie horror films made between 1968 and 2010.
64,43515,Jenny McCarthy began her career in 1993.
65,125440,Stomp the Yard has Meagan Good in a minor role.
66,227773,Lyon is the third-largest city in France.
67,225723,David Lloyd George served as a prime minister.
68,160337,"Jarhead, a 2005 American biographical war drama, was directed by the award-winning auteur Sam Mendes."
69,7429,Jenny McCarthy modeled for Playboy magazine.
70,129426,"In 2016, Sausage Party was released."
71,46937,Skopje was a city.
72,124578,The Gettysburg Address is a speech.
73,64885,James Spader is known for portraying eccentric villains.
74,11538,Mutiny on the Bounty is an American film.
75,19068,Color of Night came out in 1994.
76,11656,Freddie Highmore starred in the television series Bates Motel.
77,178243,Nawaz Sharif is a conservative politician.
78,204576,Commodore is ranked superior to a navy captain from Portugal.
79,74648,Ned Stark was introduced in 1996's A Game of Thrones.
80,222168,Rehab won an Ivor Novello Award in 2000.
81,211858,See.SZA.Run is an EP.
82,74924,Globalism is a group of ideologies that advocate the concept of globalization in the 21st century.
83,32535,Japan is located in Asia.
84,203039,Akon has had more than ten songs certified as 1 × platinum in digital sales.
85,175450,Death Note is a Japanese television series that is available on DVD.
86,180712,Cary Elwes is from London.
87,129789,"Google Search can find stock quotes, updated in real time."
88,5917,Heath Ledger aspired to be a film producer.
89,205109,Gaius Julius Caesar was the uncle of a dictator.
90,197632,There was a contribution to the discovery of the remains of King Richard III by the University of Leicester.
91,133233,Touch My Body was released in 2008.
92,129672,Amy Adams stars in Trouble with the Curve.
93,207340,Military deception is a form of strategic use of data.
94,111074,Kaya Scodelario is an entertainer.
95,53197,Eugene Ionesco wrote Exit the King.
96,185999,Kyra Sedgwick received a Golden Globe Award.
97,226458,Chadwick Boseman portrayed a film character.
98,69108,Maria Theresa was Emperor Charles VI's daughter.
99,152165,I (film) was released in German.
100,50202,Designated Survivor (TV series) was founded on ABC.
101,15542,Sky UK is a telecommunications company.
102,114278,Georgians came about from an ancient realm on the shore of the Black Sea.
103,21720,Antigua and Barbuda was named after the Virgin of La Antigua in order to show respect to her.
104,211019,Resident Evil is loosely based on a series of video games.
105,127883,Nate Diaz competed in Japan for Pancrase.
106,139529,"Shape of You was the top song on the singles charts of the UK, Australia, and Canada."
107,114251,Road House is a movie.
108,135212,Joni Mitchell released an album.
109,27702,"In the southwestern United States is Phoenix, Arizona."
110,82587,Aphrodite is a goddess in Greek mythology.
111,121548,Cyprus is a place where tourists go.
112,126173,"Half Girlfriend's principal photography began on June 16, 2016."
113,171503,"Jiang Wen was born on January 5, 1963."
114,193556,Bala has received the National Film Award for Best Producer.
115,194432,The Indiana Pacers were established as an ABA member.
116,100046,The Guthrie Theater's second building began operating in 1963.
117,2961,Taarak Mehta Ka Ooltah Chashmah is produced by Neela Tele Films Private Limited and has run a long time.
118,162206,Ding Yanyuhang is male.
119,192784,A staging area is a location where vehicles are assembled after use.
120,149016,The 2003 NCAA Division I Men's Basketball Tournament was widely viewed.
121,102019,"Around the world, medical school vary in the nature of medical programs."
122,215272,PBS is a television program distributor.
123,57008,"Nymphomaniac (film) is part of the ""Depression Trilogy"" along with Antichrist."
124,204575,Commodore is ranked above a rear admiral.
125,11253,Solanum has horse nettles.
126,3597,Ice-T began his career as a rapper in the 1980s.
127,139831,Brie Larson and Destin Daniel worked together.
128,38046,Ricardo Montalbán acted in film and television.
129,92196,Taarak Mehta Ka Ooltah Chashmah is from India where it is most popular.
130,39811,"Benjamin Franklin was not born on April 17th, 1790."
131,153736,Ron Howard directed The Paper.
132,126140,Olympic medals no longer display the Colosseum as of 2014.
133,139427,Tom Kenny stars in The SpongeBob SquarePants Movie.
134,68742,John Frusciante is a musician.
135,204556,Commodore is a naval rank.
136,168086,Jean-Jacques Dessalines ruled over a territory.
137,89309,The Mormon population has grown significantly since 1980.
138,149063,Raven-Symoné is an entertainer.
139,128180,Dan Trachtenberg is from the United States.
140,111151,Hinduism contains the Yoga philosophy.
141,73017,The Challenge XXX: Dirty 30 is the thirtieth season of a TV series.
142,195124,Backing vocalists provide vocal harmony.
143,123031,No Strings Attached was released in a country of the Northern Hemisphere.
144,201595,A thunderstorm can also be called a catastrophe.
145,132834,Gamal Abdel Nasser's business was in the capital of Egypt.
