,player_name,_col_1
0,Mike Miller,Rochester
1,Quincy Acy,United States
2,Joe Johnson,Phoenix
3,Brook Lopez,Brook Lopez
4,Davis Bertans,Bertans
5,DeAndre' Bembry,Atlanta
6,Okaro White,Atlanta
7,Deron Williams,Williams
8,Glen Davis,Chicago
9,Raul Neto," Montevideo, Uruguay"
10,Kevin Martin,"Detroit, MI"
11,Rudy Gay,Dominican Republic
12,Marquese Chriss,Phoenix
13,Justise Winslow,Canada
14,Emmanuel Mudiay,Democratic Republic of the Congo
15,Erick Green,Philadelphia
16,E'Twaun Moore,Chicago
17,Josh Richardson,Richardson
18,Sergey Karasev,Moscow
19,Evan Turner,Chicago
20,Isaiah Canaan,Philadelphia
21,Zoran Dragic,Bosnia
22,Doug McDermott,USA
23,Ray McCallum," Detroit, Michigan"
24,Jusuf Nurkic,Bosnia and Herzegovina
25,Joel Anthony,Jamaica
26,Cameron Payne,Fayetteville
27,Troy Williams,Troy
28,Henry Sims,Baltimore
29,Jarell Eddie, Louisiana
30,A.J. Price,No answer provided.
31,Sebastian Telfair,Sebastian Telfair
32,Francisco Garcia,Miami
33,Patty Mills,New York
34,Omer Asik,Turkey
35,Kawhi Leonard,Los Angeles
36,Denzel Valentine,Valentine
37,Quincy Miller,United States
38,DeAndre Liggins,Lebanon
39,Hollis Thompson,Washington
40,Grant Jerrett,Rochester
41,Josh McRoberts,
42,Gary Harris,Indianapolis
43,Jonas Jerebko,Jonas Jerebko
44,John Henson,United States
45,Kendall Marshall,"Pendleton, IN"
46,PJ Tucker,Ravensburg
47,Adreian Payne,
48,Nicolas Batum,France
49,Marc Gasol,Memphis
50,Chase Budinger,Chase Budinger
51,Cristiano Felicio,Sao Paulo
52,Kevon Looney,"San Francisco, CA"
53,Rajon Rondo,"Novigrad, Lithuania"
54,Pau Gasol,Spain
55,Martell Webster,Minneapolis
56,Brandon Jennings,Brandon Jennings
57,Dario Saric,Saric
58,Blake Griffin,Oklahoma
59,Malcolm Brogdon,Atlanta
60,Perry Jones III,United States
61,Kevin Durant,"Landmark, MD"
62,Joe Ingles,Williamstown
63,Ed Davis,Chicago
64,Solomon Hill,Solomon
65,Deyonta Davis,USA
66,Shane Larkin,Miami
67,CJ Watson,Detroit
68,Terry Rozier,Charlotte
69,Carl Landry,Houston
70,Timofey Mozgov,Moscow
71,Reggie Williams,Detroit
72,Robin Lopez,Los Angeles
73,Russ Smith,Detroit
74,J.J. Barea,Houston
75,Troy Daniels,USA
76,Marcus Smart,Dallas
77,Briante Weber,Briante Weber
78,Danny Granger,Indianapolis
79,Aaron Brooks,
80,Dwyane Wade,Chicago
81,Al-Farouq Aminu,Portland
82,Alan Anderson,New York
83,Chris Copeland,Chris Copeland
84,Al Jefferson,
85,Tarik Black,Memphis
86,Chris McCullough,Rochester
87,Elfrid Payton,Frankfurt
88,LaMarcus Aldridge,"San Antonio, Texas"
89,Jason Terry,
