,player_name,_col_1
0,Mike Miller,Santa Catarina
1,Quincy Acy, Greensboro
2,Joe Johnson,"To answer the question about the birthplace of each player, I'll need to provide the birthplace for each of the given players. Here are the answers:

Jimmy Butler - Tomball, Texas
Jodie Meeks - Norcross, Georgia
Joe Harris - Chelan, Washington
Joe Ingles - Adelaide, Australia
Joe Johnson - Little Rock, Arkansas

So, the answer is: Tomball, Texas"
3,Brook Lopez," North Hollywood, California

So the output is: Compton, California"
4,Davis Bertans,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Dario Saric - Sibenik, Croatia
Darren Collison - Rancho Cucamonga, California
Darrun Hilliard - Bethlehem, Pennsylvania
David Lee - St. Louis, Missouri
Davis Bertans - Valmiera, Latvia

So, the answer is: Sibenik"
5,DeAndre' Bembry,St. Louis
6,Okaro White,Chesapeake
7,Deron Williams," Compton, California"
8,Glen Davis, Fishers
9,Raul Neto,Canberra
10,Kevin Martin,Kelford
11,Rudy Gay,"Minneapolis, Minnesota"
12,Marquese Chriss," Ventura, California"
13,Justise Winslow,Norfolk
14,Emmanuel Mudiay," Washington, D.C."
15,Erick Green,"Cortlandt Manor, New York"
16,E'Twaun Moore,Los Angeles
17,Josh Richardson,Los Angeles
18,Sergey Karasev,Meridian
19,Evan Turner,"Birmingham, Alabama"
20,Isaiah Canaan," Baltimore, Maryland"
21,Zoran Dragic," Saskatoon, Saskatchewan"
22,Doug McDermott,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

Dewayne Dedmon - born in Pensacola, Florida, but I'll just return ""Pensacola, Florida"" is not what you want, so: Lancaster
Deyonta Davis - born in Memphis, Tennessee, so: Memphis
Domantas Sabonis - born in Portland, Oregon, so: Portland
Dorell Wright - born in Los Angeles, California, so: Los Angeles
Doug McDermott - born in Grand Forks, North Dakota, so: Grand Forks

Answer: Lancaster"
23,Ray McCallum,Sant Boi de Llobregat
24,Jusuf Nurkic,Indianapolis
25,Joel Anthony," Norcross, Georgia"
26,Cameron Payne," Chesapeake, Virginia"
27,Troy Williams,Portland
28,Henry Sims,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Grant Jerrett - Austin, Texas
Greg Monroe - New Orleans, Louisiana
Hassan Whiteside - San Antonio, Texas (note: some sources may list Gastonia, North Carolina, as his birthplace, but San Antonio is also commonly cited)
Hedo Turkoglu - Istanbul, Turkey
Henry Sims - Baltimore, Maryland

So, the answer is: Austin, Texas"
