,player_name,_col_1
0,Mike Miller,Lodz
1,Quincy Acy,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Nikola Mirotic - Titograd (now Podgorica), SFR Yugoslavia (born in Montenegro, but at the time, it was part of SFR Yugoslavia)
Nikola Vucevic - Morges, Switzerland
Noah Vonleh - Haverhill, Massachusetts
Norman Powell - San Diego, California
Norris Cole - Dayton, Ohio

So, the answer is: 
Titograd"
2,Joe Johnson," Greeley, Colorado"
3,Brook Lopez,Miami
4,Davis Bertans,Casseneuil
5,DeAndre' Bembry,New Orleans
6,Okaro White,Chesapeake
7,Deron Williams," Dallas, Texas"
8,Glen Davis,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Evan Fournier - Saint-Maurice, France (but I will only return ""Saint-Maurice"")
Evan Turner - Chicago
Festus Ezeli - Benin City
Francisco Garcia - Santo Domingo
Frank Kaminsky - Lisle

So, the answer is: Saint-Maurice"
9,Raul Neto,"St. Louis, Missouri"
10,Kevin Martin," Edmond, Oklahoma"
11,Rudy Gay," Irvington, New Jersey"
12,Marquese Chriss,Akron
13,Justise Winslow,Cleveland
14,Emmanuel Mudiay,Philadelphia
15,Erick Green,Portsmouth
16,E'Twaun Moore,La Mirada
17,Josh Richardson,Alderley Edge
18,Sergey Karasev, Valparaiso
19,Evan Turner,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Drew Gooden - Oakland, California
Dwight Buycks - Milwaukee, Wisconsin
Dwight Powell - Toronto, Ontario
Dwyane Wade - Chicago, Illinois
E'Twaun Moore - East Chicago, Indiana

So, the answer is: Oakland"
20,Isaiah Canaan, Gary
21,Zoran Dragic, Virginia
22,Doug McDermott," Los Angeles, California"
23,Ray McCallum,"Greensboro, North Carolina"
24,Jusuf Nurkic,"To answer the question about the birthplace of each player, I would need to look up the birthplace for each of the given names. Based on available information:

- Jon Leuer was born in Long Lake, Minnesota, USA
- Jonas Jerebko was born in Kinna, Sweden (but raised in Sweden, his birthplace is sometimes noted as being in Bosnia due to his family's background, however, Kinna, Sweden is commonly cited)
- Jonas Valanciunas was born in Utena, Lithuania
- Jonathon Simmons was born in Houston, Texas, USA
- Jordan Clarkson was born in Tampa, Florida, USA

Given the instruction to return a string containing **only** the birthplace, the answer would be:

Long Lake, Minnesota"
25,Joel Anthony,"To answer the question about the birthplace of each player, I'll need to provide the birthplace for each of the given players. Here are the answers:

Jaylen Brown - Atlanta, Georgia
Jeff Ayres - Ontario, California
Jeff Green - Cheverly, Maryland
Jeff Taylor - Nørresundby, Denmark
Jeff Teague - Indianapolis, Indiana

So, the answer is: Atlanta"
26,Cameron Payne," 
Buddy Hield - Freeport"
27,Troy Williams,Brooklyn
28,Henry Sims, Marousi
29,Jarell Eddie,"Montgomery, Alabama"
30,A.J. Price,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my general knowledge, here are the answers:

A.J. Price - Born in Orange, New Jersey
Aaron Brooks - Born in Seattle, Washington
Aaron Gordon - Born in San Jose, California
Adreian Payne - Born in Atlanta, Georgia
Al Horford - Born in Puerto Plata, Dominican Republic

So, the answer would be:
Orange, New Jersey"
31,Sebastian Telfair,Lockport
32,Francisco Garcia,Toronto
33,Patty Mills,Casselberry
34,Omer Asik,Fort Wayne
35,Kawhi Leonard, Houston
36,Denzel Valentine," Sibenik, Croatia"
37,Quincy Miller,Morges
38,DeAndre Liggins,Sant'Angelo Lodigiano
39,Hollis Thompson, Caldwell
40,Grant Jerrett, İzmir
41,Josh McRoberts,Yaoundé
42,Gary Harris,Granite City
43,Jonas Jerebko,"Kingston, Jamaica"
44,John Henson,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Here are the answers:

Jeff Withey - San Diego, California
Jerami Grant - Portland, Oregon
Jeremy Evans - Crossett, Arkansas
Jeremy Lamb - Norcross, Georgia
Jeremy Lin - Palo Alto, California

So, the answer is: San Diego"
45,Kendall Marshall,Norfolk
46,PJ Tucker," Jackson, Mississippi"
47,Adreian Payne,"Atlanta, Georgia"
48,Nicolas Batum,"Maryborough, Victoria"
49,Marc Gasol,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Kyle Lowry - Philadelphia, Pennsylvania
Kyle O'Quinn - Queens, New York
Kyle Singler - Medford, Oregon
Kyrie Irving - Melbourne, Australia
LaMarcus Aldridge - Dallas, Texas

So, the answer is: Philadelphia"
50,Chase Budinger,Columbus
51,Cristiano Felicio," Orange, New Jersey"
52,Kevon Looney," Los Angeles, California"
53,Rajon Rondo,Haverhill
54,Pau Gasol,Orange City
55,Martell Webster,Ventura
56,Brandon Jennings,Cormeilles
57,Dario Saric,Pouso Alegre
58,Blake Griffin," St. Louis, Missouri"
59,Malcolm Brogdon,"Liepaja, Latvia"
60,Perry Jones III,Mississauga
61,Kevin Durant," College Park, Georgia"
62,Joe Ingles," Saginaw, Michigan"
63,Ed Davis,Grand Rapids
64,Solomon Hill,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Roy Hibbert - Queens, New York
Rudy Gay - Brooklyn, New York
Rudy Gobert - Saint-Quentin, France
Russ Smith - New York City, New York
Russell Westbrook - Long Beach, California

So, the answer is: Queens, New York"
65,Deyonta Davis,Pittsburgh
66,Shane Larkin," for simplicity, we'll use Seattle)
- Ron Baker: Hays, Kansas (or Scott City, Kansas, depending on the source"
67,CJ Watson," 
Bryce Dejean-Jones - Los Angeles"
68,Terry Rozier,Brazzaville
69,Carl Landry," 
CJ Miles - Dallas

So the answer is: North Hollywood"
70,Timofey Mozgov,"Waukegan, Illinois"
71,Reggie Williams,"Douala, Cameroon"
72,Robin Lopez,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my general knowledge, here are the answers:

Paul Zipser - Heidelberg, Germany
Pero Antic - Skopje, Macedonia
Perry Jones III - Winchendon, USA
Pierre Jackson - Las Vegas, USA
Quincy Acy - Tyler, USA

So, the answer would be: Heidelberg"
73,Russ Smith," Newark, New Jersey"
74,J.J. Barea,La Verne
75,Troy Daniels,Durham
76,Marcus Smart,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

Lance Stephenson - Brooklyn, New York
Lance Thomas - Brooklyn, New York
Landry Fields - Long Beach, California
Larry Drew II - Anaheim, California
Larry Nance Jr. - Akron, Ohio

So, the answer is: Brooklyn"
77,Briante Weber,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my general knowledge, here are the answers:

Brandon Jennings - Compton
Brandon Knight - Miami
Brandon Rush - Kansas City
Brian Roberts - Toledo
Briante Weber - Chesapeake

So, the answer is: Compton"
78,Danny Granger,"Portland, Tennessee"
79,Aaron Brooks,"Seattle, Washington"
80,Dwyane Wade,Chicago
81,Al-Farouq Aminu,Atlanta
82,Alan Anderson,Minneapolis
83,Chris Copeland," Racine, Wisconsin"
