,player_name,_col_1
0,Mike Miller,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Mike Miller - Memphis, Tennessee
Nicolas Batum - Lisieux, France
Okaro White - Clearwater, Florida
Omer Asik - Bursa, Turkey
PJ Tucker - Raleigh, North Carolina

So, the answer is: Memphis"
1,Quincy Acy,"Tyler, Texas"
2,Joe Johnson,Little Rock
3,Brook Lopez,"North Hollywood, California"
4,Davis Bertans,"Valmiera, Latvia"
5,DeAndre' Bembry,Charlotte
6,Okaro White,Clearwater
7,Deron Williams,Parkersburg
8,Glen Davis,"Baton Rouge, Louisiana"
9,Raul Neto,Belo Horizonte
10,Kevin Martin,Zanesville
11,Rudy Gay,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Rudy Gay - Brooklyn, New York
Sebastian Telfair - Brooklyn, New York
Sergey Karasev - St. Petersburg, Russia
Troy Williams - Virginia, USA (specifically, Hampton or Newport News, but I'll use Virginia for simplicity)
Zoran Dragic - Ljubljana, Slovenia

So, the answer is: Brooklyn"
12,Marquese Chriss,Sacramento
13,Justise Winslow," Houston, Texas"
14,Emmanuel Mudiay,Kinshasa
15,Erick Green,Inglewood
16,E'Twaun Moore,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my research, here are the answers:

E'Twaun Moore - East Chicago, Indiana
Emmanuel Mudiay - Kinshasa, Zaire (now Democratic Republic of the Congo)
Erick Green - Inglewood, California
Evan Turner - Chicago, Illinois
Francisco Garcia - Santo Domingo, Dominican Republic

So, the answer would be:
East Chicago"
17,Josh Richardson," Edmond, Oklahoma"
18,Sergey Karasev,St. Petersburg
19,Evan Turner,Chicago
20,Isaiah Canaan,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

Isaiah Canaan - Biloxi, Mississippi
Jarell Eddie - Tampa, Florida
Joe Johnson - Little Rock, Arkansas
Joel Anthony - Montreal, Quebec
John Henson - Greensboro, North Carolina

So, the answer is: Biloxi"
21,Zoran Dragic,Ljubljana
22,Doug McDermott,Grand Forks
23,Ray McCallum,"Madison, Wisconsin"
24,Jusuf Nurkic," Tuzla, Bosnia and Herzegovina"
25,Joel Anthony,Montreal
26,Cameron Payne,"Memphis, Tennessee"
27,Troy Williams,Virginia
28,Henry Sims,"Baltimore, Maryland"
29,Jarell Eddie,Tampa
30,A.J. Price,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my general knowledge, here are the answers:

A.J. Price - Born in Orange, New Jersey
Adreian Payne - Born in Dayton, Ohio
Brook Lopez - Born in North Hollywood, California (but raised in Fresno, California, and born in Los Angeles area, more specifically North Hollywood)
Cameron Payne - Born in Memphis, Tennessee
Davis Bertans - Born in Valmiera, Latvia

So, the answer would be:
Orange, New Jersey"
31,Sebastian Telfair,Brooklyn
32,Francisco Garcia,Santo Domingo
33,Patty Mills,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given players. Here are the answers:

Patty Mills - Canberra
Quincy Acy - Tyler, Texas
Quincy Miller - Chicago, Illinois
Raul Neto - Belo Horizonte
Ray McCallum - Madison, Wisconsin

So, the answer is: Canberra"
34,Omer Asik,Bursa
35,Kawhi Leonard,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given players. Here are the answers:

Kawhi Leonard - Los Angeles
Kendall Marshall - Dumfries
Kevin Martin - Zanesville
Marc Gasol - Barcelona
Marquese Chriss - Sacramento

So, the answer is: Los Angeles"
36,Denzel Valentine,Lansing
37,Quincy Miller,"Chicago, Illinois"
38,DeAndre Liggins,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Here are the answers:


DeAndre Liggins - born in Chicago, Illinois
DeAndre' Bembry - born in Charlotte, North Carolina
Denzel Valentine - born in Lansing, Michigan
Deron Williams - born in Parkersburg, West Virginia
Doug McDermott - born in Grand Forks, North Dakota


So, the answer is: Chicago"
39,Hollis Thompson,"Pasadena, California"
40,Grant Jerrett,"La Verne, California"
41,Josh McRoberts," Indianapolis, Indiana"
42,Gary Harris,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my research, here are the birthplaces for each player:

* Gary Harris: Fishers, Indiana
* Glen Davis: Baton Rouge, Louisiana
* Grant Jerrett: La Verne, California
* Henry Sims: Baltimore, Maryland
* Hollis Thompson: Pasadena, California

So, the answer would be:
Fishers, Indiana"
43,Jonas Jerebko,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Jonas Jerebko - Kinna, Sweden
Josh McRoberts - Indianapolis, Indiana
Josh Richardson - Edmond, Oklahoma
Justise Winslow - Houston, Texas
Jusuf Nurkic - Tuzla, Bosnia and Herzegovina

So, the answer is: Kinna, Sweden"
44,John Henson,Greensboro
45,Kendall Marshall,Dumfries
46,PJ Tucker,Raleigh
47,Adreian Payne,"Dayton, Ohio"
48,Nicolas Batum,Lisieux
49,Marc Gasol,Barcelona
