,Player Name,birth_place
0,Mike Miller,"Memphis, Tennessee"
1,Quincy Acy,"Tyler, Texas"
2,Joe Johnson,"Little Rock, Arkansas"
3,Brook Lopez,"North Hollywood, California"
4,Davis Bertans,"Valmiera, Latvia"
5,DeAndre' Bembry,"Charlotte, North Carolina"
6,Okaro White,"Brooklyn, New York"
7,Deron Williams,"Parkersburg, West Virginia"
8,Glen Davis,"Baton Rouge, Louisiana"
9,Raul Neto,Belo Horizonte
10,Kevin Martin,"Stevenson, Alberta, Canada"
11,Rudy Gay,"Brooklyn, New York"
12,Marquese Chriss,"Sacramento, California"
13,Justise Winslow,"Houston, Texas"
14,Emmanuel Mudiay,"Kinshasa, Zaire (now Democratic Republic of the Congo)"
15,Erick Green,"Inglewood, California"
16,E'Twaun Moore,"East Chicago, Indiana"
17,Josh Richardson,"Edmond, Oklahoma"
18,Sergey Karasev,"Saint Petersburg, Russia"
19,Evan Turner,"Boston, Massachusetts"
20,Isaiah Canaan,"Biloxi, Mississippi"
21,Zoran Dragic,Ljubljana
22,Doug McDermott,"Grand Forks, North Dakota"
23,Ray McCallum,"Detroit, Michigan"
24,Jusuf Nurkic,"Tuzla, Bosnia and Herzegovina"
25,Joel Anthony,"Montreal, Quebec, Canada"
26,Cameron Payne,"Memphis, Tennessee"
27,Troy Williams,I don't have information about Troy Williams' birthplace. Can you provide more context or details about Troy Williams? Is he a sports player or a public figure? This will help me give a more accurate answer.
28,Henry Sims,New York City
29,Jarell Eddie,"Tampa, Florida"
30,A.J. Price,"Orange, New Jersey"
31,Sebastian Telfair,"Brooklyn, New York"
32,Francisco Garcia,"Santo Domingo, Dominican Republic"
33,Patty Mills,"Canberra, Australia"
34,Omer Asik,"Bursa, Turkey"
35,Kawhi Leonard,Los Angeles
36,Denzel Valentine,"Chicago, Illinois"
37,Quincy Miller,"Chicago, Illinois"
38,DeAndre Liggins,"Chicago, Illinois"
39,Hollis Thompson,Los Angeles
40,Grant Jerrett,Salt Lake City
41,Josh McRoberts,"Indianapolis, Indiana"
42,Gary Harris,"Fishers, Indiana"
43,Jonas Jerebko,"Borås, Sweden"
44,John Henson,I don't have information on the birthplace of John Henson. Can I help you with anything else?
45,Kendall Marshall,"Dumfries, Virginia"
46,PJ Tucker,"Raleigh, North Carolina"
47,Adreian Payne,"Dayton, Ohio"
48,Nicolas Batum,"Lisieux, France"
49,Marc Gasol,Sant Boi de Llobregat
