,Game ID,Wins,Losses
0,0,,
1,1,,2
2,2,,
3,3,-1,28
4,4,-1,22
5,5,-1,-1
6,6,,
7,7,9,53
8,9,-1,-1
9,10,8,
10,11,-1,-1
11,12,24,
12,13,-1,-1
13,14,34,-1
14,15,10,4
15,16,,-1
16,17,,28
17,18,-1,
18,19,-1,-1
19,20,46,10
20,21,1,36
21,22,-1,-1
22,23,28,30
23,24,-1,-1
24,25,24,38
25,26,,2
26,27,3,1
27,28,18,
28,29,11,37
29,30,46,12
30,31,-1,
31,32,-1,
32,33,19,-1
33,34,-1,53
34,35,5,3
35,36,5,
36,37,2,
37,38,9,
38,40,-1,-1
39,41,-1,34
40,42,2,32
41,43,41,
42,44,38,33
43,45,10,46
44,46,,28
45,47,34,36
46,48,14,18
47,49,46,1
48,50,31,
49,51,-1,41
