,Game ID,Wins,Losses
0,0,1.0,
1,1,,
2,2,21.0,
3,3,,-1.0
4,4,2.0,
5,5,11.0,-1.0
6,6,-1.0,
7,7,,32.0
8,9,-1.0,-1.0
9,10,14.0,28.0
10,11,-1.0,-1.0
11,12,,-1.0
12,13,41.0,21.0
13,14,26.0,9.0
14,15,,22.0
15,16,17.0,23.0
16,17,,37.0
17,18,34.0,
18,19,-1.0,
19,20,3.0,19.0
20,21,,
21,22,1.0,
22,23,25.0,28.0
23,24,30.0,-1.0
24,25,-1.0,31.0
25,26,1.0,39.0
26,27,9.0,
27,28,,
28,29,,17.0
29,30,35.0,
30,31,-1.0,5.0
31,32,35.0,
32,33,-1.0,4.0
33,34,-1.0,11.0
34,35,20.0,35.0
35,36,43.0,4.0
36,37,-1.0,-1.0
37,38,4.0,22.0
38,40,-1.0,-1.0
39,41,,38.0
40,42,23.0,61.0
41,43,-1.0,
42,44,8.0,
43,45,25.0,24.0
44,46,,4.0
45,47,19.0,41.0
46,48,,14.0
47,49,24.0,11.0
48,50,6.0,11.0
49,51,19.0,41.0
50,52,17.0,28.0
51,53,34.0,31.0
52,54,31.0,1.0
53,55,7.0,39.0
54,56,-1.0,-1.0
55,57,,-1.0
56,58,21.0,24.0
57,59,-1.0,14.0
58,60,42.0,
59,61,,
60,62,-1.0,
61,63,-1.0,41.0
62,64,9.0,6.0
63,65,-1.0,-1.0
64,66,29.0,
65,67,,29.0
66,69,,43.0
67,70,26.0,13.0
68,71,23.0,-1.0
69,72,40.0,-1.0
70,73,,-1.0
71,74,,
72,75,28.0,16.0
73,76,-1.0,-1.0
74,77,-1.0,0.0
75,78,11.0,
76,79,2.0,63.0
77,80,14.0,
78,81,-1.0,-1.0
79,83,10.0,37.0
80,84,12.0,69.0
81,85,4.0,
82,86,24.0,88.0
83,87,48.0,16.0
84,88,22.0,48.0
85,89,16.0,7.0
86,90,-1.0,40.0
87,91,39.0,
88,92,41.0,
89,93,7.0,
90,94,,4.0
91,95,-1.0,-1.0
