,Game ID,Wins,Losses
0,0.0,19,41
1,1.0,5,31
2,2.0,3,2
3,3.0,17,28
4,4.0,24,35
5,5.0,13,3
6,6.0,40,4
7,7.0,11,12
8,9.0,14,53
9,10.0,-1,-1
10,11.0,0,1
11,12.0,45,34
12,13.0,15,58
13,14.0,46,36
14,15.0,11,17
15,16.0,22,29
16,17.0,2,1
17,18.0,,
18,19.0,-1,-1
19,20.0,9,6
20,21.0,-1,-1
21,22.0,5,28
22,23.0,34,33
23,24.0,8,10
24,25.0,22,18
25,26.0,37,33
26,27.0,19,21
27,28.0,23,34
28,29.0,17,32
29,30.0,19,23
30,31.0,19,8
31,32.0,8,36
32,33.0,3,13
33,34.0,3,1
34,35.0,6,8
35,36.0,14,49
36,37.0,0,2
37,38.0,5,1
38,40.0,-1,-1
39,41.0,5,4
40,42.0,34,23
41,43.0,32,18
42,44.0,-1,-1
43,45.0,24,22
44,46.0,,
45,47.0,17,38
46,48.0,9,37
47,49.0,3,10
48,50.0,8,8
49,51.0,-1,-1
50,52.0,-1,-1
51,53.0,20,19
52,54.0,-1,-1
53,55.0,30,17
54,56.0,-1,-1
55,57.0,39,29
56,58.0,32,41
57,59.0,41,22
58,60.0,16,38
59,61.0,-1,-1
60,62.0,20,59
61,63.0,,
62,64.0,-1,-1
63,65.0,3,4
64,66.0,5,4
65,67.0,-1,-1
66,69.0,21,13
67,70.0,11,28
68,71.0,9,10
69,72.0,36,39
70,73.0,-1,-1
71,74.0,5,7
72,75.0,43,31
73,76.0,12,19
74,77.0,14,52
75,78.0,-1,-1
76,79.0,23,16
77,80.0,17,11
78,81.0,25,39
79,83.0,3,9
80,84.0,38,37
81,85.0,7,3
82,86.0,-1,-1
83,87.0,27,35
84,88.0,-1,-1
85,89.0,9,8
86,90.0,28,49
87,91.0,,
88,92.0,21,28
89,93.0,5,18
90,94.0,11,24
91,95.0,30,39
92,96.0,42,18
93,97.0,12,15
94,98.0,46,12
95,99.0,44,32
96,100.0,,
97,101.0,,
98,102.0,,
99,103.0,,
100,,-1,-1
101,,15,50
102,,9,22
103,,38,26
