,Game ID,Wins,Losses
0,0,,
1,1,7,1.0
2,2,,35.0
3,3,,
4,4,4,
5,5,,1.0
6,6,,28.0
7,7,,9.0
8,9,,4.0
9,10,,-1.0
10,11,-1,-1.0
11,12,,17.0
12,13,14,52.0
13,14,,2.0
14,15,,38.0
15,16,32,-1.0
16,17,27,
17,18,33,28.0
18,19,-1,-1.0
19,20,7,
20,21,,18.0
21,22,-1,-1.0
22,23,32,
23,24,27,8.0
24,25,32,8.0
25,26,7,3.0
26,27,7,-1.0
27,28,32,-1.0
28,29,32,22.0
29,30,34,-1.0
30,31,,-1.0
31,32,27,3.0
32,33,32,-1.0
33,34,33,-1.0
34,35,32,28.0
35,36,7,53.0
36,37,33,-1.0
37,38,7,6.0
38,40,-1,-1.0
39,41,45,34.0
40,42,7,12.0
41,43,38,
42,44,34,
43,45,32,
44,46,32,11.0
45,47,,41.0
46,48,,39.0
47,49,,-1.0
48,50,7,
49,51,59,59.0
50,52,33,-1.0
51,53,,50.0
52,54,33,15.0
53,55,7,3.0
54,56,-1,-1.0
55,57,34,
56,58,32,19.0
57,59,,-1.0
58,60,,
59,61,7,36.0
60,62,29,-1.0
61,63,33,22.0
62,64,41,41.0
63,65,-1,-1.0
64,66,-1,27.0
65,67,38,4.0
66,69,7,22.0
67,70,,
68,71,32,9.0
69,72,,49.0
70,73,27,-1.0
71,74,32,31.0
72,75,32,17.0
73,76,-1,-1.0
74,77,3,28.0
75,78,7,35.0
76,79,7,7.0
77,80,,
78,81,-1,-1.0
79,83,32,10.0
80,84,7,31.0
81,85,34,16.0
82,86,4,29.0
83,87,32,31.0
84,88,27,-1.0
85,89,38,4.0
86,90,10,10.0
87,91,41,3.0
88,92,,27.0
89,93,33,1.0
90,94,,1.0
91,95,-1,-1.0
92,96,38,3.0
93,97,7,35.0
94,98,,-1.0
95,99,4,27.0
96,100,4,
97,101,4,41.0
98,102,,
99,103,,2.0
