,Game ID,Wins,Losses
0,0,-1,3.0
1,1,8,44.0
2,2,33,3.0
3,3,-1,45.0
4,4,,4.0
5,5,5,62.0
6,6,,
7,7,33,50.0
8,9,-1,-1.0
9,10,3,8.0
10,11,,-1.0
11,12,2,1.0
12,13,,-1.0
13,14,23,28.0
14,15,19,29.0
15,16,,
16,17,-1,16.0
17,18,,38.0
18,19,-1,-1.0
19,20,2,17.0
20,21,9,
21,22,-1,-1.0
22,23,19,
23,24,5,-1.0
24,25,,100.0
25,26,,
26,27,18,37.0
27,28,-1,0.0
28,29,29,18.0
29,30,-1,30.0
30,31,19,6.0
31,32,1,50.0
32,33,19,
33,34,,4.0
34,35,18,3.0
35,36,,
36,37,-1,1.0
37,38,,4.0
38,40,-1,-1.0
39,41,3,-1.0
40,42,33,94.0
41,43,19,27.0
42,44,5,
43,45,5,22.0
44,46,,28.0
45,47,8,26.0
46,48,34,37.0
47,49,28,15.0
48,50,-1,1.0
49,51,41,42.0
50,52,20,20.0
51,53,-1,5.0
52,54,40,15.0
53,55,-1,
54,56,-1,
55,57,,
56,58,,-1.0
57,59,12,
58,60,19,13.0
59,61,30,-1.0
60,62,3,29.0
61,63,4,39.0
62,64,3,
63,65,-1,-1.0
64,66,30,22.0
65,67,,27.0
66,69,35,51.0
67,70,11,
68,71,4,-1.0
69,72,5,
70,73,15,-1.0
71,74,46,
72,75,43,-1.0
73,76,-1,-1.0
74,77,18,19.0
75,78,35,27.0
76,79,,31.0
77,80,,12.0
78,81,-1,-1.0
79,83,,
80,84,8,
81,85,17,
82,86,3,32.0
83,87,23,
84,88,8,36.0
85,89,10,13.0
86,90,-1,
87,91,14,24.0
88,92,14,41.0
89,93,23,-1.0
90,94,19,
91,95,41,
92,96,,36.0
93,97,18,
94,98,21,-1.0
95,99,59,8.0
96,100,3,4.0
97,101,45,41.0
98,102,19,1.0
99,103,-1,1.0
100,104,44,-1.0
101,105,40,-1.0
102,106,20,
103,107,,-1.0
104,108,3,1.0
105,109,7,3.0
106,110,34,2.0
107,111,37,-1.0
108,112,,11.0
109,113,-1,37.0
110,114,23,
111,115,46,27.0
112,116,29,
113,117,8,32.0
114,118,36,3.0
115,119,1,3.0
116,120,18,18.0
117,121,33,-1.0
118,124,-1,3.0
119,125,,-1.0
120,126,8,
121,127,3,45.0
122,128,,59.0
123,129,-1,10.0
124,130,39,100.0
125,131,5,-1.0
126,132,-1,22.0
127,133,,35.0
128,134,3,2.0
129,135,,1.0
130,136,20,-1.0
131,137,17,12.0
132,138,32,49.0
133,139,19,-1.0
134,140,24,3.0
135,141,45,56.0
136,142,12,23.0
137,143,3,-1.0
138,144,9,13.0
139,145,-1,
140,146,,-1.0
141,147,8,29.0
142,148,1,40.0
143,149,,
144,151,2,
145,152,-1,1.0
146,153,-1,-1.0
147,154,41,
148,156,16,15.0
149,157,-1,16.0
150,158,19,
151,159,,23.0
152,160,3,17.0
153,161,3,50.0
154,162,8,
155,163,,
156,164,51,53.0
157,165,62,-1.0
158,166,5,20.0
159,167,,20.0
160,168,22,3.0
161,169,,-1.0
162,170,,
163,171,41,28.0
164,172,22,
165,173,26,
166,174,39,
167,175,,105.0
168,176,,
169,177,45,38.0
170,178,8,39.0
171,179,-1,-1.0
172,180,42,4.0
173,181,-1,23.0
174,182,-1,13.0
175,183,-1,-1.0
176,184,4,100.0
177,185,,21.0
178,186,25,19.0
179,187,1,-1.0
180,188,-1,32.0
181,189,28,-1.0
182,190,5,
183,191,3,-1.0
184,193,20,33.0
185,194,32,-1.0
186,195,33,
187,196,,2.0
188,197,29,49.0
189,198,28,
190,200,-1,
191,201,,7.0
192,202,,-1.0
193,203,27,3.0
194,204,12,10.0
195,205,2,22.0
196,206,,
197,207,26,
198,208,0,-1.0
199,209,-1,-1.0
