,Player Name,nationality
2,Joe Johnson,American
5,DeAndre' Bembry,American
6,Okaro White,American
8,Glen Davis,United States
9,Raul Neto,Brazil
10,Kevin Martin,Canada
14,Emmanuel Mudiay,Democratic Republic of the Congo
15,Erick Green,Canada
16,E'Twaun Moore,United States
18,Sergey Karasev,Russia
19,Evan Turner,United States
21,Zoran Dragic,Montenegro
24,Jusuf Nurkic,Bosnia and Herzegovina
25,Joel Anthony,Canada
27,Troy Williams,United States
29,Jarell Eddie,United States
30,A.J. Price,United States
31,Sebastian Telfair,Trinidadian
32,Francisco Garcia,Mexico
34,Omer Asik,Turkey
36,Denzel Valentine,American
38,DeAndre Liggins,United States
39,Hollis Thompson,United States
40,Grant Jerrett,United States
41,Josh McRoberts,Australia
43,Jonas Jerebko,Sweden
44,John Henson,United States
45,Kendall Marshall,United States
49,Marc Gasol,Spanish
50,Chase Budinger,American
51,Cristiano Felicio,Brazilian
55,Martell Webster,United States
56,Brandon Jennings,United States
59,Malcolm Brogdon,American
60,Perry Jones III,United States
63,Ed Davis,United States
65,Deyonta Davis,United States
66,Shane Larkin,United States
67,CJ Watson,United States
69,Carl Landry,United States
70,Timofey Mozgov,Russia
71,Reggie Williams,United States
73,Russ Smith,United States
74,J.J. Barea,Spanish
75,Troy Daniels,United States
77,Briante Weber,United States
78,Danny Granger,United States
81,Al-Farouq Aminu,Nigerian
82,Alan Anderson,United States
83,Chris Copeland,United States
85,Tarik Black,United States
86,Chris McCullough,United States
89,Jason Terry,United States
91,Pero Antic,Serbia
92,Jordan McRae,Australia
93,Jeff Taylor,American
94,Domantas Sabonis,Lithuanian
96,Mindaugas Kuzminskas,Lithuanian
98,Larry Drew II,United States
99,Jerian Grant,United States
100,Yogi Ferrell,United States
101,Tristan Thompson,Canada
103,Markel Brown,United States
105,Malachi Richardson,Canada
108,Shawn Marion,United States
111,Aron Baynes,Australia
112,Larry Sanders,United States
113,Allen Crabbe,United States
115,Joey Dorsey,United States
119,Rashad Vaughn,United States
120,Jeff Ayres,United States
121,Shawn Long,American
122,Sergio Rodriguez,Spain
123,Ian Mahinmi,France
126,Anthony Morrow,United States
127,Karl-Anthony Towns,American
129,Corey Brewer,United States
130,Sonny Weems,United States
132,Ryan Hollins,United States
133,Jason Richardson,United States
134,Nikola Jokic,Serbian
138,Kevin Garnett,American
139,Chasson Randle,United States
144,Kyrie Irving,Australia
146,Tony Parker,French
147,Ian Clark,England
148,Nene,Brazil
149,Ryan Kelly,American
151,Festus Ezeli,Nigerian
153,Evan Fournier,French
154,Channing Frye,United States
155,Kenneth Faried,United States
156,Dante Exum,Australia
157,Andrew Bogut,Australia
158,Brandan Wright,United States
161,Ivica Zubac,Croatia
162,O.J. Mayo,American
163,Brian Roberts,United States
164,Caron Butler,United States
165,Arron Afflalo,United States
