,Player Name,nationality
2,Joe Johnson,American
5,DeAndre' Bembry,American
6,Okaro White,American
8,Glen Davis,American
9,Raul Neto,Spanish
10,Kevin Martin,American
14,Emmanuel Mudiay,Congolese
15,Erick Green,American
16,E'Twaun Moore,American
18,Sergey Karasev,Russian
19,Evan Turner,American
21,Zoran Dragic,Slovenian
24,Jusuf Nurkic,Bosnian
25,Joel Anthony,Canadian
27,Troy Williams,American
29,Jarell Eddie,American
30,A.J. Price,American
31,Sebastian Telfair,American
32,Francisco Garcia,Spanish
34,Omer Asik,Turkish
36,Denzel Valentine,American
38,DeAndre Liggins,American
39,Hollis Thompson,American
40,Grant Jerrett,American
41,Josh McRoberts,American
43,Jonas Jerebko,Swedish
44,John Henson,American
45,Kendall Marshall,American
49,Marc Gasol,Spanish
50,Chase Budinger,American
51,Cristiano Felicio,Brazilian
55,Martell Webster,American
56,Brandon Jennings,American
59,Malcolm Brogdon,American
60,Perry Jones III,American
63,Ed Davis,American
65,Deyonta Davis,American
66,Shane Larkin,American
67,CJ Watson,American
69,Carl Landry,American
70,Timofey Mozgov,Russian
71,Reggie Williams,American
73,Russ Smith,American
74,J.J. Barea,Puerto Rican
75,Troy Daniels,American
77,Briante Weber,American
78,Danny Granger,American
81,Al-Farouq Aminu,Nigerian
82,Alan Anderson,American
83,Chris Copeland,American
85,Tarik Black,American
86,Chris McCullough,American
89,Jason Terry,American
91,Pero Antic,Bosnian
92,Jordan McRae,American
93,Jeff Taylor,American
94,Domantas Sabonis,Lithuanian
96,Mindaugas Kuzminskas,Lithuanian
98,Larry Drew II,American
99,Jerian Grant,American
100,Yogi Ferrell,"American
"
101,Tristan Thompson,Canadian
103,Markel Brown,American
105,Malachi Richardson,American
108,Shawn Marion,American
111,Aron Baynes,Australian
112,Larry Sanders,American
113,Allen Crabbe,American
115,Joey Dorsey,American
119,Rashad Vaughn,American
120,Jeff Ayres,Brazilian
121,Shawn Long,American
122,Sergio Rodriguez,Spanish
123,Ian Mahinmi,French
126,Anthony Morrow,American
127,Karl-Anthony Towns,American
129,Corey Brewer,American
130,Sonny Weems,American
132,Ryan Hollins,American
133,Jason Richardson,American
134,Nikola Jokic,Serbian
138,Kevin Garnett,American
139,Chasson Randle,American
144,Kyrie Irving,American
146,Tony Parker,French
147,Ian Clark,American
148,Nene,Japanese
149,Ryan Kelly,American
151,Festus Ezeli,Nigerian
153,Evan Fournier,French
154,Channing Frye,American
155,Kenneth Faried,American
156,Dante Exum,Australian
157,Andrew Bogut,Australian
158,Brandan Wright,American
161,Ivica Zubac,Croatian
162,O.J. Mayo,American
163,Brian Roberts,American
164,Caron Butler,American
165,Arron Afflalo,American
168,Pablo Prigioni,Argentinian
170,James Michael McAdoo,American
171,Tyler Ennis,Canadian
172,Pierre Jackson,American
174,Giannis Antetokounmpo,Greek
177,Thon Maker,South Sudanese
178,Elijah Millsap,American
181,Sheldon McClellan,American
182,Jonathon Simmons,American
184,Zaza Pachulia,Georgian
185,Beno Udrih,Slovenian
187,Chandler Parsons,American
191,Will Bynum,American
193,Kostas Papanikolaou,Greek
196,Jeremy Lin,American
197,Marcus Thornton,American
199,Darren Collison,American
201,Manu Ginobili,Argentine
204,Reggie Evans,American
207,T.J. McConnell,American
210,Vince Carter,Canadian
211,Jabari Parker,American
213,Amar'e Stoudemire,American
215,Robbie Hummel,American
216,Tyler Hansbrough,American
217,Matt Bonner,American
218,Archie Goodwin,American
219,Kenyon Martin,American
221,Lou Amundson,American
222,Nemanja Bjelica,Serbian
223,Andre Miller,American
225,KJ McDaniels,American
227,PJ Hairston,American
228,Sasha Vujacic,Slovenian
229,Nick Calathes,Greek
232,Shawne Williams,American
233,Furkan Aldemir,Turkish
235,Cole Aldrich,American
236,Brandon Rush,American
237,Nikola Mirotic,"Montenegrin
"
238,Ronnie Price,American
240,Willie Cauley-Stein,American
246,Dwight Buycks,American
248,Cleanthony Early,American
250,Mike Scott,American
251,Gary Neal,American
252,Ben Gordon,American
253,Miles Plumlee,American
254,Sam Dekker,American
255,Marcelo Huertas,Spanish
256,Gigi Datome,Italian
258,Tyler Ulis,American
260,Kirk Hinrich,American
261,Paul Zipser,German
263,Luis Scola,Argentine
264,Michael Carter-Williams,American
266,Kosta Koufos,Greek
267,Dorell Wright,American
271,Serge Ibaka,Congolese
272,Courtney Lee,American
273,Gal Mekel,Israeli
275,Jarell Martin,American
276,Randy Foye,American
278,Brandon Bass,American
279,Anthony Tolliver,American
284,Lance Thomas,American
285,Nate Wolters,American
286,Michael Kidd-Gilchrist,American
287,Bojan Bogdanovic,Croatian
288,JJ Hickson,American
289,Kay Felder,American
291,Marco Belinelli,Italian
293,Ben McLemore,American
294,Rodney Stuckey,American
295,Robert Sacre,Canadian
296,Landry Fields,American
299,James Ennis III,American
301,Nicolas Brussino,Argentine
302,Lance Stephenson,American
303,Bryce Dejean-Jones,American
305,Amir Johnson,Canadian
312,Jorge Gutierrez,Mexican
317,Gerald Henderson,American
318,Buddy Hield,Bahamian
319,CJ Miles,American
320,Tyson Chandler,American
321,Wilson Chandler,American
322,Justin Anderson,American
324,Bernard James,American
326,Mario Chalmers,American
328,Salah Mejri,Tunisian
329,Damien Inglis,Australian
330,Ty Lawson,American
333,Luke Babbitt,American
338,Jared Dudley,American
340,Joe Young,American
341,Cheick Diallo,Guinea
343,Andrew Harrison,American
345,Travis Wear,American
346,James Young,Scottish
