review,sentiment
"This is probably the best movie of 2002 regarding Romanian cinema. I do recommend it being an intense drama with no lack of action and thrills. The movie concentrates upon teen life in the Bucharest suburbs trough the main character, not focusing so much on the character's shape or definition but more on the anger that he and other characters feel. The title ""Furia"" means rage rather than anger, but could be regarded in the movie in both senses from the behavior of actors. The rather odd love story (not a typical romantic one, but rather a modern suburban conception) is well shaped towards the end. It is a captivating picture, and cinematography is pretty good in catching the suburban night life thus making it a nice movie to watch and.<br /><br />You won't get bored for a minute, i promise!",positive
"This film has it's heart in the right place, but unfortunately, it isn't much of a film. It is more of a documentary under the guise of a narrative. Bamako is basically a newspaper op-ed piece put on celluloid. However, your average well-researched op-ed piece is far more cogent and concise than anything presented here. The filmmaker is trying to relay to the viewer the hardships of African life, in particular the country of Mali, due to the unethical practices of the IMF, G8, and World Bank, by using the setting of a mock trial against the aforementioned. There is an extra 10 minutes dispersed throughout the film that makes a half-hearted attempt at a narrative plot, and a bizarre Hollywood Western-style shootout scene, where the director seems quite pleased with his own cleverness (hence, the frequent Godard comparisons).<br /><br />Of course, as the film begins, what and who is on trial is never explained, but as we know by now, the French refuse to spoon-feed their audience.<br /><br />There are many impassioned arguments made, but they are often long-winded, delivered in a shrill monotone (one that becomes quite easy to tune out after awhile), and very light on specifics. The last point is the most frustrating of all since there is a very well-reasoned specific case to be made against the institutions on trial here. Unfortunately, all we get in 2 hours is that the IMF and G8 are evil oppressors and should forgive 3rd-World debt. We are given no more than the occasional hint to the specific reasons why the organizations on trial are guilty, but never a clear case. The mock-trial arguments and the footage of the surrounding village makes the suffering of these African residents clear, but one wonders why we must sit through 2 hours of it, when a far more precise picture could be painted in a 20-minute Newsweek article, or Bill Moyers episode. In the end, there is something very important to be said on this issue, it simply isn't presented very well, or very clearly, in this pretentious, indulgent piece.",negative
"I really enjoyed this episode. Seeing The Flash, Cyborg, Green Arrow, and Aquaman (even though all he did was swim) made my eyes widen. To see most of the founders of the Justice League trying to bring down Lex Luthor is what i've been waiting for. This sounds a bit off topic, but making a live action Justice League show would definitely make me have a reason to shove everything that i usually do during the week down the drain just to watch one episode. This is the thrill i got from watching this episode. I wish they had made this episode a little longer, like a two hour special, because i felt that one hour of the Justice League wasn't enough. Now before i bore you (unless i already have with my rambling) i just want to say, Smallville is cool again. It sort of lost its touch when the show started focusing on Lana. But i'm sure the writers will just fall back into that loop hole. :( So enjoy this episode. Who knows when another good one's going to come out. Catch it again this Thursday, Feb. 22, if you missed the first airing.",positive
"A dreamy, stunningly atmospheric film takes place in a small town of Northfork, Montana in 1955. The government officials arrive to evacuate the town about to be inundated by a new hydroelctrical dam. There are the other visitors in the town, the angels from another time but they only seen by a dying boy Irvin. A local priest (Nick Nolte in a quiet heartbreaking performance) takes care of the boy. Irvin pleads with the angels to leave the place with them...<br /><br />There is some unearthly quality in the film, some dignified mourning and sublime sadness when you suddenly realize the inevitable finality of everything - humans and their relationships, cities, countries, civilizations, the whole world as we know it. Death and birth have something in common - we go through them in the ultimate loneliness. <br /><br />I cannot recall the film that affected me in the same way and as deeply as ""Northfork"" did, the film so beautiful and so tender, so quiet and so powerful, so heartbreaking and so moving. Even now, after several weeks since I saw it, tears come to my eyes when I only think of it.<br /><br />After I saw it, I had to talk to somebody about it. I sent a PM to one of my friends and I asked, ""Please tell me what I just saw?"" And my friend replied with the words, ""You just saw one of the greatest films of modern times. One of these days others will see the light.""",positive
"This is like ""Crouching Tiger, Hidden Dragon"" in a more surreal, fantasy setting with incredible special effects and computer generated imagery that would put Industrial Light and Magic to shame. The plot may be hard to follow, but that is the nature of translating Chinese folklore to the screen; certainly the overall story would probably be more familiar to its native audience. However, an intelligent person should be able to keep up; moreover, the martial arts scenes potency are amplified by eye popping CGI.",positive
"Leland follows the story of Leland P. Fitzgerald (Ryan Gosling), a disaffected teenager who has apparently murdered a severely retarded peer, the brother of a girl he was dating. The issue is not whether he did it or not  Leland admits to it, straight away  but rather, why. Interestingly, rather than a crime drama, Leland becomes a character story, examining why people do what they do  not necessarily the easiest ground to till.<br /><br />And Leland features the required indie group of screwed-up people. Aside from the title character, there's also Pearl (Don Cheadle), who is his teacher at the juvenile correctional facility and who sees straight off that Leland is different. We meet Leland's distant and egotistical father (Kevin Spacey in an extended cameo), who never seems emotionally stirred in any way by what his son did. But the real flavorings come out when we immerse ourselves in the Pollards, the family of the retarded child. First, there's Leland's girlfriend Becky (Jena Malone), a drug addict who can't keep herself clean; her sister Julie (Michelle Williams), perhaps the most normal person in the film, who merely seeks to get away from it all; and Allen Harris (Chris Klein), a young man who lives with the Pollards and is Julie's boyfriend. Lastly, there's Ryan (Michael Welch), whom all the others call goofball, who cannot communicate and seems barely aware of his surroundings.<br /><br />Leland focuses primarily on its eponymous protagonist, but the movie slowly  occasionally too slowly  burrows into everyone's lives, asking the chief question, why do people do what they do? While Leland discusses it openly in a journal Pearl allows him to keep, examining notions of good and bad and personal responsibility, all the characters at some point in the film face a moment where they must make the fundamental choice of their own happiness or another's, perhaps the most basic choice any human can make. And the movie takes a good look at what goes into those choices, and the consequences of them.<br /><br />In the beginning of the film, you're simply struck by the depth of the cast. Spacey. Cheadle. Gosling. Michelle Williams. Even Chris Klein  these are people who for the most part tend to elevate any film they are in, and putting them all together makes for a heady brew. For a space in the middle the film seems to stall, sputtering along as it unfolds; it looks for a while as if it will be content merely to ask questions and not supply any answers. But when we arrive at the home stretch and the movie starts to hit its stride and come together, Leland becomes a quietly powerful piece of film-making. Leland's explanation of the world and his actions, in the end, bring every story into focus, and all the investment you've made in the film pays off.<br /><br />Saying Ryan Gosling is excellent is like saying a sunny day is nice. At this point in his career it's redundant  this is one of the finest young actors working today, and it is a pleasure to watch him craft what could have been an unlikable character into a thought-provoking protagonist. Gosling employs such subtlety here that it hardly seems like acting; he has to face off most of the film opposite Don Cheadle, whom we know has the goods, and he not only holds his own, he elevates Cheadle's game as well. Cheadle himself is in top notch form, imbuing Pearl with a fully-rounded humanity  for good and bad. Spacey is kind of one-note, but that's the character, and he handles it excellently. I was surprised by Chris Klein; with this level of acting, I thought he would be buried in the mix, but he gives probably the turn of his career so far. Terrific work all around.<br /><br />Leland is a bit of a downer, and again, it's draggy in spots. But it finishes strongly and leaves a lasting impact on the viewer (on this one, anyway). There's also a subtle commentary on racism in the film (in Leland's first day in juvenile hall class, he's the only white person in the room) that, like much of the movie, is very effectively handled. I wouldn't go so far as to call this required viewing  some might find it too slow or too odd  but I thought it was one of the better films I've seen in a while, far stronger and more satisfying than most fare out there. I'd recommend it  with the above caveats  if for no other reason than to watch Gosling further perfect his craft.",positive
"For a fan series, I must admit that Hidden Frontier is not at all that bad. But, reviewing this series can not be based on whether it is a fan series or not. The initiative in itself is commendable. The creativity as well. I reckon these are people with ordinary jobs, and a big enthusiastic heart for Star Trek. But, doing all this work. Pulling all these resources. Taking all this time, and still all those flaws.<br /><br />First of all the acting, and the lines are awful. For most. The dialogs belongs in a 70's military show, not in Star Trek. The captain (Mr Squinty) looks like he is about to burst into laughter anytime. And most characters are just reading their lines. The directors should be aware of the fact that ""retake"" is not just a word in the dictionary. But I also guess that the series are made in the manner of ""Two Takes Frakes"", who directed many of the TNG episodes and movies Also, I could not help but think that most of the actors are typical Trekkies. Without going any deeper into that assumption.<br /><br />My biggest concern regarding the whole project, is the quality of the releases. When they first decided to spend so much time, and resources on this series - why didn't they make it available in decent quality? Using the quick time format, with low low resolution is a waste of talent. Even the ""higres"" episodes is considered bad quality compared to the standard quality series are released in. Using Xvid codec, with a larger resolution and file size would have improved the experience massively. If band with problems was the issue, setting up a torrent tracker would have solved that.<br /><br />Let's hope the crew decides to brush the series up, and perhaps release it on DVD, giving it the quality the project deserves.",negative
"Old Ed was active back in the late 1950's He was apprehended 16 November 1957. The PR-24 Police Baton was invented in 1974. Yet the cops in the movie are all carrying the PR 24. Back then it would have been a standard ""billy club"" not the side handled PR 24. Sheeze, if you are gonna make movies do your research and get it right. Also it makes no mention of Ed's usage of the bodies. He tanned most of the skins and made various articles including a lampshade, a belt and several masks. He also had a large selection of ""shrunken heads"" that several local children knew about as he often babysat for them. He was found incompetent and committed to the Central State Hospital for the criminally insane.",negative
"Watching this movie was a waste of time. I was tempted to leave in the middle of the movie, but I resisted. I don't know what Ridley Scott intended, but I learned that in the army, women get as stupid as men. They learn to spit, to insult and to fight in combat, and that's also a waste of time (in my opinion). And, anyway, what the hell was that final scene in Lybia? Are they still fighting Gadafi or is it that it's easy for everyone to believe islamic people are always a danger?",negative
"The acting- fantastic. The story- amazing. The script- wonderful.<br /><br />Just a few ways to describe this movie. Yes, it's slow and it has mostly talking, but the whole story of all of their lives and how it's told with the flashbacks thrown in and out makes you want to listen to every little thing to learn more about this haunting and tragic story. I, myself, am reading the book that the movie is based off of and it has shown me even more light into this story and answers some questions that were left unanswered in the movie. I'm also to read the Exectioner's Song, which is the 'other' half of the Gilmore story. This movie made me think so much about the phrase ""piering into the other side of the looking glass"". You hear a song in the movie called Gary Gilmore's Eyes, which is by a punk band that wrote a song about what it'd be like to have Gary Gilmore's eyes(which is one of the things Gary gave as a transplant when he died) and as you listen to it, which is after the last time Mikal ever sees Gary, you look at the whole situation a little differently if you were to only here the song itself. This movie opened my eyes in that way and in many others. I recommend this movie(and the book) very very much.",positive
