,Game ID,Player Name,points,assists,Total rebounds,steals,blocks
0,0,Al Horford,17,4,13,2,-1
1,0,Jeff Teague,17,7,-1,2,-1
2,0,Kyle Korver,-1,-1,-1,-1,-1
3,0,Nikola Vucevic,21,-1,15,-1,-1
4,1,Brandon Knight,17,5,-1,-1,-1
5,1,Zaza Pachulia,16,-1,14,-1,-1
6,1,Giannis Antetokounmpo,16,-1,12,-1,-1
7,1,Kendall Marshall,15,-1,-1,-1,-1
8,1,Tim Hardaway Jr,17,4,-1,-1,-1
9,1,J.R. Smith,15,-1,7,-1,-1
10,1,Cole Aldrich,12,-1,7,-1,-1
11,1,Jason Smith,10,-1,-1,-1,-1
12,2,Courtney Lee,22,-1,-1,-1,-1
13,2,Mike Conley,24,11,-1,-1,-1
14,2,Marc Gasol,18,6,5,-1,-1
15,2,Eric Bledsoe,23,4,5,-1,-1
16,2,Goran Dragic,6,-1,-1,-1,-1
17,2,Isaiah Thomas,15,2,-1,-1,-1
18,2,Markieff Morris,20,-1,5,-1,-1
19,3,DeMar DeRozan,25,4,6,-1,-1
20,3,Jonas Valnciunas,20,-1,11,-1,3
21,3,Amir Johnson,17,-1,2,-1,-1
22,3,Greivis Vasquez,13,-1,-1,-1,-1
23,3,Louis Williams,12,-1,-1,-1,-1
24,3,D.J. Augustin,35,8,-1,-1,-1
25,3,Greg Monroe,21,-1,16,-1,-1
26,3,Andre Drummond,14,-1,8,-1,-1
27,3,Kentavious Caldwell-Pope,16,-1,3,2,-1
28,4,Reggie Jackson,22,8,2,2,-1
29,4,Andre Drummond,15,2,17,4,2
30,4,Marcus Morris,20,2,8,0,-1
31,4,Tobias Harris,15,4,4,1,-1
32,4,Khris Middleton,26,2,7,1,1
33,4,Jabari Parker,13,3,5,-1,-1
34,4,Miles Plumlee,10,0,6,1,2
35,4,Greg Monroe,10,3,7,1,1
36,5,Giannis Antetokounmpo,34,5,12,5,2
37,5,Jabari Parker,18,-1,-1,-1,-1
38,5,Michael Beasley,17,-1,-1,-1,-1
39,5,LeBron James,22,4,4,-1,-1
40,5,Kyrie Irving,20,-1,-1,-1,-1
41,5,Kevin Love,13,0,13,-1,-1
42,6,LeBron James,-1,-1,-1,-1,-1
43,6,Kyrie Irving,-1,-1,-1,-1,-1
44,6,Kevin Love,-1,-1,-1,-1,-1
45,6,Kelly Olynyk,-1,-1,-1,-1,-1
46,6,Kendrick Perkins,-1,-1,-1,-1,-1
47,6,Jae Crowder,-1,-1,-1,-1,-1
48,6,J.R. Smith,-1,-1,-1,-1,-1
49,7,Kevin Durant,23,7,9,-1,-1
50,7,Russell Westbrook,28,7,-1,-1,-1
51,7,Serge Ibaka,15,-1,-1,-1,-1
52,7,Reggie Jackson,18,-1,7,-1,-1
53,7,O.J. Mayo,18,-1,-1,-1,-1
54,7,Giannis Antetokounmpo,17,-1,7,-1,-1
55,7,Jabari Parker,15,-1,-1,-1,-1
56,7,Jarryd Bayless,11,-1,-1,-1,-1
