,country,player_name
0,Germany,Dirk Nowitzki
1,Germany,Dirk Nowitzki
2,Germany,Dirk Nowitzki
3,Germany,Dirk Nowitzki
4,Germany,Dirk Nowitzki
5,Germany,Dirk Nowitzki
6,Germany,Dirk Nowitzki
7,Germany,Dirk Nowitzki
8,Germany,Dirk Nowitzki
9,Germany,Dirk Nowitzki
10,Germany,Dirk Nowitzki
11,Germany,Dirk Nowitzki
12,Germany,Dirk Nowitzki
13,Germany,Dirk Nowitzki
14,Germany,Dirk Nowitzki
15,Germany,Dirk Nowitzki
16,Germany,Dirk Nowitzki
17,Germany,Dirk Nowitzki
18,Germany,Dirk Nowitzki
19,Germany,Dirk Nowitzki
20,Germany,Dirk Nowitzki
21,US Virgin Islands,Tim Duncan
22,US Virgin Islands,Tim Duncan
23,US Virgin Islands,Tim Duncan
24,US Virgin Islands,Tim Duncan
25,US Virgin Islands,Tim Duncan
26,US Virgin Islands,Tim Duncan
27,US Virgin Islands,Tim Duncan
28,US Virgin Islands,Tim Duncan
29,US Virgin Islands,Tim Duncan
30,US Virgin Islands,Tim Duncan
31,US Virgin Islands,Tim Duncan
32,US Virgin Islands,Tim Duncan
33,US Virgin Islands,Tim Duncan
34,US Virgin Islands,Tim Duncan
35,US Virgin Islands,Tim Duncan
36,US Virgin Islands,Tim Duncan
37,US Virgin Islands,Tim Duncan
38,US Virgin Islands,Tim Duncan
39,US Virgin Islands,Tim Duncan
40,Croatia,Toni Kukoc
41,Croatia,Toni Kukoc
42,Croatia,Toni Kukoc
43,Croatia,Toni Kukoc
44,Croatia,Toni Kukoc
45,Croatia,Toni Kukoc
46,Croatia,Toni Kukoc
47,Croatia,Toni Kukoc
48,Croatia,Toni Kukoc
49,Croatia,Toni Kukoc
