,Game ID,team_name,wins,losses,total_points
0,0,Atlanta Hawks,46,19,95
1,0,Orlando Magic,-1,41,-1
2,0,Miami Heat,46,19,95
3,0,Charlotte Hornets,3,-1,-1
4,0,Toronto Raptors,46,12,95
5,0,Charlotte Hornets,3,-1,-1
6,0,Atlanta Hawks,46,19,95
7,0,Orlando Magic,-1,41,-1
8,0,Miami Heat,46,12,95
9,0,Charlotte Hornets,3,-1,-1
10,0,Atlanta Hawks,46,19,95
11,0,Miami Heat,46,19,95
12,0,Toronto Raptors,46,12,95
13,0,Orlando Magic,-1,41,-1
14,0,Charlotte Hornets,3,-1,-1
15,1,Milwaukee Bucks,18,5,95
16,1,New York Knicks,-31,-17,82
17,2,"Grizzlies,Suns",50,3,102
18,3,Toronto Raptors,29,17,114
19,3,Detroit Pistons,17,28,-1
20,4,Detroit Pistons,30,29,102
21,4,Milwaukee Bucks,-1,-1,-1
22,5,Milwaukee Bucks,8,13,-1
23,5,Cleveland Cavaliers,8,13,-1
24,6,Cleveland Cavaliers,40,0,101
25,6,Boston Celtics,0,4,101
26,7,Oklahoma City Thunder,8,13,114
27,7,Milwaukee Bucks,-1,-1,-1
28,8,New York,1,-1,-1
29,8,Atlanta,1,0,45
30,9,Warriors,1,-1,-1
31,9,Clippers,-1,0,-1
