,Game ID,team_name,wins,losses,total_points
0,0,Atlanta Hawks,46,19,95
1,0,Orlando Magic,-1,41,-1
2,0,Miami Heat,46,12,95
3,0,Charlotte Hornets,3,-1,-1
4,0,Toronto Raptors,46,12,95
5,0,Charlotte Hornets,3,-1,-1
6,0,Atlanta Hawks,46,19,95
7,0,Orlando Magic,-1,41,-1
8,0,Miami Heat,46,19,95
9,0,Charlotte Hornets,3,-1,-1
10,0,Atlanta Hawks,46,19,95
11,0,Miami Heat,46,19,95
12,0,Toronto Raptors,46,12,95
13,1,Milwaukee Bucks,18,5,95
14,1,New York Knicks,-31,5,82
15,2,"Grizzlies,Suns",50,3,102
16,3,Toronto Raptors,29,17,114
17,3,Detroit Pistons,17,28,-1
18,4,Detroit Pistons,30,29,102
19,4,Milwaukee Bucks,-1,-1,-1
20,5,Milwaukee Bucks,8,13,-1
21,5,Cleveland Cavaliers,8,13,-1
22,6,Cleveland Cavaliers,40,0,101
23,6,Boston Celtics,0,4,101
24,7,Oklahoma City Thunder,8,13,114
25,7,Milwaukee Bucks,-1,-1,-1
26,8,New York,1,-1,-1
27,8,Atlanta,1,0,45
28,9,Warriors,1,-1,-1
29,9,Clippers,-1,0,-1
30,10,New York Knicks,28,40,90
31,10,Los Angeles Lakers,-1,-1,-1
32,11,"Raptors,Bucks",55,None,None
33,12,Memphis Grizzlies,1,0,105
34,12,Minnesota Timberwolves,-1,-1,-1
35,13,Brooklyn Nets,37,42,117
36,13,Washington Wizards,-1,-1,-1
37,14,Washington Wizards,36,37,101
38,14,Los Angeles Lakers,15,58,101
39,15,Cleveland Cavaliers,53,29,113
40,15,Washington Wizards,46,36,-1
41,16,Los Angeles Lakers,5,23,111
42,16,Denver Nuggets,11,17,111
43,17,"Dallas,Portland",20,30,108
44,18,Miami Heat,30,2,107
45,18,Toronto Raptors,-1,-1,-1
46,19,,-1,-1,-1
47,20,"Magic,Pacers",14,69,32
48,21,Memphis Grizzlies,8,7,110
49,21,Dallas Mavericks,7,1,96
50,22,Rockets,34,-1,123
51,22,Dallas,-1,-1,-1
52,23,Nuggets,15,28,101
53,23,Timberwolves,-1,28,101
54,24,New Orleans Pelicans,37,30,-1
55,24,Milwaukee Bucks,-1,34,-1
56,25,Los Angeles Clippers,14,8,120
57,25,New Orleans Pelicans,8,10,100
58,26,Washington Wizards,19,19,118
59,26,Indiana Pacers,19,22,118
60,27,Memphis Grizzlies,37,24,94
61,27,Utah Jazz,-1,-1,-1
62,28,Portland Trail Blazers,19,25,108
63,28,Washington Wizards,-1,-1,-1
64,29,Oklahoma City Thunder,32,23,-1
65,29,New York Knicks,23,34,-1
66,30,Utah Jazz,18,33,102
67,30,Sacramento Kings,17,32,90
68,31,Charlotte Hornets,19,22,124
69,31,Utah Jazz,-1,-1,-1
70,32,Golden State Warriors,28,1,89
71,32,Cleveland Cavaliers,28,19,89
72,33,Memphis Grizzlies,31,12,101
73,33,Philadelphia 76ers,-36,8,83
74,34,San Antonio Spurs,14,3,-1
75,34,Dallas Mavericks,14,3,-1
76,35,Houston Rockets,50,-1,108
77,35,Miami Heat,3,1,91
78,35,Memphis Grizzlies,-1,-1,-1
79,35,Golden State Warriors,-1,-1,-1
80,35,San Antonio Spurs,50,-1,108
81,35,Charlotte Hornets,50,-1,108
82,36,Sacramento Kings,6,9,116
83,36,Oklahoma City Thunder,6,9,116
84,37,Phoenix Suns,34,32,106
85,37,Minnesota Timberwolves,-1,-1,-1
86,38,Philadelphia 76ers,-2,2,71
87,38,Utah Jazz,1,0,71
88,38,Indiana Pacers,-1,2,71
89,38,Cleveland Cavaliers,-1,-1,-1
90,39,"Thunder,Grizz",1,-1,-1
91,40,Sacramento Kings,1,0,96
92,40,Toronto Raptors,1,0,96
93,41,Brooklyn Nets,15,56,126
94,41,Phoenix Suns,22,50,-1
95,42,Suns,33,-1,12
96,42,Kings,-1,-1,-1
97,43,Chicago Bulls,8,3,105
98,43,Los Angeles Clippers,5,4,105
99,44,Memphis Grizzlies,34,23,-1
100,44,Brooklyn Nets,-1,46,-1
101,45,Miami Heat,25,32,117
102,45,Houston Rockets,18,40,109
103,46,Pelicans,1,-1,-1
104,46,Detroit,1,-1,-1
105,47,Denver Nuggets,19,24,93
106,47,New Orleans Pelicans,-1,-1,-1
107,48,Warriors,-1,-1,-1
108,48,Lakers,-1,-1,-1
109,49,Houston Rockets,40,17,77
110,49,Phoenix Suns,17,38,-1
