Message ID,Subject,Message,Spam/Ham,Date
7330,interview schedule for aram sogomonian,"please find the interview packet for the above - referenced person . the
interview will occur on wednesday october 25 , 2000 . please print both
documents for your reference . if you have any questions , or conflicts of
schedule , please do not hesitate to contact me . resume will be delivered via
runner .
stephanie
58701",ham,2000-10-20
3331,cdnow shipment confirmation,"dear daren ,
thank you for shopping at cdnow . please keep this email invoice for
your records .
on june 16 we shipped your order number 30320418 for the following item :
cory morrow : man that i ' ve been
format : cd quantity : 1 price : 12 . 49
to the following address via u . s . postal service :
daren farmer
2747 meadowtree ln
spring , tx 77388
total number of items : 1
subtotal : $ 12 . 49
shipping : $ 2 . 99
sales tax : $ 0 . 00
- - - - - - - - - -
shipment total : $ 15 . 48
your order was billed to daren farmer . this shipment completes your
order and is paid in full .
most orders arrive within 4 - 8 business days . however , in rare instances
it may take up to 2 weeks .
please note , at cdnow , we will accept the return of any unopened item ,
except vinyl recordings , within 30 days of delivery for a full refund
of the purchase price ( minus shipping and handling ) .
what ever happened to a - ha ? ralph macchio ? catch up with old friends and
see our list of the top ' 80 s one hit wonders when you visit "" it came
from the ' 80 s : then and now . "" your trip down memory lane begins here :
evguide is the one - stop place for online shoppers to find online value .
please visit http : / / www . evguide . com for :
? big savings from the best sites on the web
? free 1 - year subscription to the magazine of your choice
? win a $ 50 , 000 online shopping spree
all this and more at :
for complete information about your order ( number 30320418 ) or to
confirm the status , click or copy / paste this link into your web browser :
http : / / cdnow . com / myorder / otid = 30320418
you can also access your order history directly from our homepage .
please do not reply to this email . if you have questions about your order that are not addressed in your online order history , please visit our contact cdnow page using this link :
http : / / cdnow . com / service
fast forward rewards ( tm ) program points for this order will
be credited in your membership summary as "" points earned . ""
thanks again for your order .
sincerely ,
cdnow customer service
never miss a beat .
cdnow , inc .
http : / / cdnow . com
aol keyword : cdnow
1757978",ham,2001-06-17
7382,re : associate / analyst super saturday participation - additional,"request
shelly ,
these are the super saturdays i can help you with :
nov 10
dec 1
dec 8
dec 15
i shall be traveling on two other days . one of these trips is related to
recruiting at cmu .
vince
vince
enron north america corp .
from : shelly jones , recruiting manager @ enron
10 / 24 / 2000 09 : 12 pm
sent by : enron announcements @ enron
to : ena employees
cc :
subject : associate / analyst super saturday participation - additional request
additional interviewer participation is requested for october 28 & november
4 .
also , please note the school / date changes ( in red ) . this change was
necessary due to the number of candidates participating in super saturday .
if you have a change in your participation as a result of the date change ,
please contact john harrison , ext . 3 - 7811 for revisions .
thank you
shelly jones
enron managing directors , vice presidents , directors , and managers who
utilize the associate / analyst pool
as a follow up from a "" save the date "" email regarding your participation in
the associate and analyst super saturday process , now is the time to select
your dates to attend and participate .
below are the dates for super saturday weekends during the upcoming
recruiting season . if you are houston - based or if you know you will be in
houston on business at the appropriate times please click the link below to
volunteer .
( when selecting dates please avoid selecting to interview candidates who
attend the schools for which you are a team member . )
associates analysts
october 27 - 28 , 2000 november 3 - 4
thunderbird , ut , georgetown , rice rice , ut , baylor , a & m , ou , florida , lsu ,
uhcl
november 10 - 11 , 2000 november , 17 - 18 , 2000
columbia , stern nyu , ucla , darden , cornell penn , uva , vanderbilt , michigan ,
howard , auc ,
vanderbilt , michigan uhmain and clear lake , lsu
december , 1 - 2 , 2000 december 8 - 9 , 20000
chicago , kellogg , harvard , wharton , mit wellesley , overflow and re - schedules
from previous s / s
-
friday , december 15 , 2000
carnegie mellon
yale off - cycle candidates
thank you for your support of the associate and analyst programs .
shelly jones
recruiting manager",ham,2000-10-25
22908,meeting reminder,"the meeting to discuss , "" var , reporting and resources ii "" has been canceled .
please adjust your schedules to reflect this update .
many thanks ,
barbara lewis
- - - - - - - - - - - - - - - - - - - - - - forwarded by barbara lewis / hou / ect on 06 / 08 / 2000 10 : 13
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
barbara lewis
06 / 07 / 2000 09 : 27 am
to : sally beck / hou / ect @ ect , philippe a bibi / hou / ect @ ect , rick
buy / hou / ect @ ect , grant masson / hou / ect @ ect , michael e moscoso / hou / ect @ ect , ted
murphy / hou / ect @ ect , beth perlman / hou / ect @ ect , stephen stock / hou / ect @ ect
cc : patti thompson / hou / ect @ ect , peggy mccurley / hou / ect @ ect , karen k
heathman / hou / ect @ ect , shirley crenshaw / hou / ect @ ect , maria
sandoval / hou / ect @ ect , rita hennessy / na / enron @ enron , cherylene r
westbrook / hou / ect @ ect , giselle james / corp / enron @ enron
subject : meeting reminder
the meeting to discuss , "" var , reporting processes and resources ii "" will take
place friday , june 9 , 2000 at 9 : 00 a . m .
the location is eb 32 c 2 . please adjust your schedules to reflect this
important meeting .
many thanks ,
barbara lewis
x 3 - 5085",ham,2000-06-08
15950,bought a new cd ?,"do you see evidence of e - mails being sent without your knowledge ?
spyware may be to blame
don ' t let people invade your privacy
free download here : http : / / thieves . fightpyco . net
prevent the installation of activex - based spyware
end home page hijacking
prevent the installation of browser based spyware
and other potentially unwanted pests .
try our online scan now : http : / / peony . spywareremovenow . com
q ' u , ! . t http : / / yugoslavia . spywareremovenow . com / discon",spam,2005-02-28
8243,houston trip,"hi jaideep !
my first suggestion is that you come to houston as scheduled ( and arranged
with wharton nearly 3 weeks ago ) . alternatively , rely on your tiger
teammates to gather information necessary to respond to the project . should
circumstances lead you to decide not to come for this trip , please return the
ticket issued to you . should it make sense for you to visit enron some time
in the future , we can discuss arrangements at that time .
hope to see you soon !
- - christie .
- - - - - - - - - - - - - - - - - - - - - - forwarded by christie patrick / hou / ect on 01 / 18 / 2001
01 : 22 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jaideep singh "" on 01 / 17 / 2001 08 : 58 : 51 pm
to :
cc :
subject : houston trip
hello christie ,
thank you for organizing the wharton trip to enron . unfortunately , the
flight setup for tomorrow is way too early for me as i ' ll have to miss over
4 hours of classes , which i cannot afford to do . i tried changing the time
with continental and there latest flight leaves at 6 pm - which does not work
for me ( smack in the middle of my 3 hour class )
thus the dilemma that i find myself in is the following :
a . try a different flight as i can make any flight after 7 : 30 pm ( however , i
have no control over reservations / budget etc )
b . as it is possible to delay travel upto 1 year , use this ticket to come
some other time
sorry for this but i just saw the bookings today .
any suggestions ?
thanks ,
jaideep",ham,2001-01-17
8408,re : java training,"stinson -
looks like we ' re in , to split the costs of the class with you . george will
contact you soon .
clayton
- - - - - - - - - - - - - - - - - - - - - - forwarded by clayton vernon / corp / enron on 01 / 29 / 2001
08 : 38 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
lloyd will @ ect
01 / 29 / 2001 08 : 38 am
to : george hopley / hou / ect @ ect , clayton vernon / corp / enron @ enron
cc :
subject : re : java training
sounds good .
george please coordinate our attendance .
thanks .
george hopley
01 / 27 / 2001 01 : 29 pm
to : lloyd will / hou / ect @ ect
cc :
subject : java training
let ' s offer this to the analysts / specialists .
george
- - - - - - - - - - - - - - - - - - - - - - forwarded by george hopley / hou / ect on 01 / 27 / 2001 01 : 29
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
clayton vernon @ enron
01 / 27 / 2001 09 : 06 am
to : george hopley / hou / ect @ ect
cc :
subject : java training
george -
here ' s the story .
research forwarded to their personnel a solicitation they received for java
training by an outside person , weeklong classes for true beginners and for
those with decent programming experience in other languages ( esp c + + ) . vince
had pre - agreed tlo pay for it for anyone who wanted it . but , the response
they got was so "" overwhelming "" they reconsidered , for financial reasons , and
decided it would be better to just hire a professor to teach a class for a
week here . the costs would be around $ 15 , 000 , and there should be room for
around 15 people in the class . they have 6 - 8 people , and wonder if we might
have some people who would want to do it ( a no - brainer - java is a big - time
resume pad these days ) and would be willing to share the costs with them .
what is your opinion on this ? personally , i think it ' s a relatively
inexpensive investment in our people , although , selfishly , it does increase
their ' market value ' so to speak . ( of course , nothing keeps directors from
going to the class as well : ) )
clayton",ham,2001-01-29
26982,in the heart of your business !,"corporate image can say a lot of things about your
company . contemporary rhythm of life is too dynamic . sometimes it takes only
several seconds for your company to be remembered or to be iost among
competitors . get your logo , business stationery or website done right
now ! fast turnaround : you wiii see severai ioqo variants in three
business days . satisfaction quaranteed : we provide uniimited amount of
chanqes ; you can be sure : it wili meet your needsand fit your
business . fiexibie discounts : loqo improvement , additional formats , buik
orders , special packages . creative design for competitive price : have a look at it right
now ! _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",spam,2005-07-16
1626,"hpl nom for sept . 19 , 2000","( see attached file : hplo 919 . xls )
- hplo 919 . xls",ham,2000-09-18
32295,hello !,"good day .
adiu",spam,2005-03-24
