review,sentiment
"This highly underrated film is (to me) what good writing in a movie should be all about. Kasdan takes the search for meaning in our lives and lays it out for all to see and wonder at. The movie is about the divides people create to insulate themselves from the violence and hatred and bigotry of everyday life. <br /><br /> Along the way we are asked question after question about life. Davis (Steve Martin with a great beard) asks himself 'Is my making a violent movie (and by extension our enjoyment of it) causing the violence in society?' Claire asks ""What kind of world throws away something as precious as a human life?' Mack is not immune as he asks 'Is it possible to pass beyond the bounds of race and (an even harder step) finance? These are of course not quoted from the film, but generalities. Others ask their questions too, and to be honest it raises more than it answers.<br /><br /> But that is the nature of life. We strive all our lives to find answers to questions we will never totally answer, and in certain cases have to make answers fit to our own needs and desires. As humans we thrive on questions we cannot answer. Some answers are real. Claire and Mack come to realize that even though they could take the easy road and let the state take the baby, their finding it placed the responsibility for her life in their hands. Some answers are not. Davis `Sees the Light' and decides not to make violent films, but the next day turns around and dismisses his epiphany as subordinate to his art.<br /><br /> We all seek answers. This movie does not answer them for; it simply reminds you to keep looking for the answers.<br /><br />",positive
"Elizabeth Ward Gracen, who will probably only be remembered as one of Bill Clinton's ""bimbo eruptions"" (they have pills for that now!) is probably the weakest element of this show. It really continues the tired formula of the Highlander Series- The hero immortal encounters another immortal with flashbacks about the last time they met, but there is some conflict, and there is a sword fight at the end where you have a cheap special effects sequence.<br /><br />Then you have the character of Nick Wolf. Basically, your typical unshaven 90's hero, with the typical ""Sexual tension"" storyline. (Seriously, why do you Hollywood types think sexual tension is more interesting than sex.) This was a joint Canadian/French production, so half the series takes place in Vancouver imitating New York, and the other half is in Paris... Just like Highlander did.",negative
"Running Out of Time rests somewhere in the middle of Johnny To's cannon, in the ""solid good"" category. As a crime thriller it's not terribly original or overwhelming and the action scenes will not blow you away but it has something else going for it. It's a Johnny To film after all, it has to.<br /><br />Andy Lau has 72 hours to live. He decides to play a strange cat-and-mouse game with a hostage negotiator of the HK police, played by Lau Ching Wan. That's the plot in a nutshell. On top of that To piles layers of twists and turns that keep proceedings interesting throughout. It occasionally becomes too convoluted for its own sake but never lets it get the best of it. However, just as Johnny To is about to hand over a slick and well-made crime flick (which, let's face it, are dime-a-dozen), he slips in bits and pieces that bring Running Out of Time alive as a full emotional experience, providing the soul and heart to the well-oiled skeleton.<br /><br />The concepts of synchronism and minimalism (staples in his work) are explored in great effect here. Always subtle, letting the images speak for themselves, giving them time to develop with long takes and slow tracking shots, exemplary cutting to the score, it's all here. A small love story in a bus between Andy Lau and a girl is among the highlights of the film and part of the ""heart"" I'm talking about. So simple yet so powerful. Ditto for Lau's and Lau Ching Wan's car scenes and the bowling-room showdown.<br /><br />However something stops me from claiming Running Out of Time is a masterpiece. To has all the ability and craftmanship down to a notch but he can also be too workmanlike or bland at times. When he's good, he's REAL good. There are even isolated moment of pure brilliance that are just TOO good for their own sake, leaving a bittersweet aftertaste for the rest of the movie. I'm convinced that if he puts his heart to it, he can make a really great film. As it is, this is another one of his films that is flawed but enjoyable. Underneath the slick HK style, it's the black humour and heartfelt drama that makes this a compelling film. Worth watching, definitely.",positive
"My all-time favorite movie! I have seen many movies, but this one beats them all! Excelent acting, wonderful story. You will, as a ""normal"" caring person start to love George. Altough he is an actor, he is also himself and a very lovable person. And maby most important thing: you will learn to respect & look different to people with Down Syndrome.",positive
I had high expectations for this movie and was excited about renting it but was very disappointed when I saw it. It was very poorly written and sort of just fell apart. There wasn't a lot of good anything in this movie except maybe special effects.,negative
"First of all, this movie isn't a complete disaster. If you had never heard of the real story of Gram Parsons then it might seem a reasonably entertaining diversion. Johnny Knoxville can't really be criticised for his performance as Phil Kaufman - he's pretty good at looking laid-back and down to earth and you can sort of root for his long-suffering everyman. Michael Shannon is due credit for pretty much the same reasons, except he's a hippy stoner. There are some good individual comedic scenes - the hippy-hearse crashing into the airport hanger door stands out. But that's where the good things end, and we begin to see the aspects that make this movie so truly disappointing. The character of Robert Forster as Gram's actual father is an invention so disgraceful as to cast a taint over the entire film. We all know his real father committed suicide when he was young - something that could surely be compared to Gram's life on the edge by a better film-maker. Having Forster as his supposed real father, and not his step-father would be bad enough, if not for the well known difficulties Gram had with the man who actually flew to collect his body. It has been suggested that his step father had admitted to providing Gram's mother with alcohol as she lay dying and that this enraged Gram when he later found out about it. Also the controversy over where Gram's body was buried would surely be reason enough not to invent a benevolent made-up father who actually catches up to the duo and their hearse, but then allows them to go ahead with the burning. Whatever the truth about the man who Gram got the name Parsons from, he certainly bore no resemblance to Forster's character here, and it is hard to see why this role was written. Then there's the addition of Christina Applegate as a greedy chick (yet very pretty of course) who wants Gram's body back so that she can begin to cash in on his estate. Her character, and her acting are non-existent and one wonders why the director didn't just go the whole hog and include a lesbo scene between her and the chick who plays Kaufman's girlfriend(it wouldn't have lowered the tone a whole lot more). When you think of the ingredients that could have been used in a good movie about Parsons, the shortcomings of this film are easily apparent. Country music being changed by a young, polite, southern gentleman - who was also long haired, drug loving, popular with the ladies and ultimately self destructive. Real events like the hanger door crash and the painted hearse and friends like Keith Richards. Instead of these things we have to concentrate wholly on Kaufman's input into Gram's life. Kaufman is obviously still lapping up the cult status he received for what he did (he certainly is a little cult). From interviews it is obvious that he's delighted with the attention. Remember this is the man who made a remark about the genitalia of the naked corpse of Gram Parsons as he was preparing to set it alight. What he did was not an act of great loyalty, but a doped up alcoholic escapade. Looking at Knoxville and the director in interviews, a few things become clear also. It's obvious that they have no real grasp of the story of Gram's life, nor do they wish to have. They want a hit movie about an event that is infamous and crazy. It was an amazing life with a strange end. That the end is the only thing covered by this movie shows how limited an understanding of Gram Parsons the makers had.",negative
"At times when I watch this movie i start to think that the people who made this movie were on drugs.What's wrong with this film I'll tell you Bad Plot,Bad Jokes.Bad Acting and flat-out characters everything just bad.<br /><br />The movie is about Pest Vargas a two-bit scam hustler who is given the chance at $50,000 to survive for 24 hours by a German hunter who kills people for a living.so now Pest must think of ways to out think this hunter before he gets killed.<br /><br />I know what your thinking ""What The Hell is this?"" a another wannabe Ace Ventura trying to get money really this plot is just dull and confusing at times it changes the story plot and you get lost during the film.<br /><br />As for the funny scenes this film I had a straight face oh yeah I did smile a couple times but nothing laugh-out loud.besides the jokes are corny and seen before it's like watching Ace Ventura meets Dumb and Dumber but bad.<br /><br />As for character development it's dry and flat.You don't learn much about the main character Pest all you know is he's a annoying scam hustler but that's it he doesn't change his image or be a little smart just corny.as for The German hunter all you is that he's crazy and wants to go back to Germany.really you start to wonder why is this guy living on an island if has money to go to Germany.The hunter's son Himmel fares better but not much.He's really a coward and is snake-obsessed for reasons by the end He stands Up to his father and sides with Pest.<br /><br />As for the acting no only were there any memorable perforamces but just over the top.For example John Legizomo is so over the top with performance and dosen't fit in his role he's out of place as for Jeffery Jones who plays the hunter same thing but gives a stereotypical performance as well.as for the rest either just no used enough or just over the top.<br /><br />overall bad comedy that you'll find for $2.00 at K-Mart.",negative
"I found Tremors 4:The Legend Begins, to be dull and boring.All the action scenes were stupid.The so called ""GRABOIDS"" are reduced to the size of a modern day house cat, if not smaller.The acting was horrendous, and this film was just an unnecessary movie in the Tremor saga, because even though it tells the story of how the graboids were formed, the story is so dumb and useless.Also, if you want to tell a story WAY back in time, make sure you use the SAME ACTOR(Michael Gross), to be someone in the past, when he's someone in the present in the other Tremor movies.Geez...If you haven't seen this film, don't waste your time.Stick to Tremors, 1, 2, and 3, for a good time.This film however, make sure you're remote is sitting right next to you with the STOP button working for a quick retreat away from this nonsense.",negative
"America. A land of freedom, of hope and of dreams. This is the nation that, since its independence, has striven to bring democracy, prosperity, and peace to the entire world, for the good of all mankind. There are times, however, when one cannot help but wish that the American's would just stay on their side of the Atlantic. <br /><br />This 'movie' (and I use that word with some reservations) evokes these feelings with an intense purity. This vision of hell follows the adventures of Calvin, a freakish jewel thief who was created by attaching the severed head of Marlon Wayan onto the body of a two foot-high dwarf. After inadvertently dropping a large diamond into the handbag of Vanessa, a career-woman who is reluctant to have children, Calvin realises that in order to recover the diamond he must ingratiate himself with her. So, as any normal man would, Calvin dresses himself up as a 2 year-old and parks himself upon the poor woman's doorstep, where he is discovered by Darryl, the broody husband of Vanessa. <br /><br />Darryl incongruously falls for Calvin's disguise despite the fact that the 'baby' has a full set of teeth, stubble, a tattoo, a knife-scar, and the sex-drive of a 16-year-old. Even more absurdly, Vanessa doesn't see past Calvin's baby-wear either and actually attempts to breastfeed the diminutive pervert. This wretched assault upon the soul of mankind attempts, and fails, to find humour in rape, scatology, sexual assault, and paedophilia, however, in a dishonest attempt to transform itself into a piece of 'family-entertainment' the Wayan brothers stir in a sickening amount of sentiment and flawed morality. <br /><br />The brothers dim attempt a Freudian rehabilitation of their thieving rapist by revealing that he ""had a bad father"". Repeatedly hitting Darryl in the crotch enables Calvin to develop the loving father-son relationship that both he and Darryl have always wished for. As if this wasn't ridiculous enough, Calvin's attempts to sexually assault Vanessa somehow convince her that it is selfish for a woman to indulge herself with a successful career, and that instead she should spend her life playing the role of the housebound little-woman, who spends her time alternatively squeezing out babies and cooking for her husband. <br /><br />In this movie the Wayan brothers have mixed their crass and twisted form of humour together with the clichéd sentimentality that has infected much of Hollywood's recent body of work. Additionally, they are endemic of the current generation of black comedians who are responsible for transforming African-American humour into a poor and wretched shadow of itself that over-indulges in fart-jokes and crude sexual gags. By rights these two should be legally barred from picking up anything even remotely resembling a camera ever again. <br /><br />Unfortunately the current artistic and moral bankruptcy of American cinema means that by this time next month they will undoubtedly have filmed two sequels and be making millions of dollars from tacky merchandising deals.",negative
"If you were ever sad for not being able to get a movie on DVD, it was probably 'Delirious' you were looking for. How often do you laugh when watching stand up comedy routines? I was too young to see Richard Pryor during his greatest time, and when I was old enough to see Eddie Murphy's 'Delirious' and 'Raw' (not as funny) I never knew where Eddie got a big part of his inspiration. Now that I'm older, and have seen both Pryor and many of the comedians after Murphy, I realize two things: Everybody STEALS from Eddie, while Eddie LOVINGLY BORROWED from Richard. That's the huge difference: Eddie was original, funny, provocative, thoughtful  and more. He was something never before seen. He was all we ever needed. These days Eddie Murphy is boring and old  but once upon a time he was The King, and 'Delirious' was the greatest castle ever built. Truly one of the funniest routines of all time.",positive
