review,sentiment
"<br /><br />Giorgino is a strange, dark, obsessive object; the casting is impressive, the plot is powerful, reminded me of Edgar Poe's tales. Probably not a masterpiece, but it does leave us with the remembrance of strong images, fine music, fear, sadness, confusion, and a sentence that says it all : the wolves are coming. GIORGINO is quite forgotten now, and when it was released nobody seemed to appreciate it. That's a shame. If you ever have a chance to see this, well... give it a try.",positive
"The German regional-broadcast-station WDR has shown both ""The General"" and ODC. On Saturday I've seen ""The General"" and I thought, it wasn't very bad, but not very good too. But yesterday I've seen ODC and I switched it off after about an hour. Although Kevin Spacey was the main actor the movie was totally confusing and seems restless. ""The General"" told the story straight and ordered, but ODC just wanted to be cool. There is a reference on the Guy Ritchie Movies ""Lock, Stock and Two Smoking Barrels"" and ""Snatch"", but doesn't have the Coolness of these movies.<br /><br />So, in the end I would rate it 3 of 10!",negative
"Way back in 1996, One of the airliner pilots where I used to work gave me a copy of this film. He told me that It'll make me cry. I never believed him and we even made bets. After seeing the film....I cried a bucket! Even after the seeing the film, I found myself in the bathroom crying. It was actually the most touching film I have ever seen. I like the part where Dexter's mom confronted Eric's mother the line went something like... ""your sons' best friend just died today..and it's not gonna be easy...if you ever lay your hands on him again...I will kill you!"" The last part where Dexter took Eric's shoe was a scene that never left my mind until today. Honestly, just thinking about it makes my eyes teary. A story of what true friendship is all about. My girlfriend loved it too... She hated me for letting her see the film. I cried a bucket, she cried a river.",positive
"Produced at a point in his career, where he had the juice to do whatever he wanted, Eddie Murphy took on the task of producing, directing, co-writing and starring in HARLEM NIGHTS, an expensive-looking but ultimately empty gangster saga about a group of black nightclub owners/gangsters running a ritzy club during the 1930's, headed by a wisecracking hot shot (Eddie Murphy)and his adopted father (Richard Pryor) and their attempts to avoid being overrun by white gangsters who think they are taking over turf that, it seems, they think is rightfully theirs, simply by virtue of their color. This was an idea that probably looked great on paper but it definitely lost something in the translation. This was a vanity piece for Eddie and I think he spreads himself a little too thin here trying to be the whole show here. Admittedly, it was a pleasure seeing Murphy and Pryor together on screen, but the rest of the large supporting cast, including Arsenio Hall, Redd Foxx, Della Reese, Michael Lerner, Danny Aiello, Jasmine Guy, Thomas Mikal Ford, Stan Shaw, and Eddie's brother, are really given precious little to do (though I will admit Murphy's fight scene with Della Reese is hysterically funny and probably, the movie's best scene). Murphy clearly poured a lot of money into this film and a good deal of it shows on screen. The art and set direction are impressive and the breathtaking costumes should have won an Oscar, but this one was a big miss for Eddie as he definitely tried to wear too many hats.",negative
"this particular title is very interesting. the whole movie was like watching a ninja RPG, which is really cool. three magical swords, three clans, a horrible demon, a political power, yotoden has it all. the animation is decent, but a little grainy, the story is top notch, and the fight scenes are real cool. one thing that really looks good in this movie are the monsters. they are pretty freaky. if you liked blood reign and ninja scroll, yotoden is the one to see.",positive
"Kevin Kline and Meg Ryan are among that class of actors which I am always interested in seeing, despite reviews. I have always found Ms. Ryan to be a charming and winsome actress in nearly all her roles, and Kevin Kline is almost always worth watching.<br /><br />I say ""nearly"" and ""almost"" in large part because of this movie.<br /><br />First off, Meg Ryan does not play a likeable character, she plays a weak-willed whiner who begins grating on your nerves shortly after the opening credits and doesn't give up until several days later. That said, Kevin Kline's character is even more annoying and less likeable. So, even if you normally like these two actors, I recommend your give this movie a pass.",negative
"Sometime in 1998, Saban had acquired the rights to produce a brand-new Ninja Turtles live-action series. Naturally, being a fan of the TMNT back in the day, this obviously peaked my interest. So when I started watching the show... to say I was disappointed by the end result is an understatement. Some time later (more like recently), I got a chance to revisit the series.<br /><br />First off, let's talk about some of the positives. They managed to re-create the Turtles' lair as it was last seen in the movies fairly well given the limited budget they threw in with this. There tends to be this darker atmosphere overall in terms of the sets and whatnot. And the Turtle suits, while not the greatest piece of puppetry and whatnot, were functional and seemed pretty sturdy for most of the action stuff that would follow in the series.<br /><br />People tend to complain about getting rid of Shredder quickly and replacing him with these original villains who could have easily been used in a Power Rangers show. But you can only have Shredder get beat so many times before it gets boring and undermines his worth as a villain... and besides, most fans don't realize or don't remember or just plain ignore the fact that in the original comic, the Shredder was offed in the very first issue! Never mind the countless resurrections that would follow. So on a personal standpoint, I was sort of glad they got rid of Shredder because then the anticipation would build to the point where they would eventually bring him back in a later episode. I find that Shredder in small quantities work best because then his encounters with the Turtles are all the more memorable.<br /><br />Unfortunately, they end up replacing him with these original villains who, as stated, seemed more fit for a Power Rangers show than a Ninja Turtles show. And with these new magic-wielding generics comes a new female magic-wielding turtle, the infamous Venus De Milo. I'll be honest; I never got comfortable with her. I'm not against the idea of a female turtle; I'm just against the idea of one who uses magic and thus sticks out like a sore sight among a clan of ninja turtles who seem somewhat out of their domain. I almost get the impression that this could have easily been the Venus De Milo show dealing with her make-believe enemies and the TMNT are just there to provide the star power (or whatever was left considering the timeframe this was released). Fortunately, they all share the spotlight together.<br /><br />Next Mutation was canned after a season on the air and the creators were more than happy to ignore it. Given time and maybe another season, I really believe this live iteration of the TMNT could have been something and might have gotten a chance at greatness. But while the idea was sound, the execution was flawed (although there are a couple good episodes in this series). As it stands, Next Mutation is one of those oddities in Turtledom that is best left buried and forgotten.",negative
"Anyone who has read my review for Uwe Boll's ""Alone In The Dark"" will remember that I compared the unenviable task of sitting through that piece of human waste to having each and every hair on your arm pulled out. Well, take that analogy a step further with this irredeemable gutter trash and try to imagine the pain of getting your teeth extracted without novacaine. Do that, and you'll have a general idea of what Eli Roth's ""Cabin Fever"" is all about.<br /><br />I never believed any one film was capable of topping the sheer agonizing dreck that Uwe Boll cranks out as the ""worst film ever made."" But, in all honesty, I have to say ""Cabin Fever"" comes very close. This is yet another sad excuse for a motion picture that had absolutely no valid reason to meet with any form of theatrical release. For somebody who claims to love the horror genre as much as Eli Roth does, he has created the single most annoying and convoluted patchwork of a movie I think I have ever seen in my entire life. How do you screw up a story like this? Think of the potential this plot would have had without the poorly written characters, without the bad writing, and without all that unnecessary and unfunny comedy. A movie dealing with a grotesque flesh-eating virus could and should have been so much better than what Roth dished out for us here. This script failed on so many levels with me. And, while I do not doubt the evident talent this director possesses, I do know that he fumbled the ball big time on an idea that could very well have redefined the horror genre.<br /><br />To say this was a production of missed opportunities would indeed be a gross play on words. A generous amount of blood and unsettling special effects can't even save it, and that is one element I normally go for. There really was nothing about ""Cabin Fever"" that I could easily recommend to anybody. When three quarters of the crowd walks out of the theater halfway through, you know the movie is sinking fast. My best advice to those reading this would be to simply rent before purchasing. One viewing was more than enough for me to know that I will most likely never bother with it again.",negative
"The hysterical Hardware Wars is finally out on DVD. HW has earned its niche among parody classics and is not only a riotous little 20 minute short but a staple in low budget film production classes, which is where a lot of the film's cult status is derived from and resides. With the DVD, not only do we get a chance to revisit the original parody (4Q2, Cinnamon-Bun Head, Ballistic Toast, et al) that Ernie F. did in 1978, but there is a lot of additional material showcasing the Fosselius wit. Antique Sideshow is a dead-on parody that is very funny but makes a statement about the confluence of ignorance and greed at the same time. The Director's Commentary is also hysterical, as is the Creature Feature which parodies taking a film out on the talk-show circuit and actually IS based on taking HW out on the talk show circuit, albeit the public access circuit. I'd love to see Ernie, Michael Wiese and crew take on some other, contemporary overblown and overbudgeted targets to parody -- like just about any film that Hollywood churns out at $100 million a pop these days -- not so much the crafty films like Spider Man or Men In Black (actually parodies themselves!) but any number of overblown, overhyped, overwrought and overpriced features.<br /><br />",positive
"Saw this movie the first time while drunk at a motel in Canada. While flipping through channels came across the Easy Lube part. My friend kept flipping but I told him to go back. Something about the name easy lube just didn't sound right. Watched the rest of the movie it was pretty damn funny. Jotted down a couple of names from the credits and got home to look it up. Turned out to be Chevy Chase's first movie. I didn't remember him in it. Didn't remember much about it, so I rented it and gave it a second veiw. It's pretty funny and quite graphic. It's just like Kentucky Fried Movie except not as funny. Love the fingers, easy lube, and I'm da f**kin' president parts. Dealers skit is pretty cool too. I give it a 6.5 or 7 out of ten",positive
