review,sentiment
"A modern scare film? Yep it is..<br /><br />The hippies, peaceniks and environmentalists got together to deliver us a fear film.. I didn't recognize it when watching it only 2 years ago that it was a fear film but that's exactly what it is..<br /><br />There's no difference between this film and films the nazi made about us in ww2 and the same films we made about them.. this is pure propaganda and speaks only to those.. that believe in aliens, 9/11 conspiracy plots, faked moon landings, peak oil and major environmentalism What I can say is this film does push buttons, make you ask questions and ultimately just forget about it.. It's a scare film.. so if your scarred get in your houses, lock your doors and stock up for that nuclear winter we all know is coming when bush provokes the Chinese into nuclear war..",negative
"In the history of movies based on comic books, ""Mystery Men"" is one of the most underrated ones. This is no regular comic superhero movie! It follows the exploits of a motley crew of well-meaning wannabes, which include Mr. Furious (played by Ben Stiller), the Bowler (Janeane Garofalo), the Shoveller (William H. Macy), the Blue Rajah (Hank Azariah) and the Spleen (Paul Reubens). ""Mystery Men"" spoofs several aspects of superhero movies like ""Superman"" or ""Batman,"" such as the pithy sayings, and the questions about secret identities. Most of the superheroes aren't billionaires like Bruce Wayne, but blue-collar types with menial jobs and neurotic home lives. So it looks as if director Kinka Usher is making the heroes into something the average viewer can relate to. I found ""Mystery Men"" to be visually stimulating and very funny. Even if it doesn't turn into a franchise, it's still a joy to watch!",positive
"The first in a new style of films for Lamas- no tattoo's, motorcycles or karate. I, for one, miss them. But this is a serious movie. He plays a FBI profiler who has lived so long with the bad guys in his head that he no longer trusts anyone, including himself. Gary Busey is either a great actor or somebody I wouldn't want to meet in broad daylight on a crowded street. Kristen Cloke pursues Lamas as doggedly as she pursues the serial killer. There is one surprise after another as the story unfolds not the least of which is the ending. It seems to never come - there is always one more layer to the story. Cloke and Lamas start out as the good guys, turn into the bad guys and somehow end up the heroes. But it's definitely worth the rental price. For maximum enjoyment throw in a candy bar,a bag of popcorn and a soft drink. You're going to the MOVIES!",positive
"Compelling and Innovative! At the beginning of this criminally underrated Whoopi Goldberg flick the writers draw a parallel between Theodore Rex and the 1941 Orson Welles classic ""Citizen Kane"". The writers are justified in drawing such a seemingly disparate parallel, but the viewing public is too often hoodwinked into seeing overly hyped Hollywood schlock to appreciate the subtle similarities between these two movies. In ""Citizen Kane"" Charles Foster Kane is feared and admired by his colleagues and his underlings, much like Whoopi Goldberg in this movie. This movie is about finding love in everybody's differences. It is an epic examination of the fear of abandonment and the need for love and acceptance in a society that is dominated by greed and self-absorption. Whoever paired Whoopi Goldberg and Theodore Rex formulated a dyad for the ages, with the only justifiable comparisons being Bogey and Bacall, Hepburn and Tracy and Hall and Oates. If you would love to watch an uplifting, celluloid philosophical examination of some of humanity's deepest drives; Bergman-esqe but not as depressing, Theodore Rex should be viewed immediately!",positive
"They have taken a story dear to the people of Edinburgh's heart, a true story and changed it as Hollywood has done before to many a tale. The end result is a movie however well done for those how do not know the story yet totally different and inaccurate. The original movie of this tale that Walt Disney himself oversaw used the right breed dog that is crucial for this tale and did not make that John Grey was anything special he was a poor Shepard who died in poverty at the inn. If you like the story, watch the Disney original for a better heart- warming story. It's a Shame the cast and the potential was there for a terrific remake of a classic tale. Read the book for an accurate occurrence of the story. And if you really like it, you can visit the real Kirkyard in Edinburgh.",negative
"The only thing that surprises me more than the number of people who liked this movie is that it was directed by Clint Eastwood, whose work I admire immensely. The leads had absolutely no chemistry. Not for a second could I believe that there was anything deeper than lust between them. The story just didn't ring true. Add to that stilted conversation, tons of stereotypes, and an incredibly slow plot that basically leads nowhere, and you've got yourself a real stinker. Kay Lenz's nude scenes might be worthwhile for those seeking some salacious fare, but otherwise this is a colossal waste of time. My thoughts as I watched the movie was that itwould have been better titled ""Cheesy.""",negative
"Well, it turned out as I expected: visual overload but nothing else added to the original. What did surprise me however was that the storyline was fairly drastically changed compared to the 1968 flick. Initially this awoke my interest, but what eventually surprised was that the new twists and turns (a) were apparently invented in order to present us with a typical Hollywood-like product and (b) made the whole storyline improbable! The 1968 story was breathtakingly straightforward, and included no time-storms or any bogus of that sort: it just stated that when you come home after a long journey, things might have changed a bit. Earth might have fallen in the hands of apes, for example. Like many 'old' movies, it's main ingredient was suspense (hell, does anyone understand that word these days?). In this Burton movie, an attempt has been made to turn the whole thing into an action movie, but at what cost? Surely, the images are overwhelming, and a lot of time and money has been put into the design of a complete ape-culture (even ape-music!), but what's wrong?<br /><br />First, the suspension of disbelief is made very hard, because the apes have a lot of Hollywood-human traits. I refer especially to Ari and the slave-trader. These traits include emotional skills like irony, sarcasm, and an overtly displayed array of 'subtle' emotions. It makes you forget that the apes are apes, which is essential.<br /><br />Second, the humans TALK. Of course, we can imagine that humans will never forget how to speak, but the fact that the apes had speech and the humans didn't made the ape/human role-switching very tangible and stressing in the 1968 version. The wound in the throat that Charlton Heston gets there is essential to his survival and his later regained speech essential to his uniqueness and the interest that Dr. Zira has in him (so, no need for things like human rights activists or ape-human love in order to explain things).<br /><br />Third, the fact that they talk ads a great deal to the implausibility, but is a necessary twist in the new movie, since Capt. Davidson has to play the Hollywood-let's-save-the-whole-world- and-have-a-good-ending-for-everyone- and-still-make-it-to-the-lounge-bar- for-a-cool-diet-coke character. Oh my god, will they never learn? I new it from the start, when there was only one guy who got lost! They were in need of a hero! And then the script writers go on reasoning: we need one guy... so, why would one guy get lost... because he tries to save an ape from an electromagnetic storm... implausible! But it's necessary because it shows the audience that he respects apes! Since, in these modern and politically correct times, we can't have a xenophobic ape-hater like Charlton Heston's 68 character loose on the screen: let's give them a bubblegum version!<br /><br />Fourth, okay, the general twist of the original 'discovering the truth' of the 1968 film to the modern version (he finds that his own mother ship crashed on the planet ages ago and that their lab-apes developed their society, where Heston simply discovered that just, somehow, the apes overtook the earth while he was away) is nicely done. The second, battle-part comes as an anti-climax. That's because this movie has added the first two Planet Of The Apes movies in one plot. Nice try, but the chill you feel when Davidson and you discover that he's lost on the planet forever just washes out due to the uninteresting battle-part.<br /><br />Fifth: the ending!!! For chrissakes, who came up with that?! (a) Davidson crashes TWICE with his escape pod, which seems an unsteerable object, while the chimp manages to simply land gracefully? Come on, who'd believe that? If the pods are really small space crafts (Davidson simply flies off into space at the end) and not merely escape vessels, he might have managed a safe landing at least once, no? And what about that ending???? I mean, in the original film it was clear that everything took place on earth. But here: the whole movie takes place on a distant planet, and suddenly the same (there's a Thade statue) ape culture is on earth??? How come? Did the apes of the far planet evolve technologically, flew into the time storm and colonised earth before Davidson's mission took off? Why is Thade worshiped? Stupid stupid stupid.<br /><br />Helena Bonham Carter is even adorable and beautiful as an ape, but I'd expected no less. I preferred her ape above Estella Warren as a human, but maybe I got some loose wire in my head. Nevertheless, the only convincing apes were Tim Roth as Thade (wonderful!) and Ari's household ape (the ex-general, but I forgot his name).<br /><br />Nonono, a lot of things could and should have been added/altered to the 1968 pic, but not the plot, at least not in that way. It was simple and clear and needed no additional explaining. It was nicely tongue-in cheek and caricatured. Don't stylize everything...",negative
"Let me first state that I enjoy watching ""bad"" movies. It's funny how some of these films leave more of a lasting impression than the truly superb ones. This film is bad in a disturbingly malicious way. This vehicle for Sam Mraovich's delusional ego doesn't just border on talentless ineptitude, it has redefined the very meaning of the words. This should forever be the barometer for bad movies. Sort of the Mendoza line for film. Mr. Mraovich writes, directs, and stars as blunt object Arthur Sailes battling scorned wives and the Christian forces of evil as he and his partner Ben ""dead behind the eyes"" Sheets struggle for marital equality. As a libertarian I believe gays should have a right to get married. Ben & Arthur do more harm to that cause than an army of homophobes. The portrayal of all things Christian are so ugly and ham-fisted, trademark Mraovich, that you can't possibly take any of them seriously. Arthur's brother Victor, the bible toting Jesus freak, is so horribly over-the-top evil/effeminately gay that you have to wonder how he was cast in this role. That's because Sam ""multitasking"" Mraovich was also casting director. The worst of it all is Sam Mraovich himself. When you think leading man do the words pasty, balding, and chubby come to mind? Sam also delivers lines like domino's pizza, cold and usually wrong. The final tally: you suck at writing, directing, acting and casting. That's the Ed Wood quadruple crown. Congratulations you horrible little man.",negative
"This is a film that really makes me cringe. In 1951, MGM and Looney Toons were making some of their very best cartoons--with amazing animation, exceptional backgrounds and great stories. Then, in the late 40s, a new style of animation began to appear (such as the ""Crusader Rabbit"" series on TV)--animation with extremely simplistic artwork in order to save money. Unfortunately, Columbia Picture's cynical ploy worked!! Instead of the public hating the toons (as they should have), many accepted them and the Oscar people (AMPAS) actually gave this film the award for Best Animated Short--giving legitimacy for an inferior product. Unfortunately, in the dollars and sense world of Hollywood, this soon began to creep into the products of legitimate studios--resulting in rather crappy cartoons. Later, it got even worse as in addition to lousy animation and backgrounds, the stories themselves became almost unbearable for adults to watch. The cleverness and style of the classic cartoons were gone. And for this tragedy, I blame, in part, GERALD MCBOING-BOING--one of the granddaddies of cheap cartoons. The story isn't that bad but the animation is a horror and listening to the kid saying ""boing-boing"" incessantly is a pain.",negative
"One of the most poetic narrative films ever made, WAGONMASTER is nonetheless a difficult film to immediately like. I love this movie, but I recommend seeing some of John Ford's other westerns before taking a look at this one. The first time I saw it I was 18 years old and I hadn't seen too many other westerns, and I hated it. I thought it was incredibly boring. I kept waiting for something to happen. It took several years for me to love this picture. First, I fell in love with westerns in general -- the traditions, characters, landscapes, ways of talking, etc -- and that made me realize when I saw WAGONMASTER again that a lot is happening in it after all.<br /><br />I also was simply a more experienced moviegoer at that point and had learned to appreciate visual storytelling, and to listen to what each image was telling me. WAGONMASTER is a very visual movie by one of the most visual of directors working near the peak of his career.<br /><br />The movie is a celebration of a way of life, and its subject matter is more emotional and interior than other Ford westerns. Actually, that's not really as accurate as saying that, rather, it has a lot less exterior action than the other westerns. (The other westerns have exterior action AND interior emotion.) It quite beautifully places its Mormon pioneers in the context of nature. There are many shots of animals and children -- not for any surface, narrative purpose, but for illustrating this idea. That is why the movie can be called a poem. It isn't about the surface story (which barely exists) nearly as much as it is about an emotional idea, and it gets this idea across through composition, editing, sound and music. In fact, one could argue that this is a purer form of filmmaking because the images directly express the emotional idea of the film, rather than having to first service a ""story.""<br /><br />Give this movie a chance, and allow it to exist on its own terms, not the terms of other westerns or other movies.",positive
