,Player Name,birth_date,nationality
2,Joe Johnson,29.06.1981,American
5,DeAndre' Bembry,07.07.1994,American
6,Okaro White,13.08.1992,American
8,Glen Davis,29.01.1986,American
9,Raul Neto,19.05.1992,Brazilian
10,Kevin Martin,13.02.1983,Canadian
14,Emmanuel Mudiay,05.06.1996,Congolese
15,Erick Green,09.05.1991,American
16,E'Twaun Moore,25.02.1989,American
18,Sergey Karasev,26.09.1993,Russian
19,Evan Turner,27.10.1988,American
21,Zoran Dragic,22.06.1989,Slovenian
24,Jusuf Nurkic,23.08.1994,Bosnian
25,Joel Anthony,09.08.1982,Canadian
27,Troy Williams,12.04.1994,American
29,Jarell Eddie,30.10.1991,American
30,A.J. Price,28.10.1986,American
31,Sebastian Telfair,09.06.1985,American
32,Francisco Garcia,31.12.1981,Spanish
34,Omer Asik,04.07.1986,Turkish
36,Denzel Valentine,16.11.1993,American
38,DeAndre Liggins,31.03.1988,American
39,Hollis Thompson,03.04.1991,American
40,Grant Jerrett,08.07.1993,American
41,Josh McRoberts,28.02.1987,American
43,Jonas Jerebko,02.03.1987,Swedish
44,John Henson,28.02.1990,American
45,Kendall Marshall,19.08.1991,American
49,Marc Gasol,29.01.1985,Spanish
50,Chase Budinger,22.05.1988,American
51,Cristiano Felicio,07.06.1992,Brazilian
55,Martell Webster,04.12.1986,American
56,Brandon Jennings,23.09.1989,American
59,Malcolm Brogdon,11.12.1992,American
60,Perry Jones III,24.09.1991,American
63,Ed Davis,02.06.1989,American
65,Deyonta Davis,12.12.1996,American
66,Shane Larkin,02.10.1992,American/Turkish
67,CJ Watson,16.04.1984,American
69,Carl Landry,07.09.1983,American
70,Timofey Mozgov,16.07.1986,Russian
71,Reggie Williams,14.09.1986,American
73,Russ Smith,19.04.1991,American
74,J.J. Barea,26.06.1984,Puerto Rican
75,Troy Daniels,07.07.1991,American
77,Briante Weber,29.12.1992,American
78,Danny Granger,20.04.1983,American
81,Al-Farouq Aminu,17.09.1990,Nigerian
82,Alan Anderson,06.10.1982,American
83,Chris Copeland,17.03.1984,American
85,Tarik Black,22.11.1991,American
86,Chris McCullough,05.02.1995,American
89,Jason Terry,15.09.1977,American
91,Pero Antic,29.04.1982,Macedonian
92,Jordan McRae,28.03.1991,American
93,Jeff Taylor,12.05.1960,American
94,Domantas Sabonis,03.05.1996,Lithuanian
96,Mindaugas Kuzminskas,19.06.1989,Lithuanian
98,Larry Drew II,05.03.1990,American
99,Jerian Grant,22.10.1992,American
100,Yogi Ferrell,09.05.1993,American
101,Tristan Thompson,13.03.1991,Canadian
103,Markel Brown,29.01.1992,American
105,Malachi Richardson,20.01.1996,American
108,Shawn Marion,07.05.1978,American
111,Aron Baynes,09.12.1986,Australian
112,Larry Sanders,11.11.1988,American
113,Allen Crabbe,09.04.1992,American
115,Joey Dorsey,12.02.1983,American
119,Rashad Vaughn,16.08.1996,American
120,Jeff Ayres,29.04.1987,American
121,Shawn Long,01.01.1993,American
122,Sergio Rodriguez,12.06.1986,Spanish
123,Ian Mahinmi,05.11.1986,French
126,Anthony Morrow,27.09.1985,American
127,Karl-Anthony Towns,15.11.1995,Dominican-American
129,Corey Brewer,03.03.1986,American
130,Sonny Weems,07.07.1986,American
132,Ryan Hollins,10.10.1984,American
133,Jason Richardson,20.01.1976,American
134,Nikola Jokic,15.02.1995,Serbian
138,Kevin Garnett,19.05.1976,American
139,Chasson Randle,05.02.1993,American
144,Kyrie Irving,23.03.1992,Australian
146,Tony Parker,17.05.1982,French
147,Ian Clark,07.03.1991,American
148,Nene,I don't have information about Nene's birthdate.,Japanese
149,Ryan Kelly,30.05.1986,American
151,Festus Ezeli,23.10.1989,Nigerian
153,Evan Fournier,29.10.1992,French
154,Channing Frye,17.05.1983,American
155,Kenneth Faried,19.11.1989,American
156,Dante Exum,13.07.1995,Australian
157,Andrew Bogut,28.11.1984,Australian
158,Brandan Wright,05.10.1987,American
161,Ivica Zubac,18.03.1997,Croatian
162,O.J. Mayo,05.11.1987,American
163,Brian Roberts,10.10.1977,American
164,Caron Butler,13.03.1980,American
165,Arron Afflalo,15.10.1985,American
