,Player Name,birth_date,nationality
2,Joe Johnson,29.06.1981,American
5,DeAndre' Bembry,07.07.1994,American
6,Okaro White,13.08.1992,American
8,Glen Davis,29.01.1986,American
9,Raul Neto,19.05.1992,Brazilian
10,Kevin Martin,13.02.1983,Canadian
14,Emmanuel Mudiay,05.06.1996,Congolese
15,Erick Green,09.05.1991,American
16,E'Twaun Moore,25.02.1989,American
18,Sergey Karasev,26.09.1993,Russian
19,Evan Turner,27.10.1988,American
21,Zoran Dragic,22.06.1989,Slovenian
24,Jusuf Nurkic,23.08.1994,Bosnian
25,Joel Anthony,09.08.1982,Canadian
27,Troy Williams,12.04.1994,American
29,Jarell Eddie,30.10.1991,American
30,A.J. Price,28.10.1986,American
31,Sebastian Telfair,09.06.1985,American
32,Francisco Garcia,31.12.1981,Spanish
34,Omer Asik,04.07.1986,Turkish
36,Denzel Valentine,16.11.1993,American
38,DeAndre Liggins,31.03.1988,American
39,Hollis Thompson,03.04.1991,American
40,Grant Jerrett,08.07.1993,American
41,Josh McRoberts,28.02.1987,American
43,Jonas Jerebko,02.03.1987,Swedish
44,John Henson,28.02.1990,American
45,Kendall Marshall,19.08.1991,American
49,Marc Gasol,29.01.1985,Spanish
50,Chase Budinger,22.05.1988,American
51,Cristiano Felicio,07.06.1992,Brazilian
55,Martell Webster,04.12.1986,American
56,Brandon Jennings,23.09.1989,American
59,Malcolm Brogdon,11.12.1992,American
60,Perry Jones III,24.09.1991,American
63,Ed Davis,02.06.1989,American
65,Deyonta Davis,12.12.1996,American
66,Shane Larkin,02.10.1992,American/Turkish
67,CJ Watson,16.04.1984,American
69,Carl Landry,07.09.1983,American
70,Timofey Mozgov,16.07.1986,Russian
71,Reggie Williams,14.09.1986,American
73,Russ Smith,19.04.1991,American
74,J.J. Barea,26.06.1984,Puerto Rican
75,Troy Daniels,07.07.1991,American
77,Briante Weber,29.12.1992,American
78,Danny Granger,20.04.1983,American
81,Al-Farouq Aminu,17.09.1990,Nigerian
82,Alan Anderson,06.10.1982,American
83,Chris Copeland,17.03.1984,American
