,Player Name,birthdate
0,Mike Miller,"19/02/1980
"
1,Quincy Acy,19/03/1992
2,Joe Johnson,19/06/1981
3,Brook Lopez,09/04/1988
4,Davis Bertans,"16/09/1988
"
5,DeAndre' Bembry,"13/02/1993
"
6,Okaro White,"14/07/1997
"
7,Deron Williams,27/06/1980
8,Glen Davis,13/09/1985
9,Raul Neto,08/09/1990
10,Kevin Martin,17/05/1988
11,Rudy Gay,16/03/1985
12,Marquese Chriss,17/03/1996
13,Justise Winslow,05/05/1997
14,Emmanuel Mudiay,"14/03/1995
"
15,Erick Green,18/08/1993
16,E'Twaun Moore,"13/08/1993
"
17,Josh Richardson,16/06/1995
18,Sergey Karasev,"13/05/1993
"
19,Evan Turner,"14/03/1985
"
20,Isaiah Canaan,08/02/1991
21,Zoran Dragic,"19/05/1989
"
22,Doug McDermott,14/09/1991
23,Ray McCallum,18/09/1990
24,Jusuf Nurkic,"15/08/1992
"
25,Joel Anthony,18/03/1982
26,Cameron Payne,"14/08/1994
"
27,Troy Williams,19/03/1998
28,Henry Sims,"14/09/1999
"
29,Jarell Eddie,"13/07/1993
"
30,A.J. Price,14/03/1985
31,Sebastian Telfair,"18/12/1982
"
32,Francisco Garcia,"16/03/1993
"
33,Patty Mills,"10/08/1990
"
34,Omer Asik,03/03/1984
35,Kawhi Leonard,29/01/1991
36,Denzel Valentine,18/07/1993
37,Quincy Miller,"14/07/1998
"
38,DeAndre Liggins,13/03/1986
39,Hollis Thompson,10/03/1992
40,Grant Jerrett,19/05/1992
41,Josh McRoberts,19/05/1988
42,Gary Harris,"13/08/1993
"
43,Jonas Jerebko,"07/02/1986
"
44,John Henson,09/03/1990
45,Kendall Marshall,11/11/1991
46,PJ Tucker,"13/09/1985
"
47,Adreian Payne,10/11/1991
48,Nicolas Batum,"14/12/1988
"
49,Marc Gasol,"07/01/1985
"
50,Chase Budinger,19/09/1988
51,Cristiano Felicio,"13/05/1985
"
52,Kevon Looney,06/02/1994
53,Rajon Rondo,"18/02/1986
"
54,Pau Gasol,"07/05/1980
"
55,Martell Webster,13/03/1986
56,Brandon Jennings,"13/09/1989
"
57,Dario Saric,16/06/1994
58,Blake Griffin,17/03/1989
59,Malcolm Brogdon,11/02/1992
60,Perry Jones III,19/03/1993
61,Kevin Durant,"29/09/1988
"
62,Joe Ingles,"20/02/1993
"
63,Ed Davis,13/03/1987
64,Solomon Hill,19/09/1992
65,Deyonta Davis,"14/07/1999
"
66,Shane Larkin,10/07/1992
67,CJ Watson,14/09/1985
68,Terry Rozier,"18/03/1994
"
69,Carl Landry,18/03/1983
70,Timofey Mozgov,06/02/1986
71,Reggie Williams,16/09/1983
72,Robin Lopez,"04/04/1988
"
73,Russ Smith,18/11/1990
74,J.J. Barea,"26/07/1981
"
75,Troy Daniels,"14/05/1989
"
76,Marcus Smart,06/05/1992
77,Briante Weber,16/03/1996
78,Danny Granger,14/05/1981
79,Aaron Brooks,10/01/1985
80,Dwyane Wade,16/01/1980
81,Al-Farouq Aminu,17/09/1993
82,Alan Anderson,"18/03/1988
"
83,Chris Copeland,"18/09/1987
"
84,Al Jefferson,02/02/1980
85,Tarik Black,"18/03/1993
"
86,Chris McCullough,"14/08/1993
"
87,Elfrid Payton,09/02/1994
88,LaMarcus Aldridge,12/07/1980
89,Jason Terry,"10/09/1977
"
90,Patrick McCaw,13/08/1994
91,Pero Antic,"13/03/1986
"
92,Jordan McRae,"20/08/1991
"
93,Jeff Taylor,16/03/1993
94,Domantas Sabonis,"09/07/1996
"
95,Jon Leuer,16/03/1989
96,Mindaugas Kuzminskas,"18/08/1985
"
97,Jodie Meeks,14/02/1986
98,Larry Drew II,18/05/1993
99,Jerian Grant,"14/03/1994
"
100,Yogi Ferrell,03/02/1991
101,Tristan Thompson,"13/03/1991
"
102,Kyle Anderson,"19/03/1993
"
103,Markel Brown,14/07/1993
104,Austin Daye,15/03/1988
105,Malachi Richardson,14/09/1999
106,Spencer Hawes,12/08/1987
107,Marcus Morris,"14/11/1986
"
108,Shawn Marion,15/06/1977
109,Alex Len,03/05/1993
110,Taj Gibson,28/03/1985
111,Aron Baynes,09/02/1980
112,Larry Sanders,"17/07/1986
"
113,Allen Crabbe,10/02/1990
114,Anthony Bennett,15/03/1993
115,Joey Dorsey,13/03/1993
116,Kelly Oubre Jr.,"18/12/1995
"
117,Gorgui Dieng,03/03/1989
118,Will Barton,06/06/1991
119,Rashad Vaughn,13/03/1998
120,Jeff Ayres,09/03/1989
121,Shawn Long,14/08/1994
122,Sergio Rodriguez,"13/02/1986
"
123,Ian Mahinmi,03/03/1982
124,DeAndre Jordan,17/07/1988
125,Rodney Hood,"13/02/1992
"
126,Anthony Morrow,10/08/1988
127,Karl-Anthony Towns,"15/01/1995
"
128,Jordan Hamilton,"13/08/1999
"
129,Corey Brewer,09/02/1983
130,Sonny Weems,28/02/1981
131,Eric Bledsoe,01/01/1989
132,Ryan Hollins,"19/08/1985
"
133,Jason Richardson,16/01/1980
134,Nikola Jokic,"19/02/1987
"
135,Derrick Rose,"04/10/1988
"
136,CJ McCollum,"19/02/1991
"
137,John Wall,06/12/1990
138,Kevin Garnett,"19/05/1975
"
139,Chasson Randle,14/03/1996
140,Joe Harris,"12/02/1990
"
141,D.J. Augustin,18/03/1987
142,Hedo Turkoglu,16/03/1980
143,Tony Wroten,"14/07/1993
"
144,Kyrie Irving,"20/03/1988
"
145,Stephen Curry,"14/03/1988
"
146,Tony Parker,"17/05/1982
"
147,Ian Clark,"14/07/1989
"
148,Nene,14/07/1993
149,Ryan Kelly,"14/03/1997
"
150,Jae Crowder,16/03/1990
151,Festus Ezeli,18/07/1989
152,James Harden,"03/08/1986
"
153,Evan Fournier,"28/10/1990
"
154,Channing Frye,14/10/1983
155,Kenneth Faried,13/08/1989
156,Dante Exum,"13/07/1995
"
157,Andrew Bogut,18/11/1984
158,Brandan Wright,"13/07/1993
"
159,Patrick Beverley,10/07/1988
160,Cory Joseph,21/02/1991
161,Ivica Zubac,"18/03/1997
"
162,O.J. Mayo,"15/03/1988
"
163,Brian Roberts,"16/05/1989
"
164,Caron Butler,14/03/1976
165,Arron Afflalo,03/03/1986
166,Darrun Hilliard,14/09/1993
167,Clint Capela,"18/10/1994
"
168,Pablo Prigioni,"29/03/1980
"
169,Eric Gordon,27/04/1986
170,James Michael McAdoo,"16/09/1991
"
171,Tyler Ennis,18/02/1991
172,Pierre Jackson,"13/02/1991
"
173,Hassan Whiteside,17/07/1989
174,Giannis Antetokounmpo,"06/12/1994
"
175,Cory Jefferson,18/03/1993
176,Kelly Olynyk,19/03/1991
177,Thon Maker,09/08/1997
178,Elijah Millsap,18/03/1985
179,Greg Monroe,11/08/1988
180,Dejounte Murray,"11/18/1996
"
181,Sheldon McClellan,14/03/1993
182,Jonathon Simmons,"14/03/1990
"
183,Delon Wright,07/05/1993
184,Zaza Pachulia,"16/03/1984
"
185,Beno Udrih,18/02/1980
186,Kent Bazemore,07/06/1988
187,Chandler Parsons,19/01/1988
188,Tobias Harris,"15/07/1990
"
189,Anderson Varejao,"29/02/1985
"
190,Reggie Bullock,11/03/1990
191,Will Bynum,"18/02/1988
"
192,Norris Cole,18/05/1987
193,Kostas Papanikolaou,"10/03/1989
"
194,Timothe Luwawu-Cabarrot,"18/02/1993
"
195,Tony Allen,05/06/1982
196,Jeremy Lin,"05/10/1988
"
197,Marcus Thornton,"17/07/1988
"
198,Wesley Matthews,"12/12/1986
"
199,Darren Collison,18/08/1987
