,Player Name,birthdate
0,Mike Miller,02/02/1980
1,Quincy Acy,06/10/1990
2,Joe Johnson,I don't have enough information to provide the birthdate of Joe Johnson. Can I help you with anything else?
3,Brook Lopez,01/04/1988
4,Davis Bertans,02/11/1992
5,DeAndre' Bembry,28/07/1994
6,Okaro White,13/08/1992
7,Deron Williams,26/06/1984
8,Glen Davis,29/01/1986
9,Raul Neto,19/05/1992
10,Kevin Martin,12/02/1983
11,Rudy Gay,17/08/1986
12,Marquese Chriss,07/07/1997
13,Justise Winslow,26/03/1996
14,Emmanuel Mudiay,05/03/1996
15,Erick Green,09/05/1991
16,E'Twaun Moore,25/02/1989
17,Josh Richardson,15/06/1993
18,Sergey Karasev,12/06/1979
19,Evan Turner,27/10/1988
20,Isaiah Canaan,09/05/1991
21,Zoran Dragic,22/06/1989
22,Doug McDermott,25/01/1992
23,Ray McCallum,12/06/1991
24,Jusuf Nurkic,23/08/1994
25,Joel Anthony,09/08/1982
26,Cameron Payne,08/08/1994
27,Troy Williams,I don't have information on Troy Williams' birthdate. Can I help you with something else?
28,Henry Sims,24/03/1990
29,Jarell Eddie,10/10/1991
30,A.J. Price,01/10/1986
31,Sebastian Telfair,09/06/1985
32,Francisco Garcia,"I don't have enough information to provide the birthdate of Francisco Garcia. Can you please provide more context or details about which Francisco Garcia you are referring to? There may be multiple individuals with that name, and without more information, it's difficult to determine the correct birthdate. If you're referring to the Spanish professional basketball player, his birthdate is December 12, 1981. 

12/12/1981"
33,Patty Mills,07/08/1988
34,Omer Asik,04/07/1986
35,Kawhi Leonard,29/06/1991
36,Denzel Valentine,16/11/1993
37,Quincy Miller,"I don't have information on a person named Quincy Miller that matches your request. Could you provide more context or details about Quincy Miller? If it's the American professional basketball player, his birthdate is November 18, 1992, but I would need confirmation that this is indeed the correct individual. 

If confirmed, the answer would be: 18/11/1992"
38,DeAndre Liggins,31/03/1988
39,Hollis Thompson,04/04/1991
40,Grant Jerrett,08/07/1993
41,Josh McRoberts,28/02/1987
42,Gary Harris,14/09/1994
43,Jonas Jerebko,02/03/1987
44,John Henson,28/02/1990
45,Kendall Marshall,19/08/1991
46,PJ Tucker,05/05/1985
47,Adreian Payne,19/02/1991
48,Nicolas Batum,14/12/1988
49,Marc Gasol,29/01/1985
