,Player Name,birthdate
0,Mike Miller,"19/02/1980
"
1,Quincy Acy,19/03/1992
2,Joe Johnson,19/06/1981
3,Brook Lopez,09/04/1988
4,Davis Bertans,"16/09/1988
"
5,DeAndre' Bembry,"13/02/1993
"
6,Okaro White,"14/07/1997
"
7,Deron Williams,27/06/1980
8,Glen Davis,13/09/1985
9,Raul Neto,08/09/1990
10,Kevin Martin,17/05/1988
11,Rudy Gay,16/03/1985
12,Marquese Chriss,17/03/1996
13,Justise Winslow,05/05/1997
14,Emmanuel Mudiay,"14/03/1995
"
15,Erick Green,18/08/1993
16,E'Twaun Moore,"13/08/1993
"
17,Josh Richardson,16/06/1995
18,Sergey Karasev,"13/05/1993
"
19,Evan Turner,"14/03/1985
"
20,Isaiah Canaan,08/02/1991
21,Zoran Dragic,"19/05/1989
"
22,Doug McDermott,14/09/1991
23,Ray McCallum,18/09/1990
24,Jusuf Nurkic,"15/08/1992
"
25,Joel Anthony,18/03/1982
26,Cameron Payne,"14/08/1994
"
27,Troy Williams,19/03/1998
28,Henry Sims,"14/09/1999
"
29,Jarell Eddie,"13/07/1993
"
30,A.J. Price,14/03/1985
31,Sebastian Telfair,"18/12/1982
"
32,Francisco Garcia,"16/03/1993
"
33,Patty Mills,"10/08/1990
"
34,Omer Asik,03/03/1984
35,Kawhi Leonard,29/01/1991
36,Denzel Valentine,18/07/1993
37,Quincy Miller,"14/07/1998
"
38,DeAndre Liggins,13/03/1986
39,Hollis Thompson,10/03/1992
40,Grant Jerrett,19/05/1992
41,Josh McRoberts,19/05/1988
42,Gary Harris,"13/08/1993
"
43,Jonas Jerebko,"07/02/1986
"
44,John Henson,09/03/1990
45,Kendall Marshall,11/11/1991
46,PJ Tucker,"13/09/1985
"
47,Adreian Payne,10/11/1991
48,Nicolas Batum,"14/12/1988
"
49,Marc Gasol,"07/01/1985
"
