"Game ID","name","Wins","Losses","Total points"
"0","atlanta hawks","46","12","95"
"0","orlando magic","19","41","88"
"1","milwaukee bucks","18","17","95"
"1","new york knicks","5","31","82"
"2","grizzlies","null","null","102"
"2","phoenix","null","null","91"
"3","detroit pistons","17","28","110"
"3","toronto raptors","29","15","114"
"4","24","30","29","91"
"4","detroit pistons","30","29","102"
"4","milwaukee bucks","24","35","91"
"5","cleveland cavaliers","13","3","101"
"5","milwaukee bucks","8","8","118"
"6","boston celtics","0","4","93"
"6","bulls","null","1","null"
"6","cleveland cavaliers","null","null","101"
"7","milwaukee bucks","11","12","101"
"7","oklahoma city thunder","8","13","114"
"8","atlanta","null","null","null"
"8","new york","null","null","null"
"10","los angeles lakers","14","53","87"
"10","new york knicks","28","40","90"
"11","milwaukee","null","null","null"
"11","raptors","null","null","null"
"12","memphis grizzlies","null","null","105"
"12","minnesota timberwolves","0","1","101"
"13","boston","null","null","null"
"13","brooklyn nets","37","42","117"
"13","washington wizards","45","34","80"
"14","los angeles lakers","15","58","88"
"14","washington wizards","36","37","101"
"15","cleveland cavaliers","53","29","113"
"15","washington wizards","46","36","108"
"16","denver nuggets","11","17","107"
"16","los angeles lakers","5","23","111"
"17","dallas mavericks","20","30","108"
"17","portland","22","29","104"
"18","miami heat","null","null","107"
"18","toronto raptors","2","1","102"
"19","clippers","null","null","null"
"20","magic","null","null","null"
"20","pacers","null","null","null"
"21","dallas mavericks","9","6","96"
"21","memphis grizzlies","8","7","110"
"22","dallas","null","null","null"
"22","rockets","null","null","null"
"23","nuggets","15","20","110"
"23","timberwolves","5","28","101"
"24","milwaukee bucks","34","33","84"
"24","new orleans pelicans","37","30","85"
"25","los angeles clippers","14","5","120"
"25","new orleans pelicans","8","10","100"
"26","indiana pacers","22","18","104"
"26","washington wizards","19","19","118"
"27","memphis grizzlies","37","24","94"
"27","utah","28","null","88"
"27","utah jazz","28","33","88"
"28","portland trail blazers","19","25","108"
"28","washington wizards","19","21","98"
"29","new york knicks","23","34","105"
"29","oklahoma city thunder","32","25","116"
"30","sacramento","null","32","90"
"30","utah jazz","18","33","102"
"31","charlotte hornets","19","22","124"
"31","utah jazz","18","23","119"
"32","cleveland cavaliers","19","8","83"
"32","golden state warriors","28","1","89"
"33","memphis grizzlies","31","12","101"
"33","philadelphia","8","36","83"
"34","dallas mavericks","null","null","97"
"34","san antonio spurs","14","null","null"
"35","houston rockets","null","null","108"
"35","miami heat","3","1","91"
"36","oklahoma city thunder","8","8","101"
"36","sacramento kings","null","null","116"
"37","minnesota timberwolves","14","49","97"
"37","phoenix suns","34","32","106"
"38","philadelphia 76ers","0","2","99"
"38","utah jazz","1","1","71"
"40","sacramento kings","null","null","96"
"40","toronto raptors","null","null","91"
"41","brooklyn nets","15","56","126"
"41","phoenix suns","null","50","18"
"43","chicago bulls","8","3","105"
"43","los angeles clippers","5","4","89"
"44","brooklyn nets","null","null","103"
"44","memphis grizzlies","34","23","112"
"45","houston rockets","null","null","109"
"45","miami heat","25","32","117"
"46","detroit","null","null","null"
"46","new orleans","null","null","null"
"47","denver nuggets","19","27","93"
"47","new orleans pelicans","24","22","85"
"49","houston rockets","40","17","133"
"49","phoenix suns","null","38","102"
"50","los angeles lakers","9","37","103"
"50","portland trail blazers","20","26","121"
"51","atlanta hawks","6","5","99"
"51","detroit pistons","3","10","89"
"52","new york knicks","7","7","107"
"52","portland trail blazers","8","8","103"
"53","chicago","null","null","null"
"53","new york","null","null","null"
"54","milwaukee","null","null","97"
"54","new york","null","null","122"
"55","orlando magic","20","19","96"
"55","toronto raptors","25","15","106"
"56","boston","null","null","null"
"56","chicago","null","null","null"
"57","dallas mavericks","30","17","94"
"57","houston rockets","32","14","99"
"58","chicago","null","null","null"
"58","denver","null","null","null"
"59","charlotte hornets","39","29","109"
"59","miami heat","39","29","106"
"60","celtics","32","41","106"
"60","los angeles","49","25","106"
"61","denver nuggets","null","null","112"
"61","houston rockets","47","22","null"
"61","new orleans pelicans","null","41","128"
"62","chicago bulls","32","20","98"
"62","orlando magic","16","38","97"
"64","atlanta hawks","46","32","103"
"64","phoenix suns","20","59","75"
"65","brooklyn","null","null","null"
"65","timberwolves","null","null","null"
"66","golden state warriors","null","1","121"
"66","houston rockets","null","null","94"
"67","cleveland cavaliers","6","1","101"
"67","indiana pace","3","4","97"
"68","pelicans","null","null","null"
"68","rockets","null","null","null"
"69","sacramento kings","6","4","94"
"69","san antonio spurs","5","4","91"
"70","griz","null","null","null"
"70","san antonio spurs","null","null","null"
"71","dallas mavericks","9","21","104"
"71","new orleans pelicans","12","21","111"
"72","los angeles clippers","25","13","90"
"72","miami heat","16","21","104"
"73","los angeles clippers","null","14","98"
"73","miami heat","11","28","86"
"74","denver nuggets","9","10","89"
"74","washington wizards","13","5","119"
"75","sacramento kings","30","45","120"
"75","washington wizards","36","39","111"
"76","san antonio","null","null","null"
"77","golden state warriors","11","2","124"
"77","milwaukee","11","2","121"
"78","boston celtics","43","31","90"
"78","los angeles clippers","46","27","114"
"79","denver nuggets","12","19","112"
"79","oklahoma city thunder","21","10","122"
"80","brooklyn nets","27","38","122"
"80","minnesota timberwolves","14","52","106"
"82","hornets","null","null","null"
"82","memphis grizzlies","null","null","null"
"83","memphis grizzlies","24","16","88"
"83","utah jazz","null","null","79"
"84","cleveland cavaliers","17","11","91"
"84","miami heat","14","16","101"
"85","orlando magic","28","36","107"
"85","sacramento kings","25","39","100"
"86","boston celtics","38","26","103"
"86","cleveland cavaliers","44","17","120"
"87","phoenix","null","5","86"
"88","phoenix suns","38","37","86"
"88","portland trail blazers","48","25","109"
"89","dallas mavericks","9","3","105"
"89","washington wizards","7","3","102"
"90","atlanta hawks","null","null","95"
"90","boston celtics","null","null","104"
"91","golden state warriors","56","6","119"
"91","orlando magic","27","35","113"
"92","brooklyn nets","null","null","100"
"92","detroit pistons","null","null","105"
"93","memphis grizzlies","15","2","97"
"93","sacramento kings","9","8","85"
"94","denver nuggets","28","49","92"
"94","los angeles clippers","51","26","107"
"95","denver","null","null","null"
"96","denver nuggets","22","27","121"
"96","milwaukee bucks","null","28","117"
"97","houston rockets","null","7","109"
"97","mavericks","null","7","87"
"98","minnesota timberwolves","11","24","91"
"98","philadelphia 76ers","9","24","93"
"99","brooklyn nets","null","null","104"
"99","dallas mavericks","30","39","111"
