"Game ID","name","Wins","Losses","Total points"
"0","atlanta hawks","46","12","95"
"0","orlando magic","19","41","88"
"1","milwaukee bucks","18","17","95"
"1","new york knicks","5","31","82"
"2","grizzlies","null","null","102"
"2","phoenix","null","null","91"
"3","detroit pistons","17","28","110"
"3","toronto raptors","29","15","114"
"4","24","30","29","91"
"4","detroit pistons","30","29","102"
"4","milwaukee bucks","24","35","91"
"5","cleveland cavaliers","13","3","101"
"5","milwaukee bucks","8","8","118"
"6","boston celtics","0","4","93"
"6","bulls","null","1","null"
"6","cleveland cavaliers","null","null","101"
"7","milwaukee bucks","11","12","101"
"7","oklahoma city thunder","8","13","114"
"8","atlanta","null","null","null"
"8","new york","null","null","null"
"10","los angeles lakers","14","53","87"
"10","new york knicks","28","40","90"
"11","milwaukee","null","null","null"
"11","raptors","null","null","null"
"12","memphis grizzlies","null","null","105"
"12","minnesota timberwolves","0","1","101"
"13","boston","null","null","null"
"13","brooklyn nets","37","42","117"
"13","washington wizards","45","34","80"
"14","los angeles lakers","15","58","88"
"14","washington wizards","36","37","101"
"15","cleveland cavaliers","53","29","113"
"15","washington wizards","46","36","108"
"16","denver nuggets","11","17","107"
"16","los angeles lakers","5","23","111"
"17","dallas mavericks","20","30","108"
"17","portland","22","29","104"
"18","miami heat","null","null","107"
"18","toronto raptors","2","1","102"
"19","clippers","null","null","null"
"20","magic","null","null","null"
"20","pacers","null","null","null"
"21","dallas mavericks","9","6","96"
"21","memphis grizzlies","8","7","110"
"22","dallas","null","null","null"
"22","rockets","null","null","null"
"23","nuggets","15","20","110"
"23","timberwolves","5","28","101"
"24","milwaukee bucks","34","33","84"
"24","new orleans pelicans","37","30","85"
"25","los angeles clippers","14","5","120"
"25","new orleans pelicans","8","10","100"
"26","indiana pacers","22","18","104"
"26","washington wizards","19","19","118"
"27","memphis grizzlies","37","24","94"
"27","utah","28","null","88"
"27","utah jazz","28","33","88"
"28","portland trail blazers","19","25","108"
"28","washington wizards","19","21","98"
"29","new york knicks","23","34","105"
"29","oklahoma city thunder","32","25","116"
"30","sacramento","null","32","90"
"30","utah jazz","18","33","102"
"31","charlotte hornets","19","22","124"
"31","utah jazz","18","23","119"
"32","cleveland cavaliers","19","8","83"
"32","golden state warriors","28","1","89"
"33","memphis grizzlies","31","12","101"
"33","philadelphia","8","36","83"
"34","dallas mavericks","null","null","97"
"34","san antonio spurs","14","null","null"
"35","houston rockets","null","null","108"
"35","miami heat","3","1","91"
"36","oklahoma city thunder","8","8","101"
"36","sacramento kings","null","null","116"
"37","minnesota timberwolves","14","49","97"
"37","phoenix suns","34","32","106"
"38","philadelphia 76ers","0","2","99"
"38","utah jazz","1","1","71"
"40","sacramento kings","null","null","96"
"40","toronto raptors","null","null","91"
"41","brooklyn nets","15","56","126"
"41","phoenix suns","null","50","18"
"43","chicago bulls","8","3","105"
"43","los angeles clippers","5","4","89"
"44","brooklyn nets","null","null","103"
"44","memphis grizzlies","34","23","112"
"45","houston rockets","null","null","109"
"45","miami heat","25","32","117"
"46","detroit","null","null","null"
"46","new orleans","null","null","null"
"47","denver nuggets","19","27","93"
"47","new orleans pelicans","24","22","85"
"49","houston rockets","40","17","133"
"49","phoenix suns","null","38","102"
"50","los angeles lakers","9","37","103"
"50","portland trail blazers","20","26","121"
"51","atlanta hawks","6","5","99"
"51","detroit pistons","3","10","89"
"52","new york knicks","7","7","107"
"52","portland trail blazers","8","8","103"
"53","chicago","null","null","null"
"53","new york","null","null","null"
"54","milwaukee","null","null","97"
"54","new york","null","null","122"
"55","orlando magic","20","19","96"
"55","toronto raptors","25","15","106"
"56","boston","null","null","null"
"56","chicago","null","null","null"
"57","dallas mavericks","30","17","94"
"57","houston rockets","32","14","99"
"58","chicago","null","null","null"
"58","denver","null","null","null"
"59","charlotte hornets","39","29","109"
"59","miami heat","39","29","106"
"60","celtics","32","41","106"
"60","los angeles","49","25","106"
"61","denver nuggets","null","null","112"
"61","houston rockets","47","22","null"
"61","new orleans pelicans","null","41","128"
"62","chicago bulls","32","20","98"
"62","orlando magic","16","38","97"
"64","atlanta hawks","46","32","103"
"64","phoenix suns","20","59","75"
"65","brooklyn","null","null","null"
"65","timberwolves","null","null","null"
"66","golden state warriors","null","1","121"
"66","houston rockets","null","null","94"
"67","cleveland cavaliers","6","1","101"
"67","indiana pace","3","4","97"
"68","pelicans","null","null","null"
"68","rockets","null","null","null"
"69","sacramento kings","6","4","94"
"69","san antonio spurs","5","4","91"
"70","griz","null","null","null"
"70","san antonio spurs","null","null","null"
"71","dallas mavericks","9","21","104"
"71","new orleans pelicans","12","21","111"
"72","los angeles clippers","25","13","90"
"72","miami heat","16","21","104"
"73","los angeles clippers","null","14","98"
"73","miami heat","11","28","86"
"74","denver nuggets","9","10","89"
"74","washington wizards","13","5","119"
"75","sacramento kings","30","45","120"
"75","washington wizards","36","39","111"
"76","san antonio","null","null","null"
"77","golden state warriors","11","2","124"
"77","milwaukee","11","2","121"
"78","boston celtics","43","31","90"
"78","los angeles clippers","46","27","114"
"79","denver nuggets","12","19","112"
"79","oklahoma city thunder","21","10","122"
"80","brooklyn nets","27","38","122"
"80","minnesota timberwolves","14","52","106"
"82","hornets","null","null","null"
"82","memphis grizzlies","null","null","null"
"83","memphis grizzlies","24","16","88"
"83","utah jazz","null","null","79"
"84","cleveland cavaliers","17","11","91"
"84","miami heat","14","16","101"
"85","orlando magic","28","36","107"
"85","sacramento kings","25","39","100"
"86","boston celtics","38","26","103"
"86","cleveland cavaliers","44","17","120"
"87","phoenix","null","5","86"
"88","phoenix suns","38","37","86"
"88","portland trail blazers","48","25","109"
"89","dallas mavericks","9","3","105"
"89","washington wizards","7","3","102"
"90","atlanta hawks","null","null","95"
"90","boston celtics","null","null","104"
"91","golden state warriors","56","6","119"
"91","orlando magic","27","35","113"
"92","brooklyn nets","null","null","100"
"92","detroit pistons","null","null","105"
"93","memphis grizzlies","15","2","97"
"93","sacramento kings","9","8","85"
"94","denver nuggets","28","49","92"
"94","los angeles clippers","51","26","107"
"95","denver","null","null","null"
"96","denver nuggets","22","27","121"
"96","milwaukee bucks","null","28","117"
"97","dallas mavericks","5","18","87"
"97","houston rockets","null","7","109"
"98","minnesota timberwolves","11","24","91"
"98","philadelphia 76ers","9","24","93"
"99","brooklyn nets","null","null","104"
"99","dallas mavericks","30","39","111"
"100","atlanta hawks","34","27","130"
"100","cleveland cavaliers","null","null","135"
"101","golden state warriors","27","1","103"
"101","utah jazz","12","15","85"
"102","brooklyn nets","25","33","110"
"102","golden state warriors","46","12","108"
"103","miami heat","44","32","93"
"103","portland trail blazers","41","36","110"
"104","indiana pacers","7","11","99"
"104","phoenix suns","11","8","116"
"105","miami heat","2","4","85"
"105","oklahoma city thunder","6","1","97"
"106","dallas mavericks","42","39","101"
"106","rockets","null","39","92"
"106","utah jazz","40","41","92"
"107","new orleans","null","null","null"
"107","suns","null","null","null"
"108","sacramento kings","24","32","92"
"108","san antonio spurs","48","9","108"
"109","los angeles clippers","11","9","103"
"109","orlando magic","11","8","101"
"110","golden state warriors","null","null","108"
"110","portland trail blazers","null","1","120"
"112","indiana pacers","20","33","93"
"112","san antonio spurs","33","19","95"
"113","miami heat","null","null","83"
"113","utah jazz","16","20","98"
"114","golden state warriors","14","2","109"
"114","los angeles lakers","8","null","85"
"115","denver nuggets","2","3","86"
"115","detroit pistons","4","2","103"
"116","los angeles","null","null","null"
"116","memphis","null","null","null"
"117","los angeles clippers","7","1","111"
"117","portland trail blazers","null","null","80"
"118","houston rockets","29","9","100"
"118","orlando magic","null","22","93"
"119","golden state warriors","3","2","98"
"119","memphis grizzlies","2","3","78"
"120","memphis grizzlies","29","11","102"
"121","toronto raptors","41","19","117"
"121","trail blazers","33","30","115"
"124","denver nuggets","33","22","124"
"124","houston rockets","49","22","125"
"125","chicago","29","16","null"
"125","mavericks","30","14","98"
"126","milwaukee bucks","33","30","103"
"126","new orleans pelicans","35","29","114"
"127","los angeles clippers","7","4","110"
"127","miami heat","6","6","93"
"128","boston celtics","41","30","107"
"128","orlando magic","29","41","96"
"129","denver nuggets","2","7","93"
"129","new york knicks","3","8","109"
"130","houston rockets","11","3","91"
"130","new york knicks","4","11","86"
"131","kings","20","36","96"
"131","san antonio spurs","35","23","107"
"132","milwaukee bucks","25","31","95"
"132","utah","null","null","109"
"132","utah jazz","36","22","109"
"133","golden state warriors","53","14","122"
"133","orlando magic","24","14","92"
"134","atlanta hawks","22","17","101"
"134","boston celtics","25","15","103"
"135","hawks","null","null","94"
"135","pistons","null","null","106"
"136","memphis grizzlies","26","20","108"
"136","orlando magic","20","23","102"
"137","brooklyn nets","9","44","110"
"137","washington wizards","null","null","114"
"139","chicago","14","8","null"
"140","chicago bulls","26","20","93"
"140","los angeles clippers","32","16","120"
"141","atlanta hawks","47","12","93"
"141","miami heat","25","33","91"
"142","brooklyn nets","4","4","87"
"142","portland trail blazers","6","3","97"
"143","los angeles lakers","1","7","102"
"143","new orleans pelicans","4","3","109"
"144","miami heat","6","3","92"
"144","utah jazz","4","4","91"
"145","los angeles","null","null","99"
"145","orlando","null","null","99"
"146","clippers","null","null","105"
"146","houston rockets","null","null","109"
"147","philadelphia 76ers","null","null","103"
"147","san antonio spurs","40","12","111"
"148","new orleans pelicans","24","38","98"
"148","san antonio spurs","null","null","101"
"149","indiana pacers","29","34","73"
"149","indianapolis","29","34","118"
"149","orlando magic","21","44","86"
"151","los angeles clippers","20","8","110"
"151","washington wizards","12","14","117"
"152","portland trail blazers","31","11","98"
"152","sacramento kings","16","25","94"
"154","charlotte hornets","36","28","118"
"154","detroit pistons","33","32","103"
"155","pacers","null","null","null"
"156","chicago bulls","null","null","94"
"156","houston rockets","45","21","115"
"157","milwaukee bucks","14","22","98"
"157","san antonio spurs","30","6","123"
"158","atlanta hawks","59","19","114"
"158","brooklyn nets","35","42","111"
"159","chicago bulls","18","12","102"
"159","indiana pacers","18","13","100"
"160","los angeles lakers","12","27","75"
"160","miami heat","17","21","78"
"161","atlanta hawks","23","16","84"
"161","charlotte hornets","18","20","107"
"162","detroit pistons","3","15","96"
"162","los angeles lakers","5","13","129"
"163","memphis grizzlies","42","17","82"
"163","utah jazz","24","35","93"
"164","golden state","null","null","null"
"165","los angeles lakers","15","56","107"
"165","phoenix suns","20","51","119"
"166","oklahoma city thunder","16","9","104"
"166","utah jazz","10","12","98"
"167","charlotte hornets","30","39","98"
"167","washington wizards","42","27","93"
"168","los angeles clippers","36","19","119"
"168","san antonio spurs","34","20","115"
"169","spurs","null","null","null"
"170","boston celtics","null","5","90"
"170","dallas mavericks","2","8","null"
"171","dallas mavericks","10","23","101"
"171","lakers","null","null","89"
"172","detroit pistons","4","19","105"
"172","phoenix suns","12","12","103"
"173","houston rockets","30","9","129"
"173","toronto","null","null","122"
"174","los angeles clippers","15","5","121"
"174","phoenix suns","12","10","120"
"175","memphis grizzlies","null","null","93"
"175","new orleans pelicans","1","2","81"
"176","cleveland cavaliers","13","7","105"
"176","toronto raptors","16","6","101"
"177","memphis grizzlies","41","30","103"
"177","phoenix suns","19","51","97"
"178","atlanta hawks","31","27","92"
"178","golden state warriors","50","5","102"
"179","atlanta","null","null","null"
"179","jazz","null","null","null"
"179","utah","null","null","null"
"180","dallas mavericks","48","31","144"
"180","denver nuggets","29","50","143"
"181","cleveland cavaliers","23","20","106"
"181","utah jazz","14","28","92"
"182","cleveland cavaliers","null","null","128"
"182","houston rockets","null","null","120"
"184","indiana pacers","13","21","94"
"184","milwaukee bucks","17","17","91"
"185","indiana pacers","30","29","95"
"185","miami heat","27","32","113"
"186","chicago bulls","null","20","99"
"186","washington wizards","null","null","101"
"187","atlanta hawks","4","3","100"
"187","utah jazz","3","6","97"
"188","chicago bulls","3","1","98"
"188","orlando magic","0","4","90"
"189","detroit pistons","21","33","87"
"189","san antonio spurs","34","19","104"
"190","chicago bulls","30","17","111"
"190","golden state warriors","36","7","113"
"191","minnesota timberwolves","21","45","99"
"191","oklahoma city thunder","44","21","96"
"193","minnesota timberwolves","8","11","103"
"193","portland trail blazers","9","12","109"
"194","cleveland cavaliers","9","null","93"
"194","indiana pacers","6","6","103"
"195","detroit pistons","2","null","96"
"195","utah jazz","3","4","97"
"196","los angeles clippers","47","27","99"
"196","minnesota timberwolves","35","50","79"
"197","oklahoma city thunder","12","8","126"
"197","washington wizards","6","11","115"
"198","denver nuggets","6","10","80"
"198","san antonio spurs","13","3","91"
