,Game ID,Player Name,points
0,0,Nikola Vucevic,21
1,0,Al Horford,17
2,0,Jeff Teague,17
3,1,Giannis Antetokounmpo,16
4,1,Zaza Pachulia,16
5,1,Brandon Knight,17
6,1,Kendall Marshall,15
7,1,JR Smith,15
8,1,Cole Aldrich,12
9,1,Tim Hardaway Jr.,17
10,1,Jason Smith,10
11,2,Marc Gasol,18
12,2,Courtney Lee,22
13,2,Mike Conley,24
14,2,Markieff Morris,20
15,2,Goran Dragic,6
16,2,Eric Bledsoe,23
17,2,Isaiah Thomas,15
18,3,Greg Monroe,21
19,3,Andre Drummond,14
20,3,Kentavious Caldwell-Pope,16
21,3,D.J. Augustin,35
22,3,DeMar DeRozan,25
23,3,Amir Johnson,17
24,3,Greivis Vasquez,13
25,3,Lou Williams,12
26,4,Tobias Harris,15
27,4,Marcus Morris,20
28,4,Andre Drummond,15
29,4,Reggie Jackson,22
30,4,Jabari Parker,13
31,4,Miles Plumlee,10
32,4,Khris Middleton,26
33,4,Greg Monroe,10
34,5,LeBron James,22
35,5,Kevin Love,13
36,5,Kyrie Irving,20
37,5,Jabari Parker,18
38,5,Michael Beasley,17
39,6,LeBron James,41
40,6,Kevin Love,0
41,6,JR Smith,0
42,6,Kyrie Irving,29
43,6,Kendrick Perkins,0
44,6,Kelly Olynyk,0
45,7,Giannis Antetokounmpo,17
46,7,Jabari Parker,15
47,7,O.J. Mayo,18
48,7,Jerryd Bayless,11
49,7,Kevin Durant,23
50,7,Serge Ibaka,15
51,7,Russell Westbrook,28
52,7,Reggie Jackson,18
53,8,Carmelo Anthony,45
54,8,Kristaps Porzingis,15
55,8,Courtney Lee,17
56,8,Brandon Jennings,18
57,8,Mindaugas Kuzminskas,13
58,8,Justin Holiday,15
59,8,Tim Hardaway Jr.,19
60,8,Paul Millsap,37
61,8,Dwight Howard,19
62,8,Kent Bazemore,24
63,8,Dennis Schroder,23
64,8,Mike Dunleavy,12
65,9,Kevin Durant,26
66,9,Klay Thompson,21
67,9,Stephen Curry,29
68,9,Blake Griffin,31
69,9,Jamal Crawford,21
70,10,Carmelo Anthony,26
71,10,Derrick Williams,8
72,10,Robin Lopez,16
73,10,Jose Calderon,9
74,10,Kobe Bryant,14
75,10,Jordan Clarkson,12
76,10,D'Angelo Russell,4
77,10,Lou Williams,15
78,11,Giannis Antetokounmpo,30
79,11,Jabari Parker,27
80,11,John Henson,7
81,11,Tony Snell,8
82,11,Matthew Dellavedova,2
83,11,Greg Monroe,11
84,11,DeMarre Carroll,13
85,11,Jonas Valanciunas,11
86,11,Kyle Lowry,18
87,12,Andrew Wiggins,6
88,12,Thaddeus Young,26
89,12,Mo Williams,18
90,12,Zach Randolph,25
91,12,Marc Gasol,32
92,12,Courtney Lee,14
93,12,Mike Conley,16
94,13,Marcin Gortat,21
95,13,Bradley Beal,24
96,13,Ramon Sessions,2
97,13,Thaddeus Young,10
98,13,Brook Lopez,26
99,13,Deron Williams,9
