,Game ID,Player Name,points
0,0,Nikola Vucevic,21
1,0,Al Horford,17
2,0,Jeff Teague,17
3,1,Giannis Antetokounmpo,16
4,1,Zaza Pachulia,16
5,1,Brandon Knight,17
6,1,Kendall Marshall,15
7,1,JR Smith,15
8,1,Cole Aldrich,12
9,1,Tim Hardaway Jr.,17
10,1,Jason Smith,10
11,2,Marc Gasol,18
12,2,Courtney Lee,22
13,2,Mike Conley,24
14,2,Markieff Morris,20
15,2,Goran Dragic,6
16,2,Eric Bledsoe,23
17,2,Isaiah Thomas,15
18,3,Greg Monroe,21
19,3,Andre Drummond,14
20,3,Kentavious Caldwell-Pope,16
21,3,D.J. Augustin,35
22,3,DeMar DeRozan,25
23,3,Amir Johnson,17
24,3,Greivis Vasquez,13
25,3,Lou Williams,12
26,4,Tobias Harris,15
27,4,Marcus Morris,20
28,4,Andre Drummond,15
29,4,Reggie Jackson,22
30,4,Jabari Parker,13
31,4,Miles Plumlee,10
32,4,Khris Middleton,26
33,4,Greg Monroe,10
34,5,LeBron James,22
35,5,Kevin Love,13
36,5,Kyrie Irving,20
37,5,Jabari Parker,18
38,5,Michael Beasley,17
39,6,LeBron James,41
40,6,Kevin Love,0
41,6,JR Smith,0
42,6,Kyrie Irving,29
43,6,Kendrick Perkins,0
44,6,Kelly Olynyk,0
45,7,Giannis Antetokounmpo,17
46,7,Jabari Parker,15
47,7,O.J. Mayo,18
48,7,Jerryd Bayless,11
49,7,Kevin Durant,23
