title,director_name
"I Love You, Beth Cooper",Chris Columbus
The Pacifier,Adam Shankman
Ali,Michael Mann
Black Swan,Darren Aronofsky
Dark Shadows,Tim Burton
Think Like a Man Too,Tim Story
The Sitter,David Gordon Green
Spectre,Sam Mendes
The Lucky One,Scott Hicks
Beverly Hills Chihuahua,Raja Gosnell
Cirque du Freak: The Vampire's Assistant,Paul Weitz
The Best Man Holiday,Malcolm D. Lee
The Sixth Sense,M. Night Shyamalan
Shorts,Robert Rodriguez
The Bridges of Madison County,Clint Eastwood
The Crow,Alex Proyas
Evan Almighty,Tom Shadyac
Maid in Manhattan,Wayne Wang
Deck the Halls,John Whitesell
Die Hard: With a Vengeance,John McTiernan
Dragonfly,Tom Shadyac
Anything Else,Woody Allen
Light Sleeper,Paul Schrader
Happy Gilmore,Dennis Dugan
Die Hard,John McTiernan
The Beach,Danny Boyle
From Dusk Till Dawn,Robert Rodriguez
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell
Cheaper by the Dozen 2,Adam Shankman
Batman v Superman: Dawn of Justice,Zack Snyder
