title,director_name
Casino Royale,Martin Campbell
Hugo,Martin Scorsese
Armageddon,Michael Bay
Savages,Oliver Stone
Pacific Rim,Guillermo del Toro
My Soul to Take,Wes Craven
Hercules,Brett Ratner
Orphan,Jaume Collet-Serra
The Usual Suspects,Bryan Singer
The Bone Collector,Phillip Noyce
The Conjuring 2,James Wan
Twins,Ivan Reitman
Animal House,John Landis
The Devil's Double,Lee Tamahori
Jarhead,Sam Mendes
Black Swan,Darren Aronofsky
Titanic,James Cameron
Close Encounters of the Third Kind,Steven Spielberg
Iron Man 2,Jon Favreau
Garfield: A Tail of Two Kitties,Tim Hill
