title,director_name
Pride & Prejudice,Joe Wright
Alleluia! The Devil's Carnival,Darren Lynn Bousman
Bringing Out the Dead,Martin Scorsese
Hamlet,Kenneth Branagh
Public Enemies,Michael Mann
Welcome to Mooseport,Donald Petrie
Hulk,Ang Lee
Speed 2: Cruise Control,Jan de Bont
The World's Fastest Indian,Roger Donaldson
Shrek 2,Andrew Adamson
High School Musical 3: Senior Year,Kenny Ortega
Romeo Must Die,Andrzej Bartkowiak
Bandits,Barry Levinson
Insurgent,Robert Schwentke
In Time,Andrew Niccol
Wolf,Mike Nichols
Unstoppable,Tony Scott
A History of Violence,David Cronenberg
"Good Morning, Vietnam",Barry Levinson
Bicentennial Man,Chris Columbus
Speed Racer,Lilly Wachowski
Noah,Darren Aronofsky
Unknown,Jaume Collet-Serra
The Lovely Bones,Peter Jackson
Everyone Says I Love You,Woody Allen
Up in the Air,Jason Reitman
Envy,Barry Levinson
My Super Ex-Girlfriend,Ivan Reitman
Ready to Rumble,Brian Robbins
Femme Fatale,Brian De Palma
Girl 6,Spike Lee
Mo' Better Blues,Spike Lee
Green Lantern,Martin Campbell
"I, Robot",Alex Proyas
Next Stop Wonderland,Brad Anderson
Fast Five,Justin Lin
Sin City,Robert Rodriguez
Snow Flower and the Secret Fan,Wayne Wang
The Ice Storm,Ang Lee
Bedazzled,Harold Ramis
Mona Lisa Smile,Mike Newell
Roll Bounce,Malcolm D. Lee
The Last Five Years,Richard LaGravenese
Promised Land,Gus Van Sant
The Naked Gun 33⅓: The Final Insult,Peter Segal
Die Another Day,Lee Tamahori
Slumdog Millionaire,Danny Boyle
Hollow Man,Paul Verhoeven
Cheaper by the Dozen 2,Adam Shankman
About Schmidt,Alexander Payne
