director_name
James Cameron
Gore Verbinski
Sam Mendes
Christopher Nolan
Sam Raimi
Zack Snyder
Bryan Singer
Marc Forster
Gore Verbinski
Gore Verbinski
Zack Snyder
Andrew Adamson
Rob Marshall
Barry Sonnenfeld
Peter Jackson
Ridley Scott
Peter Jackson
Chris Weitz
Peter Jackson
James Cameron
Peter Berg
Sam Mendes
Sam Raimi
Tim Burton
Brett Ratner
Michael Bay
Michael Bay
Sam Raimi
Martin Campbell
McG
James Wan
Marc Forster
Bryan Singer
Bryan Singer
Mike Newell
Guillermo del Toro
Michael Bay
Steven Spielberg
Justin Lin
Brett Ratner
Roland Emmerich
Robert Zemeckis
Lilly Wachowski
Andrew Adamson
Bryan Singer
Christopher Nolan
Jon Favreau
Martin Scorsese
Barry Sonnenfeld
Rob Cohen
David Ayer
Tom Shadyac
Doug Liman
Kevin Reynolds
Jon Favreau
Jon Favreau
Robert Zemeckis
Roland Emmerich
Christopher Nolan
Christopher Nolan
Peter Jackson
Rob Cohen
David Fincher
