,text,left,right,category
0,Can I put my old card back into the system? I just found it/,Can I put my old card back into the system? I just found it/,card_linking,card_linking
1,Do you know if there is a tracking number for the new card you sent me?,Do you know if there is a tracking number for the new card you sent me?,card_arrival,card_arrival
2,Does the card you sent have a way to track to it?,Does the card you sent have a way to track to it?,card_arrival,card_arrival
3,How do I add the card to my account?,How do I add the card to my account?,card_linking,card_linking
4,How do I know when my card will arrive?,How do I know when my card will arrive?,card_arrival,card_arrival
5,How do I link a card that I already have?,How do I link a card that I already have?,card_linking,card_linking
6,How do I locate my card?,How do I locate my card?,card_arrival,card_arrival
7,How do I re-add a card to the app?,How do I re-add a card to the app?,card_linking,card_linking
8,How do I track my card?,How do I track my card?,card_arrival,card_arrival
9,How long does a card delivery take?,How long does a card delivery take?,card_delivery_estimate,card_delivery_estimate
10,How long should my new card take to arrive?,How long should my new card take to arrive?,card_delivery_estimate,card_delivery_estimate
11,I am still waiting for my card after 1 week.  Is this ok?,I am still waiting for my card after 1 week.  Is this ok?,card_arrival,card_arrival
12,"I did not get my card yet, is it lost?","I did not get my card yet, is it lost?",lost_or_stolen_card,lost_or_stolen_card
13,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,card_arrival
14,"I have one of your cards already, how do I link it?","I have one of your cards already, how do I link it?",card_linking,card_linking
15,"I have received my card, can you help me put it in the app?","I have received my card, can you help me put it in the app?",card_linking,card_linking
16,"I ordered a card a week ago, and it's still not here. What do I do?","I ordered a card a week ago, and it's still not here. What do I do?",card_arrival,card_arrival
17,I ordered a card and I still haven't received it. It's been two weeks. What can I do?,I ordered a card and I still haven't received it. It's been two weeks. What can I do?,card_arrival,card_arrival
18,I ordered a card but it has not arrived. Help please!,I ordered a card but it has not arrived. Help please!,card_arrival,card_arrival
19,I ordered my card 2 weeks ago and it still isn't here? What do I do?,I ordered my card 2 weeks ago and it still isn't here? What do I do?,card_arrival,card_arrival
20,"I received my new card, but I don't see it in the app anywhere.  What do I do?","I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking,card_linking
21,I still don't have my card after 2 weeks.  What should I do?,I still don't have my card after 2 weeks.  What should I do?,card_arrival,card_arrival
22,"I still have not received my new card, I ordered over a week ago.","I still have not received my new card, I ordered over a week ago.",card_arrival,card_arrival
23,I think something went wrong with my card delivery as I haven't received it yet.,I think something went wrong with my card delivery as I haven't received it yet.,card_arrival,card_arrival
24,I was expecting my new card and am wondering why I haven't received it yet?,I was expecting my new card and am wondering why I haven't received it yet?,card_arrival,card_arrival
25,I would like to reactivate my card.,I would like to reactivate my card.,card_linking,card_linking
26,"I'm starting to think my card is lost because it still hasn't arrived, can you help?","I'm starting to think my card is lost because it still hasn't arrived, can you help?",lost_or_stolen_card,lost_or_stolen_card
27,"I'm still waiting for delivery of my new card, why is it taking so long?","I'm still waiting for delivery of my new card, why is it taking so long?",card_arrival,card_arrival
28,I'm still waiting on my card to be delivered.,I'm still waiting on my card to be delivered.,card_arrival,card_arrival
29,I've been waiting longer than expected for my card.,I've been waiting longer than expected for my card.,card_arrival,card_arrival
30,Is it normal to have to wait over a week for my new card?,Is it normal to have to wait over a week for my new card?,card_delivery_estimate,card_delivery_estimate
31,Is there a way to know when my card will arrive?,Is there a way to know when my card will arrive?,card_arrival,card_arrival
32,Is there tracking info available?,Is there tracking info available?,card_arrival,card_arrival
33,"My card has not arrived yet, where is it?","My card has not arrived yet, where is it?",card_arrival,card_arrival
34,My card has not arrived yet.,My card has not arrived yet.,card_arrival,card_arrival
35,My card hasn't arrived yet.,My card hasn't arrived yet.,card_arrival,card_arrival
36,My card still hasn't arrived after 2 weeks. Is it lost?,My card still hasn't arrived after 2 weeks. Is it lost?,lost_or_stolen_card,lost_or_stolen_card
37,Status of the card I ordered.,Status of the card I ordered.,card_arrival,card_arrival
38,What is the tracking number for my card that was mailed?,What is the tracking number for my card that was mailed?,card_arrival,card_arrival
39,What is the tracking number for the card you sent?,What is the tracking number for the card you sent?,card_arrival,card_arrival
40,When will I get my card?,When will I get my card?,card_arrival,card_arrival
41,Where do I link the new card?,Where do I link the new card?,card_linking,card_linking
42,Where is my new card? I have been waiting a week!,Where is my new card? I have been waiting a week!,card_arrival,card_arrival
43,Where is the tracking number for the card you sent me?,Where is the tracking number for the card you sent me?,card_arrival,card_arrival
44,Why hasn't my card been delivered?,Why hasn't my card been delivered?,card_arrival,card_arrival
45,Why won't my card show up on the app?,Why won't my card show up on the app?,card_linking,card_linking
46,i have not received my card,i have not received my card,card_arrival,card_arrival
47,i want to track the card you sent,i want to track the card you sent,card_arrival,card_arrival
48,still waiting on my new card,still waiting on my new card,card_arrival,card_arrival
49,still waiting on that card,still waiting on that card,card_arrival,card_arrival
