,text,left,right,category
0,still waiting on that card,still waiting on that card,card_arrival,card_arrival
1,When will I get my card?,When will I get my card?,card_delivery_estimate,card_delivery_estimate
2,My card still hasn't arrived after 2 weeks. Is it lost?,My card still hasn't arrived after 2 weeks. Is it lost?,lost_or_stolen_card,lost_or_stolen_card
3,still waiting on my new card,still waiting on my new card,card_arrival,card_arrival
4,Is it normal to have to wait over a week for my new card?,Is it normal to have to wait over a week for my new card?,card_delivery_estimate,card_delivery_estimate
5,i have not received my card,i have not received my card,card_arrival,card_arrival
6,I've been waiting longer than expected for my card.,I've been waiting longer than expected for my card.,card_delivery_estimate,card_delivery_estimate
7,Why hasn't my card been delivered?,Why hasn't my card been delivered?,card_arrival,card_arrival
8,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_delivery_estimate,card_delivery_estimate
9,Where is my new card? I have been waiting a week!,Where is my new card? I have been waiting a week!,card_arrival,card_arrival
10,I am still waiting for my card after 1 week.  Is this ok?,I am still waiting for my card after 1 week.  Is this ok?,card_delivery_estimate,card_delivery_estimate
11,My card has not arrived yet.,My card has not arrived yet.,card_arrival,card_arrival
12,How long does a card delivery take?,How long does a card delivery take?,card_delivery_estimate,card_delivery_estimate
13,Is there a way to know when my card will arrive?,Is there a way to know when my card will arrive?,card_arrival,card_arrival
14,"I still have not received my new card, I ordered over a week ago.","I still have not received my new card, I ordered over a week ago.",card_arrival,card_arrival
15,I still don't have my card after 2 weeks.  What should I do?,I still don't have my card after 2 weeks.  What should I do?,card_arrival,card_arrival
16,I ordered a card but it has not arrived. Help please!,I ordered a card but it has not arrived. Help please!,card_arrival,card_arrival
17,How do I track my card?,How do I track my card?,card_arrival,card_arrival
18,How do I locate my card?,How do I locate my card?,card_arrival,card_arrival
19,Do you know if there is a tracking number for the new card you sent me?,Do you know if there is a tracking number for the new card you sent me?,card_arrival,card_arrival
