,text,category
0,How do I locate my card?,card_arrival
0,How do I locate my card?,card_linking
0,How do I locate my card?,lost_or_stolen_card
0,How do I locate my card?,supported_cards_and_currencies
0,How do I locate my card?,getting_virtual_card
0,How do I locate my card?,card_acceptance
0,How do I locate my card?,card_payment_not_recognised
0,How do I locate my card?,get_physical_card
0,How do I locate my card?,visa_or_mastercard
0,How do I locate my card?,compromised_card
0,How do I locate my card?,atm_support
0,How do I locate my card?,pending_card_payment
0,How do I locate my card?,declined_card_payment
0,How do I locate my card?,pending_transfer
0,How do I locate my card?,order_physical_card
1,"I still have not received my new card, I ordered over a week ago.",card_arrival
1,"I still have not received my new card, I ordered over a week ago.",card_linking
1,"I still have not received my new card, I ordered over a week ago.",card_delivery_estimate
1,"I still have not received my new card, I ordered over a week ago.",transfer_not_received_by_recipient
1,"I still have not received my new card, I ordered over a week ago.",getting_virtual_card
1,"I still have not received my new card, I ordered over a week ago.",card_acceptance
1,"I still have not received my new card, I ordered over a week ago.",get_physical_card
1,"I still have not received my new card, I ordered over a week ago.",visa_or_mastercard
1,"I still have not received my new card, I ordered over a week ago.",atm_support
1,"I still have not received my new card, I ordered over a week ago.",pending_transfer
1,"I still have not received my new card, I ordered over a week ago.",transfer_timing
1,"I still have not received my new card, I ordered over a week ago.",failed_transfer
1,"I still have not received my new card, I ordered over a week ago.",getting_spare_card
1,"I still have not received my new card, I ordered over a week ago.",order_physical_card
2,I ordered a card but it has not arrived. Help please!,card_arrival
2,I ordered a card but it has not arrived. Help please!,card_linking
2,I ordered a card but it has not arrived. Help please!,card_delivery_estimate
2,I ordered a card but it has not arrived. Help please!,lost_or_stolen_card
2,I ordered a card but it has not arrived. Help please!,transfer_not_received_by_recipient
2,I ordered a card but it has not arrived. Help please!,card_acceptance
2,I ordered a card but it has not arrived. Help please!,get_physical_card
2,I ordered a card but it has not arrived. Help please!,atm_support
2,I ordered a card but it has not arrived. Help please!,getting_spare_card
2,I ordered a card but it has not arrived. Help please!,order_physical_card
3,Is there a way to know when my card will arrive?,card_arrival
3,Is there a way to know when my card will arrive?,card_linking
3,Is there a way to know when my card will arrive?,card_delivery_estimate
3,Is there a way to know when my card will arrive?,lost_or_stolen_card
3,Is there a way to know when my card will arrive?,getting_virtual_card
3,Is there a way to know when my card will arrive?,card_acceptance
3,Is there a way to know when my card will arrive?,get_physical_card
3,Is there a way to know when my card will arrive?,atm_support
3,Is there a way to know when my card will arrive?,pending_card_payment
3,Is there a way to know when my card will arrive?,pending_transfer
3,Is there a way to know when my card will arrive?,transfer_timing
3,Is there a way to know when my card will arrive?,getting_spare_card
3,Is there a way to know when my card will arrive?,order_physical_card
4,My card has not arrived yet.,card_arrival
4,My card has not arrived yet.,card_linking
4,My card has not arrived yet.,card_delivery_estimate
4,My card has not arrived yet.,lost_or_stolen_card
4,My card has not arrived yet.,cancel_transfer
4,My card has not arrived yet.,transfer_not_received_by_recipient
4,My card has not arrived yet.,card_acceptance
4,My card has not arrived yet.,get_physical_card
4,My card has not arrived yet.,atm_support
4,My card has not arrived yet.,Refund_not_showing_up
4,My card has not arrived yet.,pending_transfer
4,My card has not arrived yet.,transfer_timing
4,My card has not arrived yet.,failed_transfer
4,My card has not arrived yet.,getting_spare_card
4,My card has not arrived yet.,order_physical_card
5,When will I get my card?,card_arrival
5,When will I get my card?,card_linking
5,When will I get my card?,pending_cash_withdrawal
5,When will I get my card?,card_delivery_estimate
5,When will I get my card?,lost_or_stolen_card
5,When will I get my card?,pending_top_up
5,When will I get my card?,card_payment_fee_charged
5,When will I get my card?,transfer_not_received_by_recipient
5,When will I get my card?,getting_virtual_card
5,When will I get my card?,card_acceptance
5,When will I get my card?,get_physical_card
5,When will I get my card?,compromised_card
5,When will I get my card?,atm_support
5,When will I get my card?,pending_card_payment
5,When will I get my card?,declined_card_payment
5,When will I get my card?,pending_transfer
5,When will I get my card?,transfer_timing
5,When will I get my card?,failed_transfer
5,When will I get my card?,verify_top_up
5,When will I get my card?,getting_spare_card
5,When will I get my card?,order_physical_card
6,Do you know if there is a tracking number for the new card you sent me?,card_arrival
6,Do you know if there is a tracking number for the new card you sent me?,card_linking
6,Do you know if there is a tracking number for the new card you sent me?,card_delivery_estimate
6,Do you know if there is a tracking number for the new card you sent me?,exchange_via_app
6,Do you know if there is a tracking number for the new card you sent me?,lost_or_stolen_card
6,Do you know if there is a tracking number for the new card you sent me?,transfer_not_received_by_recipient
6,Do you know if there is a tracking number for the new card you sent me?,getting_virtual_card
6,Do you know if there is a tracking number for the new card you sent me?,card_acceptance
6,Do you know if there is a tracking number for the new card you sent me?,why_verify_identity
6,Do you know if there is a tracking number for the new card you sent me?,get_physical_card
6,Do you know if there is a tracking number for the new card you sent me?,compromised_card
6,Do you know if there is a tracking number for the new card you sent me?,atm_support
6,Do you know if there is a tracking number for the new card you sent me?,pending_card_payment
6,Do you know if there is a tracking number for the new card you sent me?,pending_transfer
6,Do you know if there is a tracking number for the new card you sent me?,transfer_timing
6,Do you know if there is a tracking number for the new card you sent me?,getting_spare_card
6,Do you know if there is a tracking number for the new card you sent me?,order_physical_card
7,i have not received my card,card_arrival
7,i have not received my card,card_linking
7,i have not received my card,fiat_currency_support
7,i have not received my card,card_delivery_estimate
7,i have not received my card,lost_or_stolen_card
7,i have not received my card,pin_blocked
7,i have not received my card,cancel_transfer
7,i have not received my card,transfer_not_received_by_recipient
7,i have not received my card,supported_cards_and_currencies
7,i have not received my card,getting_virtual_card
7,i have not received my card,card_acceptance
7,i have not received my card,card_payment_not_recognised
7,i have not received my card,why_verify_identity
7,i have not received my card,get_physical_card
7,i have not received my card,visa_or_mastercard
7,i have not received my card,compromised_card
7,i have not received my card,atm_support
7,i have not received my card,pending_card_payment
7,i have not received my card,Refund_not_showing_up
7,i have not received my card,pending_transfer
7,i have not received my card,transfer_timing
7,i have not received my card,reverted_card_payment?
7,i have not received my card,failed_transfer
7,i have not received my card,getting_spare_card
7,i have not received my card,order_physical_card
8,still waiting on that card,card_arrival
8,still waiting on that card,card_linking
8,still waiting on that card,card_payment_wrong_exchange_rate
8,still waiting on that card,extra_charge_on_statement
8,still waiting on that card,pending_cash_withdrawal
8,still waiting on that card,card_delivery_estimate
