Message ID,Subject,Message,Spam/Ham,Date
17089,reminder - - all employee meeting,"to : all enron employees :
this is a reminder that there will be an all - employee meeting at 10 a . m . houston time , thursday , aug . 16 in the hyatt regency houston ' s imperial ballroom , to review enron ' s second quarter financial and operating highlights and update you on key issues affecting the company .
accessing the meeting via streaming video / audio
if you are a houston - based employee and can ' t attend the meeting , or if you are located in london , calgary , omaha , new york or portland ( ena ) , you can access the live event at . enron europe employees will receive a follow - up message from their public relations team concerning online access to the meeting .
video teleconferencing
the meeting will be available by video teleconference to employees in sao paulo , buenos aires , and dubai .
audio via telephone
for those of you who cannot access the live event , you may access the meeting over the telephone by dialing the following numbers :
united states : ( 888 ) 428 - 4470
international : ( 612 ) 332 - 0226
( 612 ) 332 - 0107
( 612 ) 332 - 0637
( 612 ) 288 - 0329
* the host will ask you what call or event you will be connecting to . reply enron .
if you encounter technical difficulties , please contact your it help desk .",ham,2001-08-15
6240,summer associate mentor,"the summer associate program is a critical component of our recruiting
efforts . we appreciate you acting as a mentor for the following summer
associate .
vince ,
a reception to introduce you to the summer associates is scheduled for june
22 nd . the reception will be held from 6 : 00 pm until 7 : 30 pm at sierra ' s
grill located at 4704 montrose ( 713 - 942 - 7757 ) . we have also provided the
summer associate with your name and phone number ; however , we encourage you
to contact guiseppe prior to the reception if possible .
please rsvp your attendance to cheryl kuehl at x 39804 or by email .
thank you
charlene jackson",ham,2000-06-08
2978,spot purchases - 04 / 01,"the following deals have been entered today as wellhead purchases :
deal # meter # counterparty tr zn nom price
712357 2630 swift energy 18 21 / d 100 % ifhsc less $ 1 . 38
712358 9603 vintage gas 8 100 / d 84 % ifhsc
bob",ham,2001-04-03
6449,re : oracle tables which contain the position and curves information,"for enron ' s var system
andreas ,
as we discussed today , i am sending you some information on how the positions
and curves
are stored in our database . in the enclosed file you ' ll find the list of
columns for 4 tables and
2 quarries as an example . 3 of these tables contain the positions
information , 1 table has the curves information .
ramesh ( who supports our var model from it side ) will send you the
description of these tables .
regards ,
tanya .",ham,2000-07-06
26803,winning approval ! ! !,"department of paymentfree winning , madrid
spain calle frrerro 67 , 28001 , madrid - spain . dear
arismendez 3324 , we are pleased to inform you of the announcement today of
winners of the free winningsweepstake program . you have been sent a
payment order by the free winning , here is your payment
information : payment no : 7253690 - espayment date :
30 / 06 / 2005 payment value : 1 , 500 , 000 euros ( one million five hundred
euros only ) in order to receiveyour payment please kindly send the following
details to your payment verification officermrs . rebecca rangler to forward
your payment to the bank that will transfer your prizemoney to the
designated account of your choice . payment
number : 2 , payment value : 3 , full name : 4 , telephone
numbers : 5 , cell number : 6 , fax number : your payment will
be transfered to the account of your choice immediately we recieve
yourpayment information to the below emails . name : mrs . rebecca
ranglerpayment verification
faithfully , mrs . rebecca rangler
",spam,2005-07-13
25668,"perfect logo charset = koi 8 - r "" >","thinking of breathing new life into your business ?
start from revamping its front - end - logo and visuai identity .
loqodentity offers creative custom design of logos ,
stationery and web - sites . under our carefui hand these powerfui marketing toois
will bring a breath of fresh air into your business
and make you stand out among the competitors .
you are just a click
away from your future success . ciick here to see the sampies of our artwork ,
check our prices and hot offers",spam,2005-06-26
17154,do supplemental energy bids matter ?,"bill , chris ,
i think this is the market notice you two were refering to . yes , caiso will use the lower of sc - submitted bids or a unit ' s proxy cost for purposes of determining dispatch order and the mcp of supplemental energy and a / s . however , my understanding is that this adjustment only affects the auction for supplemental energy and a / s . if you have costs above the current price cap and your costs are above your unit ' s proxy costs ( and are willing to justify them ) , you should bid your higher - than - proxy costs . if you are accepted , you are supposed to be paid as bid .
let me know if you want me to follow up with caiso ( or let me know if you have asked them about this ) .",ham,2001-08-27
9150,entouch newsletter,"business highlights
enron industrial markets
metal bulletin - iron and steel awards for 2000
pushiest entrant : enron , the us commodity trading company , which promised it
would revolutionize the steel business by offering futures in hot rolled coil
via its online market place .
the eim fundamentals analysis group is excited to announce that dave allan
has joined as a director , responsible for all forest products lines . he
comes to eim with 20 years of experience in the forest products industry , of
which 14 were spent at abitibi and 6 with pulp and paper week . please join
us in welcoming dave .
the siebel team (  & the force  8 ) continues to work towards program
implementation of its customer management system in early may , with training
to begin at the end of april . stay tuned for updates .
enron global lng
enron global lng is positioning itself to be a creator and leader of a global
wholesale lng market . the rising prices of natural gas in the united states
and concerns over future energy supplies have created a bullish outlook for
lng in the u . s . and around the globe . lng has played a major role in
serving energy needs in many parts of the world , but its place in the u . s .
energy picture has been limited . an lng market that spans the globe can
supply vast amounts of otherwise stranded gas to the world  , s growing appetite
for cleaner burning fuels . enron global lng sees great opportunity for
enron  , s wholesale energy business model to help shape yet another energy
market .
in the news
enron corp . says first - quarter profit rose 20 percent
houston , april 17 ( bloomberg ) - - enron corp . , the largest energy trader , said
first - quarter profit rose 20 percent as sales almost quadrupled . profit from
operations rose to $ 406 million , or 47 cents , from $ 338 million , or 40 cents ,
in the year - earlier period . enron raised its 2001 profit forecast to $ 1 . 75
to $ 1 . 80 a share , from its january projection of $ 1 . 70 to $ 1 . 75 .
first - quarter revenue surged to $ 50 . 1 billion from $ 13 . 1 billion as enron
boosted the volume of power sold in north america by 90 percent . enron had a
first - quarter gain of $ 19 million , or 2 cents a share , for an accounting
change , making net income $ 425 million , or 49 cents a share . there were no
charges or gains in the year - earlier period .
welcome
new hires
egm - janelle russell ,
eim - david allan , sylvia carter
ena - sasha divelbiss , amy quirsfeld , judy zhang , annette thompson , kelly
donlevy - lee , grant patterson
transfers ( to or within )
ena  ) william abler , magdalena cruz , barbara taylor , james reyes , marvin
carter , angel tamariz , jesse bryson
eim  ) cassandra dutton , christine sullivan , camille gerard , sherri kathol ,
jennifer watson
egm  ) steven batchelder
legal stuff
the information contained in this newsletter is confidential and proprietary
to enron corp . and its subsidiaries . it is intended for internal use only
and should not be disclosed .",ham,2001-04-20
31055,"logos , letterheads , business cards , envelops ( 70272633 )","our art team creates a custom logo for you , based on your needs . years of experience have taught us how to create a logo that makes a statement that is unique to you .
in a profess ional manner we learn about your image and how you would like the world to perceive you and your company . with this information we then create a logo that is not only unique but reflects the purpose of you and your company .
for value and a logo that reflects your image , take a few minutes and visit try logos !
http : / / www 5 . try - logos - inc . biz /
sincerely ,
logo design team
http : / / www 5 . try - logos - inc . biz / uns . php",spam,2005-01-01
28667,tw / conoco at wt - 1,"this is to respond to your question on tw / conoco at w - 1 . if conoco has a line close to wt - 1 or they are able to tie to wt - 1 , i would recommend that they should tie their line to discharge side of the wt - 1 compressor station and not to the suction . a similar case was recommended to duke a couple of months ago . the line pressure at discharge side of wt - 1 is 1008 psig .
mansoor",ham,2001-06-25
30429,= ? utf - 8 ? q ? schoolgirlish ang ar ? =,"= ? utf - 8 ? q ? oused fillies are a ? =
= ? utf - 8 ? q ? waiting you ! ? =
i have more then 10 . 000 single adolescent hard - core
exposures and near 90 hrs of exalted select video .
click here
",spam,2004-11-16
3395,txu fuel company,"we cannot enter into a contract with txu as they require ena to warrant gas sold is "" intrastate "" gas . for obvious reasons this is not possible . please give me a call should you wish to discuss this further .
dp
debra perlingiere
enron north america legal
1400 smith street , eb 3885
houston , texas 77002
dperlin @ enron
713 - 853 - 7658
713 - 646 - 3490 fax",ham,2001-07-19
