Message ID,Subject,Message,Spam/Ham,Date
29091,re : february - 1 capacity analysis system ( cas ) meeting,"attached are the minutes from the meeting and also the production log . please review and let me know if i have stated anything incorrectly . i will be out of the office starting on 2 / 5 thru 2 / 8 . while i am out , please forward to me what time each of you would be available for a weekly meeting and i will set one up when i return .
thanks ,
jeanne
- - - - - original message - - - - -
from : sawyer , lisa
sent : wednesday , january 30 , 2002 2 : 51 pm
to : licciardo , jeanne
subject : fw : february - 1 capacity analysis system ( cas ) meeting
importance : high
fyi
- - - - - original message - - - - -
from : abdmoulaie , mansoor
sent : wednesday , january 30 , 2002 2 : 47 pm
to : stacy , don ; watson , kimberly ; donoho , lindy ; lokay , michelle ; lee , dennis ; sawyer , lisa ; frazier , perry ; matthews , ron ; asante , ben ; gigliotti , mark
subject : february - 1 capacity analysis system ( cas ) meeting
importance : high
there is a great concern from tw planning / marketing that the existing cas system is not responding to our expectations .
while we have corrected numerous bugs in the program , getting the solutions to the production side has been somewhat slow .
this has caused a delay from facility planning to the marketing group . lets plan to talk about some new features that marketing
has requested for the cas system . pipeline facility planning is arranging a meeting on friday feb - 1 from 2 to 3 : 30 pm in
room # 3907 to discuss the concerned issues .
regards ,
mansoor abdmoulaie & perry frazier
# 33158 # 30667",ham,2002-02-04
11017,a friendly professional online pharmacy focused on you !,"enjoy having sex !
the jungle is dark but full of diamonds . . .
ignorance is not innocence but sin .
i would fain die a dry death .",spam,2005-07-22
29229,free adware removal scan and download . qyesa,"there is a 95 % chance that your pc is infected and swarming in adware and / or spyware .
stop adware and spyware once and for all .
get your free adware scan and removal download now .
http : / / zks . myspyerase . biz / ? id = 111213
no more ?
tattler anglican austenite mealy cecil enquire falmouth glassine lineage map
",spam,2004-08-02
14487,re : netco,"ok . on it .
- - - - - original message - - - - -
from : kitchen , louise
sent : monday , december 31 , 2001 12 : 54 pm
to : colwell , wes ; hodges , georgeanne ; milnthorp , rob ; zufferli , john ; hedstrom , peggy ; myers , thomas ; bradford , william s . ; will , lloyd ; beck , sally ; hall , bob m ; presto , kevin m . ; forster , david ; reeves , leslie ; gaskill , chris ; superty , robert ; lagrasta , fred ; luce , laura ; tycholiz , barry ; redmond , brian ; vickers , frank ; gossett , jeffrey c . ; arnold , john ; grigsby , mike ; allen , phillip k . ; neal , scott ; martin , thomas a . ; shively , hunter s . ; wynne , rita ; rub , jenny ; webb , jay ; haedicke , mark e . ; buy , rick ; calger , christopher f . ; duran , w . david ; robinson , mitch ; curry , mike ; heizenrader , tim ; belden , tim ; white , stacey w . ; steffes , james d . ; aucoin , berney c . ; roberts , mike a . ; oxley , david
cc : lavorato , john
subject : netco
the new year has arrived and we really to finalize a lot of the work with regards to moving into netco . obviously we still do not have a deal but the deadline is approaching and preparations need to be finalized .
the main areas to focus on over the next week are : -
( i ) re - start / integration plans ( due on jan 7 ) to be forwarded to louise
these plans need to be detailed and show clear detailed timelines and detailed responsibilities for getting us up and running as soon as possible .
the current restart date is january 21 , 2001 but may be pushed forward to january 14 , 2002 .
( ii ) budget ( due jan 3 , 2002 ) to be forwarded to faith killen
first year budget to include all start up costs ( some of which can be amortized )
( iii ) seating plans tammy shepperd to co - ordinate
we need to start the planning process for seating as we will be living on floors 5 & 6 of the enron south building .
i have asked tammy shepperd to commence the seating plan and we would look to start the moves as soon as possible but with a large number occuring around january 11 , 2002 .
( iv ) due diligence
we continue the process with two new companies this week ( wednesday and thursday ) . andy zipper is taking the lead for the company arriving on wednesday , please help him with his requirements .
i would ask that both john and i are notified of any changes to the netco personnel list on a timely fashion and that the list is maintained on a continual basis . please forward all alterations to jeanie slone who has responsibility for the master list .
communication - i believe that the new year combined with a internal communication issues may be a good time to review what we want to say on netco and what our policies are . i am asking david oxley to co - ordinate with all of you on this . i know a lot of you believe that we need to only communicate once we have retention programme in place for the estate which may be a good idea but we we need to make sure that we lose as few people as possible .
if you are unavailable this week , please ensure you delegate this work out .
happy new year
louise",ham,2001-12-31
426,2000 customer trip proposal,"please find attached the 2000 customer trip proposal as prepared by myself
and chantelle
villarreal .
you will find included the approval form for the executive office with the
cost per person ( $ 635 . 85 ) . following this page is the agenda that provides
explanation of the anticipated expenses for the meeting . and then finally ,
the 2000 guest list , which includes both * customers , schedulers and managers .
please review as soon as you have time and get back to me with any questions
or concerns you may have .
thanks ! : ) heather choate , x 33278
* hpl customers were not named , but need as soon as possible for submittal to
executive office .",ham,2000-03-08
15487,"you get your order immediately ! via % gra ! levitr charset = iso - 8859 - 1 "" >","sic . k of doc . tors waiti . ng roo . ms ?
or . der all your r . x med . ication directly from fd . a - approved manufacturers in india .
sav . e up to 7 . 0 % on your r . x . dru . g .
over 60 product . s to choose from .
average ship . ping from india takes 2 - 4 weeks .
however our pri . ces and quality make it worth the wait .
all packag . es are shi . pped discreetly by airmail w . orldwide .
choose your medicatio . n , point , click , orde . r and you ' re done . your medic . ation is on it ' s way . no prescriptio . n required !
c . lick her . e no . w !
r . emove",spam,2004-11-29
6838,re : alex ' s paper,"comments :
1 . in the sentence between eqn . 3 and eqn . 4 , i think "" annualized
volatility "" should replace "" annualized standard deviation . ""
2 . as to the comment , "" immediately we see something quite
counter - intuitive . "" i would disagree . i think that its quite intuitive
that this model should get closer to the black - scholes price as what is
defined as the "" jump "" component becomes just part of the main price
distribution , which happens if we define a jump to be only a 1 - sigma
event . the table does show , however , that the results of using this model
are very sensitive to exactly how you choose to define a "" jump "" ( i . e . 2 - sigma
or 3 - sigma . . . events ) , and this is one difficulty in using the model in
practice .
3 . in the paragraph after the table , i don ' t understand the argument about
hedging the option . especially about buying a swap which would pay on the
difference between the strike and fs . this seems non - sensical .
4 . i could not follow the logic of the last two sentences of the article , so
this point should probably be explained more clearly .
- - stinson
vince j kaminski
08 / 18 / 2000 08 : 15 am
to : grant masson / hou / ect @ ect , stinson gibner / hou / ect @ ect , alex
huang / corp / enron @ enron
cc :
subject : alex ' s paper
minor changes i made to alex ' s paper .
vince",ham,2000-08-18
1647,meter 981594 - san jacinto low pressure del to defs,"fyi -
duke energy field services will be reworking the wilcox plant on 9 / 26 f rom
7 am to 12 noon and will require that hpl shut - in the 20 m del . for that time
frame .
should you have any further questions , please call me at 35251 .
mary",ham,2000-09-21
15949,hot stocks for quick surge,"us oi | and gas report
oil ciimbs , gains soar
we have the | eading track record for finding fast moving ,
low - priced energy piays .
look at the moves made by our | ast 2 hot picks :
sprl . 14 to . 36 in 12 days , up 157 %
prvb . 10 to . 265 in 8 days , up 165 %
like a viper coiled to strike , this hot oi | piay is on the fast - track
to millions in gains from expanding production in the heart of the "" oil
beit "" .
emerson oi | and gas , inc . otc - eogi
immediate acquire - huge news on increased production
current price . 15
target price . 4 o in lo days
oi | prices continue to explode and ignite the shares of major producers
which is foilowed by soaring undervalued otc oil plays . widespread
gains in energy stocks are inflating the portfoiios of aggressive otc
investors . due to recently acquired high - potential oil and gas projects ,
eogi is an undervaiued gem experiencing a sharp in crease in production
revenue and becoming a "" cash - fiow positive "" leader in major oi | - producing
states .
eogi ' s high - yieiding , multipie driiling programs have been solidified
through valuable strategic a | | iances . these exploration partnerships
enabie the company to accumulate substantia | working interests being
deveioped into a continuousiy expanding revenue stream . eogi is focused on
joint - ventures involving well re - entry programs in extremely proiific
production areas using the highest | evel of technology currently
availabie .
recent deveiopments for eogi have been perfectiy timed as ail 6 dow
jones oil and gas indexes just hit their highest | evels of the year , with
energy stocks outperforming a | | other market sectors . the company ' s oi |
and gas interests in louisiana and texas , in addition to their
developing natural gas we | | s in alberta , canada , are continuing to in crease in
vaiue with energy prices up 60 % from one year ago . leading economists
and oil anaiysts agree on predictions that a further 3 o - 6 o % in crease is
likeiy next year .
we are expecting eogi to release major news announcements regarding
production figures on muitipie projects in high - gear . eogi ' s expansion
pians are on track to acquire additional prospects and properties that can
oniy add to their growing bottom - line and spark further interest in
this undervalued oi | piay . with a very smail float estimated at less than
5 mi | | ion shares , eogi should gap sharply to the upside on heavy voiume
as the vaiue of their current oi | deais are revealed .
us oil and gas report cautions that smal | and micro - cap stocks are
high - risk investments and that some or a | | of the investment can be | ost .
we suggest you consuit a professiona | investment advisor before making
any investment decisions . us oil and gas report recommends you use the
information found here as an initial starting point for conducting
research and due diligence on the featured company in order to determine an
opinion of the company before investing . we are not an investment
advisor , financia | pianning service or a stock brokerage firm and in
accordance with such is not offering investment advice or promoting any
investment strategies . this is not an offering of securities for saie or
soiicitation of any attempt to acquire or se | | securities . us oi | and gas
report has been given nineteen thousand dollars from a third party for
the dissemination of this company profile . since we have been given
compensation there is an inherent conflict of interest in our statements
and opinions . readers of this publication are cautioned not to piace
undue reliance on future - | ooking statements , which are based on certain
assumptions and expectations involving various risks and uncertainties
that could cause results to differ materia | | y from those set forth in
those statements .
if you wish to stop future maiiings , or if you fee | you have been
wrongfuliy piaced in our membership , piease go here or send a biank
e mail with no thanks in the subject to ( - stoxo 032 @ yahoo . com - )",spam,2005-02-28
9645,secretly record all internet activity on any computer . . . bfl,"find out who they are chatting / e - mailing with all those hours !
is your spouse cheating online ?
are your kids talking to dangerous people on instant messenger ?
find out now ! - with big brother instant software download .
click on this link now to see actual screenshots and to order !
to be excluded from future contacts please visit :
http : / / 213 . 139 . 76 . 69 / php / remove . php
blee",spam,2002-06-02
