Message ID,Subject,Message,Spam/Ham,Date
19031,lo / se some weigh ] t ? ? . . try phentermine !,"pursuivant lowercases sociosexualities
stop .",spam,2004-05-30
17513,start date : 12 / 30 / 01 ; hourahead hour : 13 ;,"start date : 12 / 30 / 01 ; hourahead hour : 13 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001123013 . txt
# # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .
# # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .",ham,2001-12-30
18281,no pre scription required,"paliourg your easy - to - use r x solution is here
totally f r e e prescriptions ! !
no prior prescription needed !
we believe ordering medication should be
as simple as ordering anything else on the internet .
private , secure , and easy .
no prescription required , no long lengthy forms to fill out .
your easy - to - use solution is here :
thank you for your time ,
marissa friedman
paliourg below is for u if u dislike e - commerce
http : / / paliourg . traddittoin . com / off . html
",spam,2004-02-01
23707,congratulations on your promotion,"congratulations on your promotion !
regards ,
eugenio",ham,2001-01-16
3397,equistar swing 5 / 01,"we need to add tgpl meter 52 - 1087 to deal 895951 . we have some swing gas for may that we need to allocate .
thanks ,
megan",ham,2001-07-23
23937,treatment of hpl bank accounts,"fyi
anne c . koehler
sr . counsel , ena
eb 3839
713 - 853 - 3448
- - - - - forwarded by anne c koehler / hou / ect on 03 / 30 / 2001 04 : 26 pm - - - - -
anne c koehler 03 / 30 / 2001 04 : 08 pm to : dhartl @ aep . com , gprescott @ aep . com cc : brian redmond / hou / ect @ ect , mary perkins / enron @ enronxgate , bob m hall / na / enron @ enron , barbara n gray / hou / ect @ ect , sandi m braband / hou / ect @ ect , hlhoque @ aep . com , mwrico @ aep . com , jsoward @ aep . com , jim coffey / hou / ect @ ect subject : treatment of hpl bank accounts
dwayne and gary ,
at the request of brian redmond , i have prepared and am forwarding to you a draft of an amendment to the purchase and sale agreement that will reflect the agreement that the hpl bank accounts will be retained by enron after the closing and that aep will set up its own new hpl accounts at its preferred banks after closing . it is my understanding from mary perkins of enron that the procedures set out in the amendment were agreed to by jana soward of aep . please review the enclosed and let me know if you have any comments . we would like to get this one issue resolved and out of the way as soon as possible . thanks and hope you both are doing well .
anne c . koehler
sr . counsel , ena
eb 3839
713 - 853 - 3448",ham,2001-03-30
3812,rpm ear essex lanthanide,"tired of searching for the best possible financial solution .
only apply once and let the financial consultants come to you .
no more endless searching . have up to 4 qualified
professional consultants come to you . programs in all
state for all of your financial problems .
home allowances
financial restructure
and more . . .
geit more information
rem at www . supriseyourmate . biz
faucet easygoing enviable delicti evolve aaa draftee catalogue effloresce chill borneo fee abbas send diplomatic groggy hexadecimal silicon accredit
falconry piotr buzzsaw maintenance nodal duckling coefficient crowbait eggshell blurry conceit boardinghouse bhutan shay abet evaluate exponent fiche proteolysis blenheim ne dutton dependent schaefer dupont lipton chose
congresswoman decompile sally frankfurt apart frenchmen adoption forcible infrastructure dogwood robotics butt pitchstone incondensable eastman ephraim bastion
grosset right assessor fluency bassi beirut flirtatious intelligible orthonormal coed ailanthus ericsson sinuous dire mockup monetary carfare prefabricate codon chine
mila faithful avogadro frenetic christen identity shall excretion hospitable bondsmen crab carte child brimstone mutton dampen delay girlish amnesia fib dicotyledon childbirth caine joyce believe elude hinduism gumshoe mathematician cartridge interpretation la blest
bootstrap destabilize hydrostatic iverson close flagging plight cowman rickets gogh neurology proteolysis garth fail fossiliferous
glandular exude pie porosity jaunty manageable manipulable explicate goodman bronzy connoisseur fayetteville influx maudlin depositor rodgers lopsided braille cinch languish hillel keenan epitaph beckon psychiatry
lukewarm agamemnon pumpkin classificatory aniline asperity coeducation incendiary porphyry phosphorus bradbury gimmickry antonym evensong necrosis churchillian bedbug dwarf gopher optimum monterey
debar melvin innuendo boreas goes behavioral jeannie fork inorganic cottonseed lim athlete chad horsemen hate degrease evans
carthage hermetic sellout bikini naacp instrument julep hob philanthrope aquinas asthma foot daddy deform curvilinear filch goldfish session buchanan bendix botfly delude
fore annular deed harvest durkee ainu colicky corn gregg avogadro headset proof inheritor grieve bodhisattva fruehauf doppler cerulean accra
coddington earthworm fide alice grapheme rhubarb cellophane cannister corinthian canaveral ebony alcmena english iodine particulate nightmare eddie marigold cognate follow salty european offer breastplate intemperate mayapple
finnegan imitable downstate insomnia abutted animal effie despot flirt hundred army earmark freshman comprehensive gaspee chronicle emery crib heliotrope illustrious bitterroot droplet
eastbound avenue backside carry fare ruination daimler premature cahoot radiate shadflower siesta beseech okay preston
cosmetic cos demise hostage machiavelli breadth affirmative bracelet mattress flow pulaski hysteron flynn paulus complex prime chadwick progeny
eagle husbandmen bowline giacomo enough infrequent otto buckshot chastity cytolysis amino caribbean antonio certified affirm contributory chlordane billie juno anheuser serial enquiry
caviar shine clerk montmartre parallelepiped nominal insufficient cole commingle franchise hellenic horrible kenton akin rooftree bondsman compendia dizzy playroom acoustic conciliatory illusionary hermann instant kingpin duel acronym
accelerometer abundant nile cryptanalyst bucharest great infarct ferry hex euripides convivial
chromium heath cogent fastidious sit reich rink instep gaston gorgon pastiche archaism anthropomorphism dilettante accessible egg fore bicker farley economy foolproof barefaced metabole coworker blackjack curd janitorial
instead nanosecond astute glamour atlas catabolic cameramen ambitious inadequacy mockup cackle analogue blackbird blanche nowise baxter circumferential carnation
fernery pig astm ascribe excavate amphibole amphioxis bronchus diluent gush emissivity anteater
histrionic punctuate germanic idol cloudburst kiosk coca bureaucrat backplane seventy sean fission goddess article isadore folksy have benzene isabella past diffract apostrophe foal avoidance pub nephew cool corridor follicle goodwill freed
devon calculus counterexample bluster nichols comrade absolute revisable circumlocution milwaukee extract brest sarcastic barn mailman perspiration britches graven amphibole minus communicant conformal canada phthalate shepherd ada artwork ontario aurora finch prolong
bijouterie inactivate dictionary resilient grotesque colgate freshwater propelled fry indeterminacy buffalo humid castor graybeard eternity bishop purslane fleabane burnett cony aptitude clinic pomegranate bureau impound pareto consequential drugging propos
impelled dictate deane fiction dinnertime consolation indira arbutus ashy foliage norman photo norma bald exultation prescript elba infarct brushy genitive hydroxy airmass kaolinite
hackett luncheon equine cerebellum draftee eva indispensable delusive continuity ardent cult happy saturater magistrate edwardine dickcissel charge bridgetown agate chutney
immune butane hyperboloid impasse gain inoperable confession nickel jovian problematic despond bonneville pintail lazarus diatom beirut bicep mcnally larson abusable jorgenson denouement grandeur excrescent federal arrowhead edt epiphysis dairylea huntley honoree restrain dozen
glossed atomic almost dairylea sedulous irishman follicular cutaneous occultation pigtail sandalwood optimist
checkpoint callahan headland homology fierce macroprocessor militarist inelegant cuttlefish intake
.",spam,2004-02-21
6772,2000 chairman ' s award,"everyday heroes are all around us at enron , living our core values of
respect , integrity , communication and excellence in everything they do . some
of these heroes make a big splash while others just quietly make a difference
in the workplace around them . either way , these special individuals deserve
to be recognized with a nomination for the 2000 chairman ' s award .
as there is more than just one employee living the values at enron , this
award program will honor 10 employees as members of the chairman ' s
roundtable . from that group , the one individual most embodying our values
will be presented with the chairman ' s award at the management conference in
san antonio in november .
the beauty of this award program is that it is completely employee - driven
from beginning to end . from your nominations , an international employee
committee will select the chairman ' s roundtable and eventually , the
chairman ' s award winner . your role of nominating our everyday heroes is
extremely vital to the program ' s success . if someone has made a positive
impression on you , please take the time to complete a nomination form and
send it to charla reese by october 1 , 2000 . you may click here for a
printable form : http : / / home . enron . com / announce / chairman _ nom / form 3 . doc
for more information on the chairman ' s award , including details on last
year ' s roundtable members and previous winners , repit suliyono and bobbye
brown , please click here : http : / / home . enron . com / announce / chairman _ nom
again , this is a very special award at enron and we sincerely thank you for
your participation .
ken , jeff and joe",ham,2000-08-11
21318,windows xp and office xp - > $ 80 . segmenting process,"fit sudden work take . try difficult rock age try children . rock ,
learn subject believe . we , rain teach . seat from , silent she .
between live sea them baby excite . simple over joy . leave name
floor . all press end . paint call wash once , example . drop wind
quart settle .
",spam,2005-02-19
30759,hi,"hello ,
those "" fat "" mortgage payments are unhealthy . . . .
lose a little weight from your "" fat "" mortgage payments .
the 60 second refinance diet plan .
rickie oakes
if you are happy with your current interest rates you can go here for optout
http : / / www . xmaslowrate . com / x / st . html",spam,2004-12-12
5652,re : network planning,"stinson , i had a discussion with jim and he said that the company ' s name is
mill three . they provide modeling tools for tiered qos and the like for
network planning . he said that the code is written in c and that we should
be able to work with it . he will get us the contact name and we can get a
presentation for us . jim said that he arranged for this before he met me and
learned of our ( ebs research ) role in this matter . i made it clear to jim
that john griebling had asked us to set up this group to do modeling and that
we are in the process of arranging for 4 or modeling experts to reside in
houston . from now on jim and i will work hand and hand on such issues along
with you to make sure that we initiate development efforts as soon as
possible to utilize krishna , samer and co . asap . . .
i ' ll take care of arranging a meeting with these consultatants asap .
my involvement in hamachi is through jim irvine . jim and i are working very
well together due to our engineering background . jim has been a network
( communications ) engineer in the army for about 20 years . for hamachi , there
were gap analysis that needed to be done w . r . t . network reach and when and
where the network will be available ( ebs ' and hamachi ' s ) . additionally , we
would look at when tom gros wanted pooling points up and running , we would
then look at hamachi ' s pooling point sites and come up with requests to
change dates or third party involvements .
for the most part , our efforts has been to interview hamachi network
developers about their plans and put the data together in a manner that we
can summarize for john . additionally , we ' ve had two meetings with sycamore
( they have offices in denver ) on their products and brett gave a presentation
on his effort to jim , etc . . . . more details later when we meet .
ravi .
stinson gibner @ ect
03 / 02 / 00 08 : 52 am
to : ravi thuraisingham / enron communications @ enron communications @ enron
cc :
subject : network planning
ravi :
i was told by john bloomer that there is a group of consultants in the
portland office from a company called ( i think ) m 3 i . they are doing
network consumption and operations modelling . jim irvine or shawna meyer
were given as enron contacts on this project . we need to find out what
exactly this group is doing and see if we should get samer and either you or
me to go , find out the details , and get a brain dump of what they have
accomplished to see if it can be used in our modelling efforts .
can you find out what jim knows about this project and get back to me ?
thanks ,
- - stinson
ps how is hamachi going , and what has been your role there ?",ham,2000-03-06
32157,a custom logo that expresses your company ! ( 30884561 ),"our art team creates a custom logo for you , based on your needs .
years of experience have taught us how to create a logo that makes a statement that is unique to you .
in a professional manner we learn about your image and how you would like the world to perceive you and your company .
with this informa tion we then create a logo that is not only unique but reflects the purpose of you and your company .
for value and a logo that reflects your image , take a few minutes and visit try logos !
http : / / www . trylogos - design . com /
sincerel y
logo design team
- - - - -
stop this mailings :
http : / / www . trylogos - design . com / uns . php",spam,2005-03-14
12331,re : enw promotion announcement,"thanks
- - - - - original message - - - - -
from : kitchen , louise
sent : friday , july 27 , 2001 5 : 12 pm
to : wei , zhiyong
subject : fw : enw promotion announcement
congratulations
- - - - - original message - - - - -
from : enron announcements / corp / enron @ enron [ mailto : imceanotes - enron + 20 announcements _ corp _ enron + 40 enron @ enron . com ] on behalf of greg piper and mark pickering @ enron
sent : friday , july 27 , 2001 5 : 04 pm
to : enw all @ enron
subject : enw promotion announcement
we are pleased to announce the following promotions within enron net works . these promotions will be effective august 1 , 2001 . we would like to thank these individuals for their past contributions and recognize their instrumental roles in the growth and success of the organization . please join us in congratulating the following employees and wishing them continued success with enron .
accounting
to senior director
roper , kerwin
to director
galvan , michael
to senior specialist
armstrong , kristin
commodity logic
to senior director
harrison , susan
to director
slagle , carrie
global risk management operations
to senior director to specialist
earnest , scott brady , kevin
hall , d . todd logan iii , jackson
dewett , laura
to director hoang , charlie
bruce , michelle harrell , willie
fondren , mark
stubbs , shelly to staff
rodriguez , melissa
to manager
bhatti , rashpal to administrative coordinator
love , phillip villanueva , chantelle
oliver , david
rae , david to administrative assistant ii
valdes , john saldana , america
walker , lisa upchurch , arlene
to senior specialist to senior clerk
christiansen , suzanne white , stuart
dempsey , dalton
hollander , corey
myers , donnie
pallant , kathryn
schumack , sherlyn
shore , geraldine
wallumrod , ellen
enrononline - origination
to associate
rostant , justin
technology
houston - based employees
to senior director to senior specialist
behney , christopher allen , diana
bucknell , martin atta , asem
dopson , lametrice black , gregory
guadarrama , michael clark , cynthia
gubser , marlin fuller , william
hillier , bob hardy , chryst
montagne , kevin humlicek , robert
nat , steve invedy , tantra
rao , ramesh james , matthew
wei , zhiyong jameson , lance
ly , danny
to director macphail , shawn
bowling , william mansfield , carey
cox , susan ( paige ) mei , xiaojun
luu , duong mu , qi
muschar , daniel
to manager perret , jonathan
alatorre , carlos rasmussen , michael
andrews , stephen tiner , brent
elliott , clayton yang , zhiyun
reid , martin
steward , larry to specialist
valor , hildemaro ( tino ) gallegos , edgar
guerrero , sam
manguba , jimmy
schlein , guy
wu , betty
to administrative coordinator
weatherstone , mary
london - based employees
to senior director to junior professional
hudson , brian cooper , russell
lang , douglas
to senior support larsson , johan
bowie , keith li , yi jone
messenger , jon mclean , gordon
scott , denver maffia , mark
mellitas , james
to junior support oxley , peter
ahmed , sohail petri , ingrid
de - coi , david van rijn , jasper
lee , calvin wadey , joanne
mitchell , dominic
morris , dan to entry professional
rear , timothy alistair , reeve
malik , ednan
to senior professional
ashton , david to senior clerk
benjamin , phil ali , mohammed
evans , christopher cresswell , james
howell , lee stevenson , scott
hunter , julia
khan , golam
nicola , trill
stephens , scott
steven , thomas
tsang , david
walker , neill
wilson , melinda",ham,2001-07-27
