,Game ID,points_x,points_y,match
0,-1.0,129.0,,False
1,-1.0,126.0,,False
2,-1.0,111.0,,False
3,-1.0,120.0,,False
4,-1.0,107.0,,False
5,-1.0,109.0,,False
6,-1.0,114.0,,False
7,-1.0,93.0,,False
8,-1.0,116.0,,False
9,-1.0,119.0,,False
10,-1.0,101.0,,False
11,-1.0,94.0,,False
12,-1.0,23.0,,False
13,-1.0,103.0,,False
14,-1.0,108.0,,False
15,-1.0,113.0,,False
16,-1.0,98.0,,False
17,0.0,95.0,95.0,True
18,1.0,95.0,95.0,True
19,2.0,102.0,102.0,True
20,3.0,114.0,114.0,True
21,4.0,102.0,102.0,True
22,5.0,118.0,118.0,True
23,6.0,101.0,101.0,True
24,7.0,114.0,114.0,True
25,9.0,90.0,-1.0,False
26,10.0,-1.0,90.0,False
27,11.0,105.0,-1.0,False
28,12.0,117.0,105.0,False
29,13.0,101.0,117.0,False
30,14.0,113.0,101.0,False
31,15.0,111.0,113.0,False
32,16.0,108.0,111.0,False
33,17.0,107.0,108.0,False
34,18.0,133.0,107.0,False
35,19.0,88.0,133.0,False
36,20.0,110.0,69.0,False
37,21.0,123.0,110.0,False
38,22.0,110.0,123.0,False
39,23.0,85.0,110.0,False
40,24.0,120.0,85.0,False
41,25.0,118.0,120.0,False
42,26.0,94.0,118.0,False
43,27.0,108.0,94.0,False
44,28.0,116.0,108.0,False
45,29.0,102.0,116.0,False
46,30.0,124.0,102.0,False
47,31.0,89.0,124.0,False
48,32.0,101.0,89.0,False
49,33.0,97.0,101.0,False
50,34.0,108.0,87.0,False
51,35.0,116.0,108.0,False
52,36.0,106.0,116.0,False
53,37.0,99.0,106.0,False
54,38.0,96.0,99.0,False
55,40.0,-1.0,96.0,False
56,41.0,105.0,126.0,False
57,42.0,112.0,-1.0,False
58,43.0,117.0,105.0,False
59,44.0,108.0,112.0,False
60,45.0,93.0,117.0,False
61,46.0,-1.0,-1.0,True
62,47.0,133.0,93.0,False
63,48.0,121.0,-1.0,False
64,49.0,99.0,133.0,False
65,50.0,107.0,121.0,False
66,51.0,-1.0,99.0,False
67,52.0,122.0,107.0,False
68,53.0,106.0,-1.0,False
69,54.0,-1.0,122.0,False
70,55.0,99.0,106.0,False
71,56.0,-1.0,-1.0,True
72,57.0,109.0,99.0,False
73,58.0,119.0,-1.0,False
74,59.0,128.0,109.0,False
75,60.0,98.0,119.0,False
76,61.0,-1.0,128.0,False
77,62.0,103.0,98.0,False
78,63.0,118.0,-1.0,False
79,64.0,121.0,103.0,False
80,65.0,101.0,-1.0,False
81,66.0,94.0,121.0,False
82,67.0,92.0,101.0,False
83,69.0,104.0,94.0,False
84,70.0,98.0,-1.0,False
85,71.0,119.0,111.0,False
86,72.0,120.0,104.0,False
87,73.0,-1.0,98.0,False
88,74.0,124.0,119.0,False
89,75.0,114.0,120.0,False
90,76.0,122.0,-1.0,False
91,77.0,122.0,124.0,False
92,78.0,-1.0,114.0,False
93,79.0,88.0,122.0,False
94,80.0,101.0,122.0,False
95,81.0,107.0,-1.0,False
96,83.0,88.0,88.0,True
97,84.0,109.0,101.0,False
98,85.0,105.0,107.0,False
99,86.0,104.0,120.0,False
100,87.0,119.0,88.0,False
101,88.0,105.0,109.0,False
102,89.0,97.0,105.0,False
103,90.0,107.0,104.0,False
104,91.0,-1.0,119.0,False
105,92.0,121.0,105.0,False
106,93.0,109.0,97.0,False
107,94.0,93.0,107.0,False
108,95.0,111.0,-1.0,False
109,96.0,135.0,121.0,False
110,97.0,103.0,109.0,False
111,98.0,110.0,93.0,False
112,99.0,110.0,111.0,False
113,100.0,116.0,135.0,False
114,101.0,97.0,103.0,False
115,102.0,101.0,110.0,False
116,103.0,-1.0,110.0,False
117,104.0,108.0,116.0,False
118,105.0,103.0,97.0,False
119,106.0,120.0,101.0,False
120,107.0,109.0,-1.0,False
121,108.0,95.0,108.0,False
122,109.0,98.0,103.0,False
123,110.0,109.0,120.0,False
124,111.0,103.0,-1.0,False
125,112.0,-1.0,95.0,False
126,113.0,111.0,98.0,False
127,114.0,100.0,109.0,False
128,115.0,98.0,103.0,False
129,116.0,102.0,-1.0,False
130,117.0,117.0,111.0,False
131,118.0,125.0,100.0,False
132,119.0,102.0,98.0,False
133,120.0,114.0,102.0,False
134,121.0,110.0,117.0,False
135,124.0,91.0,125.0,False
136,125.0,107.0,102.0,False
137,126.0,109.0,114.0,False
138,127.0,122.0,110.0,False
139,128.0,103.0,107.0,False
140,129.0,106.0,109.0,False
141,130.0,108.0,91.0,False
142,131.0,114.0,107.0,False
143,132.0,106.0,109.0,False
144,133.0,88.0,122.0,False
145,134.0,120.0,103.0,False
146,135.0,93.0,106.0,False
147,136.0,97.0,108.0,False
148,137.0,109.0,114.0,False
149,138.0,92.0,-1.0,False
150,139.0,101.0,-1.0,False
151,140.0,109.0,120.0,False
152,141.0,111.0,93.0,False
153,142.0,101.0,97.0,False
154,143.0,118.0,109.0,False
155,144.0,117.0,92.0,False
156,145.0,98.0,101.0,False
157,146.0,19.0,109.0,False
158,147.0,118.0,111.0,False
159,148.0,115.0,101.0,False
160,149.0,123.0,118.0,False
161,151.0,102.0,117.0,False
162,152.0,78.0,98.0,False
163,153.0,107.0,-1.0,False
164,154.0,106.0,118.0,False
165,156.0,50.0,115.0,False
166,157.0,119.0,123.0,False
167,158.0,104.0,114.0,False
168,159.0,98.0,102.0,False
169,160.0,119.0,78.0,False
170,161.0,-1.0,107.0,False
171,162.0,90.0,106.0,False
172,163.0,101.0,93.0,False
173,164.0,105.0,-1.0,False
174,165.0,129.0,119.0,False
175,166.0,121.0,104.0,False
176,167.0,93.0,98.0,False
177,168.0,105.0,119.0,False
178,169.0,103.0,-1.0,False
179,170.0,102.0,90.0,False
180,171.0,95.0,101.0,False
181,172.0,144.0,105.0,False
182,173.0,106.0,129.0,False
183,174.0,128.0,121.0,False
184,175.0,121.0,93.0,False
185,176.0,94.0,105.0,False
186,177.0,113.0,103.0,False
187,178.0,101.0,102.0,False
188,179.0,100.0,95.0,False
189,180.0,98.0,144.0,False
190,181.0,104.0,106.0,False
191,182.0,113.0,128.0,False
