,Game ID,Player Name,Assists,Total rebounds,Blocks,Steals
0,0,Nikola Vucevic,-1,15,-1,-1
1,0,Al Horford,4,13,-1,2
2,0,Jeff Teague,7,-1,-1,2
3,1,Giannis Antetokounmpo,0,12,-1,-1
4,1,Zaza Pachulia,0,14,-1,-1
5,1,Brandon Knight,5,-1,-1,-1
6,1,Kendall Marshall,0,-1,-1,-1
7,1,JR Smith,0,7,-1,-1
8,1,Cole Aldrich,-1,7,-1,-1
9,1,Tim Hardaway Jr.,4,7,-1,-1
10,1,Jason Smith,-1,0,-1,-1
11,2,Marc Gasol,6,5,-1,-1
12,2,Courtney Lee,-1,-1,-1,-1
13,2,Mike Conley,11,-1,-1,-1
14,2,Markieff Morris,0,5,-1,-1
15,2,Goran Dragic,-1,-1,-1,-1
16,2,Eric Bledsoe,4,5,-1,-1
17,2,Isaiah Thomas,2,0,-1,-1
18,3,Greg Monroe,8,16,-1,-1
19,3,Andre Drummond,-1,8,-1,-1
20,3,Kentavious Caldwell-Pope,0,3,-1,2
21,3,D.J. Augustin,8,-1,-1,-1
22,3,DeMar DeRozan,4,6,-1,-1
23,3,Amir Johnson,4,2,-1,-1
24,3,Greivis Vasquez,-1,-1,-1,-1
25,3,Lou Williams,0,-1,-1,-1
26,4,Tobias Harris,4,4,-1,1
27,4,Marcus Morris,2,8,-1,-1
28,4,Andre Drummond,2,17,2,4
29,4,Reggie Jackson,8,2,-1,2
30,4,Jabari Parker,3,5,0,0
31,4,Miles Plumlee,0,6,2,1
32,4,Khris Middleton,2,7,1,1
33,4,Greg Monroe,3,7,1,1
34,5,LeBron James,4,4,-1,-1
35,5,Kevin Love,4,13,-1,-1
36,5,Kyrie Irving,4,4,-1,-1
37,5,Jabari Parker,-1,-1,-1,-1
38,5,Michael Beasley,-1,-1,-1,-1
39,6,LeBron James,-1,-1,-1,-1
40,6,Kevin Love,-1,-1,-1,-1
41,6,JR Smith,-1,-1,-1,-1
42,6,Kyrie Irving,-1,-1,-1,-1
43,6,Kendrick Perkins,-1,-1,-1,-1
44,6,Kelly Olynyk,-1,-1,-1,-1
45,7,Giannis Antetokounmpo,-1,7,-1,-1
46,7,Jabari Parker,-1,-1,-1,-1
47,7,O.J. Mayo,-1,7,-1,-1
48,7,Jerryd Bayless,-1,-1,-1,-1
49,7,Kevin Durant,7,9,-1,-1
50,7,Serge Ibaka,-1,-1,-1,-1
51,7,Russell Westbrook,7,-1,-1,-1
52,7,Reggie Jackson,7,7,-1,-1
53,8,Carmelo Anthony,-1,-1,-1,-1
54,8,Kristaps Porzingis,-1,9,-1,-1
55,8,Courtney Lee,-1,9,-1,-1
56,8,Brandon Jennings,11,-1,-1,-1
57,8,Mindaugas Kuzminskas,-1,-1,-1,-1
58,8,Justin Holiday,-1,0,-1,-1
59,8,Tim Hardaway Jr.,-1,-1,-1,-1
60,8,Paul Millsap,-1,19,-1,-1
61,8,Dwight Howard,-1,13,-1,-1
62,8,Kent Bazemore,0,-1,-1,-1
63,8,Dennis Schroder,15,-1,-1,-1
64,8,Mike Dunleavy,-1,-1,-1,-1
65,9,Kevin Durant,10,8,-1,-1
66,9,Klay Thompson,11,7,-1,-1
67,9,Stephen Curry,11,-1,-1,-1
68,9,Blake Griffin,-1,-1,-1,3
69,9,Jamal Crawford,-1,-1,-1,-1
70,10,Carmelo Anthony,4,12,1,-1
71,10,Derrick Williams,1,9,1,2
72,10,Robin Lopez,2,8,2,-1
73,10,Jose Calderon,6,3,-1,1
74,10,Kobe Bryant,-1,2,-1,1
75,10,Jordan Clarkson,2,3,-1,3
76,10,D'Angelo Russell,2,2,-1,1
77,10,Lou Williams,5,1,-1,1
78,11,Giannis Antetokounmpo,-1,-1,-1,-1
79,11,Jabari Parker,-1,-1,-1,-1
80,11,John Henson,-1,0,-1,-1
81,11,Tony Snell,-1,-1,-1,-1
82,11,Matthew Dellavedova,-1,-1,-1,-1
83,11,Greg Monroe,-1,-1,-1,-1
84,11,DeMarre Carroll,-1,-1,-1,-1
85,11,Jonas Valanciunas,-1,13,-1,-1
86,11,Kyle Lowry,-1,-1,-1,-1
87,12,Andrew Wiggins,1,3,-1,2
88,12,Thaddeus Young,4,4,-1,2
89,12,Mo Williams,4,0,-1,1
90,12,Zach Randolph,1,13,1,-1
91,12,Marc Gasol,3,9,2,2
92,12,Courtney Lee,6,-1,-1,-1
93,12,Mike Conley,6,1,-1,1
94,13,Marcin Gortat,-1,16,-1,-1
95,13,Bradley Beal,-1,-1,-1,-1
96,13,Ramon Sessions,10,7,-1,-1
97,13,Thaddeus Young,-1,10,-1,-1
98,13,Brook Lopez,-1,9,-1,-1
99,13,Deron Williams,9,7,-1,-1
100,13,Bojan Bogdanovic,-1,-1,-1,-1
101,13,Jarrett Jack,-1,-1,-1,-1
102,14,Marcin Gortat,16,10,-1,-1
103,14,John Wall,13,5,-1,-1
104,14,Kobe Bryant,2,1,-1,-1
105,14,D'Angelo Russell,2,0,-1,-1
106,15,Rasual Butler,-1,7,-1,2
107,15,Ramon Sessions,6,-1,-1,-1
108,15,Kevin Seraphin,-1,12,3,-1
109,15,Martell Webster,-1,3,-1,-1
110,15,DeJuan Blair,-1,-1,-1,-1
111,15,Kevin Love,-1,3,-1,-1
112,15,Iman Shumpert,0,6,-1,2
113,15,Matthew Dellavedova,12,-1,-1,2
114,15,Tristan Thompson,-1,8,-1,-1
115,15,Kendrick Perkins,-1,-1,-1,-1
116,16,Kobe Bryant,-1,-1,-1,-1
117,16,Will Barton,-1,-1,-1,-1
118,17,Wesley Matthews,-1,6,-1,-1
119,17,Yogi Ferrell,-1,-1,-1,-1
120,17,Evan Turner,-1,0,-1,-1
121,17,Damian Lillard,-1,-1,-1,-1
122,18,Jonas Valanciunas,-1,8,-1,-1
123,18,DeMar DeRozan,1,3,-1,4
124,18,Kyle Lowry,3,2,-1,-1
125,18,Tyler Hansbrough,-1,-1,-1,-1
126,18,Greivis Vasquez,2,2,-1,1
127,18,James Johnson,-1,-1,-1,-1
128,18,Luol Deng,3,4,1,1
129,18,Shawne Williams,16,-1,-1,-1
130,18,Chris Bosh,4,11,-1,1
131,18,Dwyane Wade,7,11,2,-1
132,18,Mario Chalmers,3,0,0,0
133,19,Chris Paul,20,5,-1,3
134,19,Jamal Crawford,-1,-1,-1,-1
135,19,Marreese Speights,-1,-1,-1,-1
136,20,Nikola Vucevic,-1,12,-1,-1
137,20,Evan Fournier,-1,-1,-1,-1
138,20,Elfrid Payton,-1,12,-1,-1
139,20,Aaron Gordon,-1,0,-1,-1
140,20,Paul George,-1,-1,-1,-1
141,20,Thaddeus Young,-1,11,-1,-1
142,20,Monta Ellis,-1,-1,-1,-1
143,20,Jeff Teague,-1,0,-1,-1
144,20,CJ Miles,-1,-1,-1,-1
145,21,Dirk Nowitzki,6,10,1,1
146,21,Zaza Pachulia,0,10,-1,-1
147,21,Wesley Matthews,-1,0,-1,-1
148,21,Deron Williams,-1,-1,-1,-1
149,21,Raymond Felton,-1,-1,-1,-1
150,21,J.J. Barea,-1,-1,-1,-1
151,21,Jeff Green,3,7,2,0
152,21,Matt Barnes,3,7,-1,2
153,21,Marc Gasol,6,10,-1,-1
154,21,Mike Conley,6,4,-1,-1
155,21,Mario Chalmers,0,0,-1,-1
156,21,JaMychal Green,0,0,-1,-1
157,22,Ryan Anderson,-1,-1,-1,-1
158,22,James Harden,11,-1,-1,-1
159,22,Harrison Barnes,-1,-1,-1,-1
160,22,Dirk Nowitzki,-1,-1,-1,-1
161,23,Kenneth Faried,0,7,-1,-1
162,23,Arron Afflalo,-1,-1,-1,-1
