,title,director_name
2,Spider-Man,Sam Raimi
2,Spider-Man,Sam Raimi
2,Spider-Man,Sam Raimi
3,The BFG,Marc Forster
3,The BFG,Marc Forster
3,The BFG,Steven Spielberg
3,The BFG,Robert Zemeckis
3,The BFG,Robert Zemeckis
4,Slacker,Doug Liman
4,Slacker,Kevin Reynolds
5,Waking Ned,Martin Campbell
6,Salvador,Marc Forster
6,Salvador,Andrew Adamson
6,Salvador,Chris Weitz
6,Salvador,Martin Campbell
6,Salvador,Marc Forster
6,Salvador,Mike Newell
6,Salvador,Justin Lin
6,Salvador,Andrew Adamson
6,Salvador,Kevin Reynolds
8,Southpaw,Marc Forster
8,Southpaw,Marc Forster
9,Shine a Light,Sam Mendes
9,Shine a Light,Marc Forster
9,Shine a Light,Sam Mendes
9,Shine a Light,Martin Campbell
9,Shine a Light,Marc Forster
9,Shine a Light,Martin Scorsese
10,No Reservations,Marc Forster
10,No Reservations,Marc Forster
11,Mission to Mars,Martin Campbell
11,Mission to Mars,Justin Lin
11,Mission to Mars,Jon Favreau
11,Mission to Mars,Rob Cohen
11,Mission to Mars,Doug Liman
11,Mission to Mars,Jon Favreau
11,Mission to Mars,Jon Favreau
11,Mission to Mars,Rob Cohen
13,The Fisher King,Robert Zemeckis
13,The Fisher King,Robert Zemeckis
14,Transformers: Dark of the Moon,Michael Bay
14,Transformers: Dark of the Moon,Michael Bay
14,Transformers: Dark of the Moon,Michael Bay
15,The Call,Christopher Nolan
15,The Call,Marc Forster
15,The Call,Andrew Adamson
15,The Call,Peter Jackson
15,The Call,Peter Jackson
15,The Call,Chris Weitz
15,The Call,Peter Jackson
15,The Call,Peter Berg
15,The Call,Martin Campbell
15,The Call,McG
15,The Call,James Wan
15,The Call,Marc Forster
15,The Call,Mike Newell
15,The Call,Steven Spielberg
15,The Call,Justin Lin
15,The Call,Robert Zemeckis
15,The Call,Andrew Adamson
15,The Call,Christopher Nolan
15,The Call,Jon Favreau
15,The Call,Rob Cohen
15,The Call,David Ayer
15,The Call,Doug Liman
15,The Call,Kevin Reynolds
15,The Call,Jon Favreau
15,The Call,Jon Favreau
15,The Call,Robert Zemeckis
15,The Call,Christopher Nolan
15,The Call,Christopher Nolan
15,The Call,Peter Jackson
15,The Call,Rob Cohen
15,The Call,David Fincher
18,The Astronaut Farmer,Barry Sonnenfeld
18,The Astronaut Farmer,Barry Sonnenfeld
21,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson
21,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson
22,The Reader,Marc Forster
22,The Reader,Marc Forster
24,Light Sleeper,Marc Forster
24,Light Sleeper,Andrew Adamson
24,Light Sleeper,Barry Sonnenfeld
24,Light Sleeper,Chris Weitz
24,Light Sleeper,Peter Berg
24,Light Sleeper,Brett Ratner
24,Light Sleeper,Martin Campbell
24,Light Sleeper,Marc Forster
24,Light Sleeper,Mike Newell
24,Light Sleeper,Justin Lin
24,Light Sleeper,Brett Ratner
24,Light Sleeper,Andrew Adamson
24,Light Sleeper,Jon Favreau
24,Light Sleeper,Barry Sonnenfeld
24,Light Sleeper,Rob Cohen
24,Light Sleeper,Doug Liman
24,Light Sleeper,Kevin Reynolds
24,Light Sleeper,Jon Favreau
24,Light Sleeper,Jon Favreau
24,Light Sleeper,Rob Cohen
25,Saw,James Wan
26,Lake Placid,Barry Sonnenfeld
26,Lake Placid,Barry Sonnenfeld
30,Big Momma's House 2,McG
34,Superman Returns,Bryan Singer
34,Superman Returns,Bryan Singer
34,Superman Returns,Bryan Singer
34,Superman Returns,Bryan Singer
35,A Man Apart,Peter Berg
35,A Man Apart,Martin Campbell
35,A Man Apart,McG
35,A Man Apart,Justin Lin
35,A Man Apart,Rob Cohen
35,A Man Apart,David Ayer
35,A Man Apart,Kevin Reynolds
35,A Man Apart,Rob Cohen
37,Stolen,Gore Verbinski
37,Stolen,Sam Mendes
37,Stolen,Christopher Nolan
37,Stolen,Sam Raimi
37,Stolen,Zack Snyder
37,Stolen,Bryan Singer
37,Stolen,Marc Forster
37,Stolen,Gore Verbinski
37,Stolen,Gore Verbinski
37,Stolen,Zack Snyder
37,Stolen,Andrew Adamson
37,Stolen,Rob Marshall
37,Stolen,Barry Sonnenfeld
37,Stolen,Peter Jackson
37,Stolen,Ridley Scott
37,Stolen,Peter Jackson
37,Stolen,Chris Weitz
37,Stolen,Peter Jackson
37,Stolen,Peter Berg
37,Stolen,Sam Mendes
37,Stolen,Sam Raimi
37,Stolen,Brett Ratner
37,Stolen,Michael Bay
37,Stolen,Michael Bay
37,Stolen,Sam Raimi
37,Stolen,Martin Campbell
37,Stolen,McG
37,Stolen,James Wan
37,Stolen,Marc Forster
37,Stolen,Bryan Singer
37,Stolen,Bryan Singer
37,Stolen,Mike Newell
37,Stolen,Guillermo del Toro
37,Stolen,Michael Bay
37,Stolen,Steven Spielberg
37,Stolen,Justin Lin
37,Stolen,Brett Ratner
37,Stolen,Roland Emmerich
37,Stolen,Robert Zemeckis
37,Stolen,Lilly Wachowski
37,Stolen,Andrew Adamson
37,Stolen,Bryan Singer
37,Stolen,Christopher Nolan
37,Stolen,Jon Favreau
37,Stolen,Barry Sonnenfeld
37,Stolen,Rob Cohen
37,Stolen,David Ayer
37,Stolen,Tom Shadyac
37,Stolen,Doug Liman
37,Stolen,Kevin Reynolds
37,Stolen,Jon Favreau
37,Stolen,Jon Favreau
37,Stolen,Robert Zemeckis
37,Stolen,Roland Emmerich
37,Stolen,Christopher Nolan
37,Stolen,Christopher Nolan
37,Stolen,Peter Jackson
37,Stolen,Rob Cohen
37,Stolen,David Fincher
