,title,left,right,director_name
0,Aliens,Aliens,James Cameron,James Cameron
1,300,300,Zack Snyder,Zack Snyder
2,Dark Shadows,Dark Shadows,Tim Burton,Tim Burton
3,We Are Marshall,We Are Marshall,McG,McG
4,Rapa Nui,Rapa Nui,Mike Newell,Mike Newell
5,Bringing Out the Dead,Bringing Out the Dead,Martin Scorsese,Martin Scorsese
6,Edge of Tomorrow,Edge of Tomorrow,Doug Liman,Doug Liman
7,Fight Club,Fight Club,David Fincher,David Fincher
8,Real Steel,Real Steel,Shawn Levy,Shawn Levy
9,Hanna,Hanna,Joe Wright,Joe Wright
10,Legends of the Fall,Legends of the Fall,Edward Zwick,Edward Zwick
11,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",Ang Lee,Ang Lee
12,Be Cool,Be Cool,Robert Schwentke,Robert Schwentke
