,title,director_name
1,The Curse of the Jade Scorpion,Barry Sonnenfeld
1,The Curse of the Jade Scorpion,Barry Sonnenfeld
2,American Gangster,Ridley Scott
3,Romeo Must Die,Brett Ratner
3,Romeo Must Die,Justin Lin
3,Romeo Must Die,Brett Ratner
3,Romeo Must Die,Rob Cohen
3,Romeo Must Die,Rob Cohen
4,Man of the Year,Sam Mendes
4,Man of the Year,Bryan Singer
4,Man of the Year,Marc Forster
4,Man of the Year,Andrew Adamson
4,Man of the Year,Barry Sonnenfeld
4,Man of the Year,Ridley Scott
4,Man of the Year,Chris Weitz
4,Man of the Year,Peter Berg
4,Man of the Year,Sam Mendes
4,Man of the Year,Brett Ratner
4,Man of the Year,Martin Campbell
4,Man of the Year,McG
4,Man of the Year,James Wan
4,Man of the Year,Marc Forster
4,Man of the Year,Bryan Singer
4,Man of the Year,Bryan Singer
4,Man of the Year,Mike Newell
4,Man of the Year,Guillermo del Toro
4,Man of the Year,Steven Spielberg
4,Man of the Year,Justin Lin
4,Man of the Year,Brett Ratner
4,Man of the Year,Robert Zemeckis
4,Man of the Year,Andrew Adamson
4,Man of the Year,Bryan Singer
4,Man of the Year,Jon Favreau
4,Man of the Year,Barry Sonnenfeld
4,Man of the Year,Rob Cohen
4,Man of the Year,David Ayer
4,Man of the Year,Tom Shadyac
4,Man of the Year,Doug Liman
4,Man of the Year,Kevin Reynolds
4,Man of the Year,Jon Favreau
4,Man of the Year,Jon Favreau
4,Man of the Year,Robert Zemeckis
4,Man of the Year,Rob Cohen
4,Man of the Year,David Fincher
5,Cloud Atlas,Marc Forster
5,Cloud Atlas,Marc Forster
6,My Beautiful Laundrette,Mike Newell
8,Skyfall,Sam Mendes
8,Skyfall,Sam Mendes
9,The Pacifier,Andrew Adamson
9,The Pacifier,McG
9,The Pacifier,Andrew Adamson
9,The Pacifier,Rob Cohen
9,The Pacifier,Tom Shadyac
9,The Pacifier,Rob Cohen
