,title,director_name
0,Four Brothers,Marc Forster
0,Four Brothers,Peter Berg
0,Four Brothers,McG
0,Four Brothers,Marc Forster
0,Four Brothers,Justin Lin
0,Four Brothers,Rob Cohen
0,Four Brothers,David Ayer
0,Four Brothers,Rob Cohen
1,The Conjuring 2,James Wan
2,Insurgent,Sam Mendes
2,Insurgent,Christopher Nolan
2,Insurgent,Zack Snyder
2,Insurgent,Marc Forster
2,Insurgent,Zack Snyder
2,Insurgent,Ridley Scott
2,Insurgent,Peter Berg
2,Insurgent,Sam Mendes
2,Insurgent,Martin Campbell
2,Insurgent,McG
2,Insurgent,James Wan
2,Insurgent,Marc Forster
2,Insurgent,Justin Lin
2,Insurgent,Lilly Wachowski
2,Insurgent,Christopher Nolan
2,Insurgent,Jon Favreau
2,Insurgent,Rob Cohen
2,Insurgent,David Ayer
2,Insurgent,Doug Liman
2,Insurgent,Kevin Reynolds
2,Insurgent,Jon Favreau
2,Insurgent,Jon Favreau
2,Insurgent,Christopher Nolan
2,Insurgent,Christopher Nolan
2,Insurgent,Rob Cohen
4,Olympus Has Fallen,McG
5,Welcome to Mooseport,Barry Sonnenfeld
5,Welcome to Mooseport,Peter Berg
5,Welcome to Mooseport,Martin Campbell
5,Welcome to Mooseport,McG
5,Welcome to Mooseport,Barry Sonnenfeld
5,Welcome to Mooseport,Rob Cohen
5,Welcome to Mooseport,Rob Cohen
7,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg
8,Babe: Pig in the City,Peter Jackson
8,Babe: Pig in the City,Peter Jackson
8,Babe: Pig in the City,Peter Jackson
8,Babe: Pig in the City,Peter Jackson
11,Another Year,Sam Mendes
11,Another Year,Marc Forster
11,Another Year,Rob Marshall
11,Another Year,Peter Jackson
11,Another Year,Peter Jackson
11,Another Year,Chris Weitz
11,Another Year,Peter Jackson
11,Another Year,Peter Berg
11,Another Year,Sam Mendes
11,Another Year,Martin Campbell
11,Another Year,McG
11,Another Year,Marc Forster
11,Another Year,Mike Newell
11,Another Year,Justin Lin
11,Another Year,Roland Emmerich
11,Another Year,Lilly Wachowski
11,Another Year,Jon Favreau
11,Another Year,Rob Cohen
11,Another Year,David Ayer
11,Another Year,Doug Liman
11,Another Year,Kevin Reynolds
11,Another Year,Jon Favreau
11,Another Year,Jon Favreau
11,Another Year,Roland Emmerich
11,Another Year,Peter Jackson
11,Another Year,Rob Cohen
12,No Reservations,McG
12,No Reservations,Jon Favreau
12,No Reservations,Jon Favreau
12,No Reservations,Jon Favreau
13,Dragonfly,McG
13,Dragonfly,Lilly Wachowski
13,Dragonfly,Rob Cohen
13,Dragonfly,Doug Liman
13,Dragonfly,Rob Cohen
14,Basic,James Cameron
14,Basic,Gore Verbinski
14,Basic,Sam Mendes
14,Basic,Christopher Nolan
14,Basic,Sam Raimi
14,Basic,Zack Snyder
14,Basic,Bryan Singer
14,Basic,Marc Forster
14,Basic,Gore Verbinski
14,Basic,Gore Verbinski
14,Basic,Zack Snyder
14,Basic,Andrew Adamson
14,Basic,Rob Marshall
14,Basic,Barry Sonnenfeld
14,Basic,Peter Jackson
14,Basic,Ridley Scott
14,Basic,Peter Jackson
14,Basic,Chris Weitz
14,Basic,Peter Jackson
14,Basic,James Cameron
14,Basic,Peter Berg
14,Basic,Sam Mendes
14,Basic,Sam Raimi
14,Basic,Tim Burton
14,Basic,Brett Ratner
14,Basic,Sam Raimi
14,Basic,Martin Campbell
14,Basic,McG
14,Basic,James Wan
14,Basic,Marc Forster
14,Basic,Bryan Singer
14,Basic,Bryan Singer
14,Basic,Mike Newell
14,Basic,Guillermo del Toro
14,Basic,Steven Spielberg
14,Basic,Justin Lin
14,Basic,Brett Ratner
14,Basic,Roland Emmerich
14,Basic,Robert Zemeckis
14,Basic,Lilly Wachowski
14,Basic,Andrew Adamson
14,Basic,Bryan Singer
14,Basic,Christopher Nolan
14,Basic,Jon Favreau
14,Basic,Martin Scorsese
14,Basic,Barry Sonnenfeld
14,Basic,Rob Cohen
14,Basic,David Ayer
14,Basic,Tom Shadyac
14,Basic,Doug Liman
14,Basic,Kevin Reynolds
14,Basic,Jon Favreau
14,Basic,Jon Favreau
14,Basic,Robert Zemeckis
14,Basic,Roland Emmerich
14,Basic,Christopher Nolan
14,Basic,Christopher Nolan
14,Basic,Peter Jackson
14,Basic,Rob Cohen
14,Basic,David Fincher
17,War Horse,Sam Mendes
17,War Horse,Sam Mendes
17,War Horse,Steven Spielberg
18,Battleship,Gore Verbinski
18,Battleship,Marc Forster
18,Battleship,Gore Verbinski
18,Battleship,Gore Verbinski
18,Battleship,Barry Sonnenfeld
18,Battleship,Peter Berg
18,Battleship,McG
18,Battleship,James Wan
18,Battleship,Marc Forster
18,Battleship,Steven Spielberg
18,Battleship,Lilly Wachowski
18,Battleship,Barry Sonnenfeld
18,Battleship,Rob Cohen
18,Battleship,Doug Liman
18,Battleship,Kevin Reynolds
18,Battleship,Rob Cohen
20,Joe,Gore Verbinski
20,Joe,Sam Mendes
20,Joe,Christopher Nolan
20,Joe,Sam Raimi
20,Joe,Bryan Singer
20,Joe,Marc Forster
20,Joe,Gore Verbinski
20,Joe,Gore Verbinski
20,Joe,Andrew Adamson
20,Joe,Rob Marshall
20,Joe,Barry Sonnenfeld
20,Joe,Peter Jackson
20,Joe,Ridley Scott
20,Joe,Peter Jackson
20,Joe,Chris Weitz
20,Joe,Peter Jackson
20,Joe,Peter Berg
20,Joe,Sam Mendes
20,Joe,Sam Raimi
20,Joe,Tim Burton
20,Joe,Brett Ratner
20,Joe,Sam Raimi
20,Joe,Martin Campbell
20,Joe,McG
20,Joe,James Wan
20,Joe,Marc Forster
20,Joe,Bryan Singer
20,Joe,Bryan Singer
20,Joe,Mike Newell
20,Joe,Guillermo del Toro
20,Joe,Steven Spielberg
20,Joe,Justin Lin
20,Joe,Brett Ratner
20,Joe,Roland Emmerich
20,Joe,Robert Zemeckis
20,Joe,Lilly Wachowski
20,Joe,Andrew Adamson
20,Joe,Bryan Singer
20,Joe,Christopher Nolan
20,Joe,Jon Favreau
20,Joe,Martin Scorsese
20,Joe,Barry Sonnenfeld
20,Joe,Rob Cohen
20,Joe,David Ayer
20,Joe,Tom Shadyac
20,Joe,Doug Liman
20,Joe,Kevin Reynolds
20,Joe,Jon Favreau
20,Joe,Jon Favreau
20,Joe,Robert Zemeckis
20,Joe,Roland Emmerich
20,Joe,Christopher Nolan
20,Joe,Christopher Nolan
20,Joe,Peter Jackson
20,Joe,Rob Cohen
20,Joe,David Fincher
21,Silverado,McG
21,Silverado,Kevin Reynolds
22,The Cable Guy,Sam Raimi
22,The Cable Guy,Barry Sonnenfeld
22,The Cable Guy,Sam Raimi
22,The Cable Guy,Sam Raimi
22,The Cable Guy,Robert Zemeckis
22,The Cable Guy,Barry Sonnenfeld
22,The Cable Guy,Tom Shadyac
22,The Cable Guy,Robert Zemeckis
22,The Cable Guy,David Fincher
23,Death Becomes Her,Barry Sonnenfeld
23,Death Becomes Her,Tim Burton
23,Death Becomes Her,Barry Sonnenfeld
24,The Bridges of Madison County,McG
25,Texas Rangers,Peter Berg
25,Texas Rangers,Martin Campbell
25,Texas Rangers,McG
25,Texas Rangers,Kevin Reynolds
27,Medicine Man,Sam Raimi
27,Medicine Man,Marc Forster
27,Medicine Man,Sam Raimi
27,Medicine Man,Sam Raimi
27,Medicine Man,Martin Campbell
27,Medicine Man,McG
27,Medicine Man,Marc Forster
27,Medicine Man,Kevin Reynolds
29,Don't Say a Word,Marc Forster
29,Don't Say a Word,Rob Marshall
29,Don't Say a Word,Chris Weitz
29,Don't Say a Word,Peter Berg
29,Don't Say a Word,Brett Ratner
29,Don't Say a Word,Martin Campbell
29,Don't Say a Word,McG
29,Don't Say a Word,James Wan
29,Don't Say a Word,Marc Forster
29,Don't Say a Word,Mike Newell
29,Don't Say a Word,Brett Ratner
29,Don't Say a Word,Rob Cohen
29,Don't Say a Word,Tom Shadyac
29,Don't Say a Word,Doug Liman
29,Don't Say a Word,Kevin Reynolds
29,Don't Say a Word,Rob Cohen
30,The Debt,Gore Verbinski
30,The Debt,Sam Mendes
30,The Debt,Christopher Nolan
30,The Debt,Marc Forster
30,The Debt,Gore Verbinski
30,The Debt,Gore Verbinski
30,The Debt,Rob Marshall
30,The Debt,Ridley Scott
30,The Debt,Sam Mendes
30,The Debt,Martin Campbell
30,The Debt,McG
30,The Debt,Marc Forster
30,The Debt,Christopher Nolan
30,The Debt,Tom Shadyac
30,The Debt,Kevin Reynolds
30,The Debt,Christopher Nolan
30,The Debt,Christopher Nolan
30,The Debt,David Fincher
31,The Siege,Sam Mendes
31,The Siege,Ridley Scott
31,The Siege,Peter Berg
31,The Siege,Sam Mendes
31,The Siege,Martin Campbell
31,The Siege,McG
31,The Siege,David Ayer
31,The Siege,Doug Liman
31,The Siege,Kevin Reynolds
34,Gerry,Sam Mendes
34,Gerry,Bryan Singer
34,Gerry,Marc Forster
34,Gerry,Andrew Adamson
34,Gerry,Rob Marshall
34,Gerry,Barry Sonnenfeld
34,Gerry,Peter Jackson
34,Gerry,Peter Jackson
34,Gerry,Chris Weitz
34,Gerry,Peter Jackson
34,Gerry,Peter Berg
34,Gerry,Sam Mendes
34,Gerry,Tim Burton
34,Gerry,Brett Ratner
34,Gerry,Martin Campbell
34,Gerry,McG
34,Gerry,James Wan
34,Gerry,Marc Forster
34,Gerry,Bryan Singer
34,Gerry,Bryan Singer
34,Gerry,Mike Newell
34,Gerry,Guillermo del Toro
34,Gerry,Justin Lin
34,Gerry,Brett Ratner
34,Gerry,Roland Emmerich
34,Gerry,Robert Zemeckis
34,Gerry,Lilly Wachowski
34,Gerry,Andrew Adamson
34,Gerry,Bryan Singer
34,Gerry,Jon Favreau
34,Gerry,Martin Scorsese
34,Gerry,Barry Sonnenfeld
34,Gerry,Rob Cohen
34,Gerry,David Ayer
34,Gerry,Tom Shadyac
34,Gerry,Doug Liman
34,Gerry,Kevin Reynolds
34,Gerry,Jon Favreau
34,Gerry,Jon Favreau
34,Gerry,Robert Zemeckis
34,Gerry,Roland Emmerich
34,Gerry,Peter Jackson
34,Gerry,Rob Cohen
34,Gerry,David Fincher
35,Because of Winn-Dixie,Marc Forster
35,Because of Winn-Dixie,McG
35,Because of Winn-Dixie,Marc Forster
36,Epic Movie,McG
38,Home Alone,Robert Zemeckis
38,Home Alone,Robert Zemeckis
39,The Number 23,Marc Forster
39,The Number 23,Marc Forster
39,The Number 23,Brett Ratner
