,title,director_name
0,"I Love You, Beth Cooper",McG
0,"I Love You, Beth Cooper",Rob Cohen
0,"I Love You, Beth Cooper",Jon Turteltaub
0,"I Love You, Beth Cooper",Michael Apted
0,"I Love You, Beth Cooper",Shawn Levy
0,"I Love You, Beth Cooper",Robert Schwentke
1,The Pacifier,Andrew Adamson
1,The Pacifier,McG
1,The Pacifier,Rob Cohen
1,The Pacifier,Tom Shadyac
1,The Pacifier,Jon Turteltaub
1,The Pacifier,Shawn Levy
1,The Pacifier,Rob Minkoff
1,The Pacifier,Lee Tamahori
1,The Pacifier,Phillip Noyce
1,The Pacifier,Robert Schwentke
2,Ali,Marc Forster
2,Ali,Andrew Adamson
2,Ali,Rob Marshall
2,Ali,Ridley Scott
2,Ali,Chris Weitz
2,Ali,Peter Berg
2,Ali,Brett Ratner
2,Ali,Michael Bay
2,Ali,Martin Campbell
2,Ali,McG
2,Ali,James Wan
2,Ali,Mike Newell
2,Ali,Steven Spielberg
2,Ali,Justin Lin
2,Ali,Jon Favreau
2,Ali,Rob Cohen
2,Ali,David Ayer
2,Ali,Tom Shadyac
2,Ali,Doug Liman
2,Ali,Kevin Reynolds
2,Ali,David Fincher
2,Ali,Francis Lawrence
2,Ali,Jon Turteltaub
2,Ali,Wolfgang Petersen
2,Ali,Michael Apted
2,Ali,George Miller
2,Ali,Ron Howard
2,Ali,Jonathan Liebesman
2,Ali,M. Night Shyamalan
2,Ali,Joe Wright
2,Ali,Rob Minkoff
2,Ali,Lee Tamahori
2,Ali,Edward Zwick
2,Ali,Alex Proyas
2,Ali,Richard Donner
2,Ali,Jon M. Chu
2,Ali,Bill Condon
2,Ali,Louis Leterrier
2,Ali,Alejandro González Iñárritu
2,Ali,Paul Greengrass
2,Ali,Phillip Noyce
2,Ali,Robert Schwentke
3,Black Swan,Darren Aronofsky
4,Dark Shadows,Marc Forster
4,Dark Shadows,Barry Sonnenfeld
4,Dark Shadows,Tim Burton
4,Dark Shadows,Bill Condon
5,Think Like a Man Too,Jon M. Chu
6,The Sitter,McG
6,The Sitter,Lee Tamahori
6,The Sitter,Robert Schwentke
7,Spectre,Sam Mendes
7,Spectre,Martin Campbell
7,Spectre,Lee Tamahori
7,Spectre,Robert Schwentke
8,The Lucky One,Martin Campbell
8,The Lucky One,Rob Cohen
8,The Lucky One,Francis Lawrence
8,The Lucky One,Michael Apted
8,The Lucky One,Lee Tamahori
8,The Lucky One,Robert Schwentke
9,Beverly Hills Chihuahua,Rob Minkoff
10,Cirque du Freak: The Vampire's Assistant,Marc Forster
10,Cirque du Freak: The Vampire's Assistant,Andrew Adamson
10,Cirque du Freak: The Vampire's Assistant,Barry Sonnenfeld
10,Cirque du Freak: The Vampire's Assistant,Chris Weitz
10,Cirque du Freak: The Vampire's Assistant,Brett Ratner
10,Cirque du Freak: The Vampire's Assistant,Mike Newell
10,Cirque du Freak: The Vampire's Assistant,Rob Cohen
10,Cirque du Freak: The Vampire's Assistant,Kevin Reynolds
10,Cirque du Freak: The Vampire's Assistant,Michael Apted
10,Cirque du Freak: The Vampire's Assistant,Lee Tamahori
10,Cirque du Freak: The Vampire's Assistant,Louis Leterrier
10,Cirque du Freak: The Vampire's Assistant,Robert Schwentke
12,The Sixth Sense,M. Night Shyamalan
13,Shorts,Gore Verbinski
13,Shorts,Sam Mendes
