,title,director_name
0,The Ides of March,McG
1,Harry Potter and the Chamber of Secrets,Mike Newell
3,Bandits,Gore Verbinski
3,Bandits,Gore Verbinski
3,Bandits,Gore Verbinski
3,Bandits,Martin Campbell
3,Bandits,McG
3,Bandits,Justin Lin
3,Bandits,Lilly Wachowski
3,Bandits,David Ayer
3,Bandits,Doug Liman
3,Bandits,Kevin Reynolds
6,Salt,Marc Forster
6,Salt,Rob Marshall
6,Salt,Peter Berg
6,Salt,Martin Campbell
6,Salt,McG
6,Salt,Marc Forster
6,Salt,Mike Newell
6,Salt,Lilly Wachowski
6,Salt,Jon Favreau
6,Salt,Rob Cohen
6,Salt,Doug Liman
6,Salt,Kevin Reynolds
6,Salt,Jon Favreau
6,Salt,Jon Favreau
6,Salt,Rob Cohen
8,Space Cowboys,McG
