,title,director_name
2,300,Zack Snyder
3,Rapa Nui,Martin Campbell
3,Rapa Nui,Kevin Reynolds
3,Rapa Nui,Phillip Noyce
4,Trash,Gore Verbinski
4,Trash,Sam Mendes
4,Trash,Sam Raimi
4,Trash,Zack Snyder
4,Trash,Bryan Singer
4,Trash,Marc Forster
4,Trash,Andrew Adamson
4,Trash,Rob Marshall
4,Trash,Barry Sonnenfeld
4,Trash,Peter Jackson
4,Trash,Ridley Scott
4,Trash,Chris Weitz
4,Trash,Peter Berg
4,Trash,Tim Burton
4,Trash,Brett Ratner
4,Trash,Michael Bay
4,Trash,Martin Campbell
4,Trash,McG
4,Trash,James Wan
4,Trash,Mike Newell
4,Trash,Guillermo del Toro
4,Trash,Justin Lin
4,Trash,Robert Zemeckis
4,Trash,Jon Favreau
4,Trash,Martin Scorsese
4,Trash,Rob Cohen
4,Trash,David Ayer
4,Trash,Tom Shadyac
4,Trash,Doug Liman
4,Trash,Kevin Reynolds
4,Trash,David Fincher
4,Trash,Francis Lawrence
4,Trash,Jon Turteltaub
4,Trash,Wolfgang Petersen
4,Trash,Michael Apted
4,Trash,Oliver Stone
4,Trash,Shawn Levy
4,Trash,George Miller
4,Trash,Ron Howard
4,Trash,Kenneth Branagh
4,Trash,Jonathan Liebesman
4,Trash,Joe Wright
4,Trash,Rob Minkoff
4,Trash,Lee Tamahori
4,Trash,Edward Zwick
4,Trash,Alex Proyas
4,Trash,Richard Donner
4,Trash,Ang Lee
4,Trash,Jon M. Chu
4,Trash,Bill Condon
4,Trash,Louis Leterrier
4,Trash,Alejandro González Iñárritu
4,Trash,Phillip Noyce
4,Trash,Darren Aronofsky
4,Trash,Chris Columbus
4,Trash,Robert Schwentke
6,Capricorn One,Kevin Reynolds
6,Capricorn One,Michael Apted
7,Bringing Out the Dead,Martin Scorsese
8,"Crouching Tiger, Hidden Dragon",Ang Lee
10,Dirty Pretty Things,Marc Forster
10,Dirty Pretty Things,Chris Weitz
10,Dirty Pretty Things,Michael Apted
11,Be Cool,Barry Sonnenfeld
11,Be Cool,Brett Ratner
11,Be Cool,McG
11,Be Cool,Mike Newell
11,Be Cool,Jon Favreau
11,Be Cool,Rob Cohen
11,Be Cool,Jon Turteltaub
11,Be Cool,Michael Apted
11,Be Cool,Rob Minkoff
11,Be Cool,Lee Tamahori
11,Be Cool,Louis Leterrier
11,Be Cool,Robert Schwentke
13,The Hoax,Gore Verbinski
13,The Hoax,Sam Mendes
13,The Hoax,Bryan Singer
13,The Hoax,Marc Forster
13,The Hoax,Andrew Adamson
13,The Hoax,Barry Sonnenfeld
13,The Hoax,Peter Jackson
13,The Hoax,Chris Weitz
13,The Hoax,Peter Berg
13,The Hoax,Brett Ratner
13,The Hoax,Martin Campbell
13,The Hoax,McG
13,The Hoax,James Wan
13,The Hoax,Mike Newell
13,The Hoax,Justin Lin
13,The Hoax,Robert Zemeckis
13,The Hoax,Lilly Wachowski
13,The Hoax,Jon Favreau
13,The Hoax,Rob Cohen
13,The Hoax,David Ayer
13,The Hoax,Tom Shadyac
13,The Hoax,Doug Liman
13,The Hoax,Kevin Reynolds
13,The Hoax,Francis Lawrence
13,The Hoax,Jon Turteltaub
13,The Hoax,Wolfgang Petersen
13,The Hoax,Michael Apted
13,The Hoax,Ron Howard
13,The Hoax,Kenneth Branagh
13,The Hoax,Jonathan Liebesman
13,The Hoax,M. Night Shyamalan
13,The Hoax,Joe Wright
13,The Hoax,Rob Minkoff
13,The Hoax,Lee Tamahori
13,The Hoax,Edward Zwick
13,The Hoax,Alex Proyas
13,The Hoax,Richard Donner
13,The Hoax,Jon M. Chu
13,The Hoax,Bill Condon
13,The Hoax,Louis Leterrier
13,The Hoax,Phillip Noyce
13,The Hoax,Robert Schwentke
14,Edge of Tomorrow,Doug Liman
15,Chasing Mavericks,Rob Cohen
15,Chasing Mavericks,Kevin Reynolds
15,Chasing Mavericks,Michael Apted
17,We Are Marshall,Peter Berg
17,We Are Marshall,McG
17,We Are Marshall,Michael Apted
18,Brazil,Peter Berg
18,Brazil,McG
20,Real Steel,Rob Cohen
20,Real Steel,Shawn Levy
21,Romeo Must Die,Brett Ratner
21,Romeo Must Die,Justin Lin
21,Romeo Must Die,Rob Cohen
23,Nutty Professor II: The Klumps,Brett Ratner
23,Nutty Professor II: The Klumps,Tom Shadyac
24,Rock of Ages,Jon M. Chu
25,Are We There Yet?,Andrew Adamson
25,Are We There Yet?,Barry Sonnenfeld
25,Are We There Yet?,McG
25,Are We There Yet?,Justin Lin
25,Are We There Yet?,Rob Cohen
25,Are We There Yet?,Jon Turteltaub
25,Are We There Yet?,Michael Apted
25,Are We There Yet?,Shawn Levy
25,Are We There Yet?,George Miller
25,Are We There Yet?,Jonathan Liebesman
25,Are We There Yet?,Rob Minkoff
25,Are We There Yet?,Lee Tamahori
25,Are We There Yet?,Richard Donner
25,Are We There Yet?,Jon M. Chu
25,Are We There Yet?,Chris Columbus
25,Are We There Yet?,Robert Schwentke
26,Max Keeble's Big Move,McG
26,Max Keeble's Big Move,Rob Cohen
26,Max Keeble's Big Move,Tom Shadyac
26,Max Keeble's Big Move,Jon Turteltaub
26,Max Keeble's Big Move,Shawn Levy
26,Max Keeble's Big Move,Rob Minkoff
27,Dark Shadows,Marc Forster
27,Dark Shadows,Barry Sonnenfeld
27,Dark Shadows,Tim Burton
27,Dark Shadows,Bill Condon
28,Hanna,Marc Forster
28,Hanna,Andrew Adamson
28,Hanna,Chris Weitz
28,Hanna,Martin Campbell
28,Hanna,McG
28,Hanna,Mike Newell
28,Hanna,Rob Cohen
28,Hanna,Doug Liman
28,Hanna,Michael Apted
28,Hanna,Jonathan Liebesman
28,Hanna,Joe Wright
28,Hanna,Lee Tamahori
28,Hanna,Bill Condon
28,Hanna,Phillip Noyce
28,Hanna,Robert Schwentke
29,The Weather Man,Gore Verbinski
29,The Weather Man,Marc Forster
29,The Weather Man,Barry Sonnenfeld
29,The Weather Man,Martin Campbell
29,The Weather Man,McG
29,The Weather Man,Mike Newell
29,The Weather Man,Jon Favreau
29,The Weather Man,Tom Shadyac
29,The Weather Man,Kevin Reynolds
29,The Weather Man,Jon Turteltaub
29,The Weather Man,Michael Apted
29,The Weather Man,Rob Minkoff
29,The Weather Man,Lee Tamahori
29,The Weather Man,Edward Zwick
29,The Weather Man,Robert Schwentke
31,The Best Man,Chris Weitz
31,The Best Man,McG
31,The Best Man,Mike Newell
31,The Best Man,Michael Apted
31,The Best Man,Lee Tamahori
31,The Best Man,Jon M. Chu
31,The Best Man,Bill Condon
31,The Best Man,Robert Schwentke
33,Shooter,Sam Mendes
33,Shooter,Christopher Nolan
33,Shooter,Zack Snyder
33,Shooter,Marc Forster
33,Shooter,Andrew Adamson
33,Shooter,Barry Sonnenfeld
33,Shooter,Ridley Scott
33,Shooter,Chris Weitz
33,Shooter,Peter Berg
33,Shooter,Brett Ratner
33,Shooter,Michael Bay
33,Shooter,Martin Campbell
33,Shooter,McG
33,Shooter,James Wan
33,Shooter,Mike Newell
33,Shooter,Justin Lin
33,Shooter,Robert Zemeckis
33,Shooter,Jon Favreau
33,Shooter,Rob Cohen
33,Shooter,David Ayer
33,Shooter,Tom Shadyac
33,Shooter,Doug Liman
33,Shooter,Kevin Reynolds
33,Shooter,David Fincher
33,Shooter,Francis Lawrence
33,Shooter,Jon Turteltaub
33,Shooter,Wolfgang Petersen
33,Shooter,Michael Apted
33,Shooter,Oliver Stone
33,Shooter,Jonathan Liebesman
33,Shooter,Joe Wright
33,Shooter,Lee Tamahori
33,Shooter,Edward Zwick
33,Shooter,Alex Proyas
33,Shooter,Richard Donner
33,Shooter,Jon M. Chu
33,Shooter,Bill Condon
33,Shooter,Louis Leterrier
33,Shooter,Paul Greengrass
33,Shooter,Phillip Noyce
33,Shooter,Robert Schwentke
34,Darling Companion,Marc Forster
34,Darling Companion,Andrew Adamson
34,Darling Companion,Chris Weitz
34,Darling Companion,Mike Newell
34,Darling Companion,Kevin Reynolds
34,Darling Companion,Jon Turteltaub
34,Darling Companion,Michael Apted
34,Darling Companion,Rob Minkoff
34,Darling Companion,Edward Zwick
34,Darling Companion,Bill Condon
34,Darling Companion,Robert Schwentke
35,Salt,Sam Mendes
35,Salt,Bryan Singer
35,Salt,Marc Forster
35,Salt,Andrew Adamson
35,Salt,Barry Sonnenfeld
35,Salt,Ridley Scott
35,Salt,Chris Weitz
35,Salt,Peter Berg
