,title,director_name
0,Hanna,Marc Forster
0,Hanna,Andrew Adamson
0,Hanna,Chris Weitz
0,Hanna,Martin Campbell
0,Hanna,McG
0,Hanna,Mike Newell
0,Hanna,Rob Cohen
0,Hanna,Doug Liman
0,Hanna,Michael Apted
0,Hanna,Jonathan Liebesman
0,Hanna,Joe Wright
0,Hanna,Lee Tamahori
0,Hanna,Bill Condon
0,Hanna,Phillip Noyce
0,Hanna,Robert Schwentke
1,Jumper,Christopher Nolan
1,Jumper,Bryan Singer
1,Jumper,Marc Forster
1,Jumper,Andrew Adamson
1,Jumper,Chris Weitz
1,Jumper,Peter Berg
1,Jumper,Michael Bay
1,Jumper,Martin Campbell
1,Jumper,McG
1,Jumper,Mike Newell
1,Jumper,Justin Lin
1,Jumper,Robert Zemeckis
1,Jumper,Jon Favreau
1,Jumper,Rob Cohen
1,Jumper,David Ayer
1,Jumper,Doug Liman
1,Jumper,Kevin Reynolds
1,Jumper,Francis Lawrence
1,Jumper,Jon Turteltaub
1,Jumper,Michael Apted
1,Jumper,Shawn Levy
1,Jumper,Jonathan Liebesman
1,Jumper,Joe Wright
1,Jumper,Rob Minkoff
1,Jumper,Lee Tamahori
1,Jumper,Alex Proyas
1,Jumper,Richard Donner
1,Jumper,Jon M. Chu
1,Jumper,Bill Condon
1,Jumper,Louis Leterrier
1,Jumper,Phillip Noyce
1,Jumper,Chris Columbus
1,Jumper,Robert Schwentke
3,Orphan,Marc Forster
3,Orphan,Martin Campbell
3,Orphan,McG
3,Orphan,James Wan
3,Orphan,Francis Lawrence
3,Orphan,Michael Apted
3,Orphan,Jonathan Liebesman
3,Orphan,Lee Tamahori
3,Orphan,Louis Leterrier
3,Orphan,Phillip Noyce
3,Orphan,Robert Schwentke
4,Spider-Man,Sam Raimi
5,Batman Begins,Christopher Nolan
6,Payback,Sam Mendes
6,Payback,Christopher Nolan
6,Payback,Zack Snyder
6,Payback,Bryan Singer
6,Payback,Marc Forster
6,Payback,Andrew Adamson
6,Payback,Rob Marshall
6,Payback,Peter Jackson
6,Payback,Ridley Scott
6,Payback,Chris Weitz
6,Payback,Peter Berg
6,Payback,Brett Ratner
6,Payback,Michael Bay
6,Payback,Martin Campbell
6,Payback,McG
6,Payback,James Wan
6,Payback,Mike Newell
6,Payback,Justin Lin
6,Payback,Jon Favreau
6,Payback,Rob Cohen
6,Payback,David Ayer
6,Payback,Tom Shadyac
6,Payback,Doug Liman
6,Payback,Kevin Reynolds
6,Payback,David Fincher
6,Payback,Francis Lawrence
6,Payback,Jon Turteltaub
6,Payback,Wolfgang Petersen
6,Payback,Michael Apted
6,Payback,George Miller
6,Payback,Ron Howard
6,Payback,Jonathan Liebesman
6,Payback,Joe Wright
6,Payback,Rob Minkoff
6,Payback,Lee Tamahori
6,Payback,Edward Zwick
6,Payback,Alex Proyas
6,Payback,Richard Donner
6,Payback,Jon M. Chu
6,Payback,Bill Condon
6,Payback,Louis Leterrier
6,Payback,Alejandro González Iñárritu
6,Payback,Phillip Noyce
6,Payback,Darren Aronofsky
6,Payback,Chris Columbus
6,Payback,Robert Schwentke
7,The Fisher King,Robert Zemeckis
9,Peggy Sue Got Married,Robert Zemeckis
9,Peggy Sue Got Married,Michael Apted
9,Peggy Sue Got Married,Ron Howard
