title,director_name
The Waterboy,Frank Coraci
Aliens,James Cameron
300,Zack Snyder
Rapa Nui,Kevin Reynolds
Trash,Stephen Daldry
House of Flying Daggers,Zhang Yimou
Capricorn One,Peter Hyams
Bringing Out the Dead,Martin Scorsese
"Crouching Tiger, Hidden Dragon",Ang Lee
Contagion,Steven Soderbergh
Dirty Pretty Things,Stephen Frears
Be Cool,F. Gary Gray
Mulholland Drive,David Lynch
The Hoax,Lasse Hallström
Edge of Tomorrow,Doug Liman
Chasing Mavericks,Curtis Hanson
The Hours,Stephen Daldry
We Are Marshall,McG
Brazil,Terry Gilliam
Pretty Woman,Garry Marshall
Real Steel,Shawn Levy
Romeo Must Die,Andrzej Bartkowiak
Elizabethtown,Cameron Crowe
Nutty Professor II: The Klumps,Peter Segal
Rock of Ages,Adam Shankman
Are We There Yet?,Brian Levant
Max Keeble's Big Move,Tim Hill
Dark Shadows,Tim Burton
Hanna,Joe Wright
The Weather Man,Gore Verbinski
Before Midnight,Richard Linklater
The Best Man,Malcolm D. Lee
Vanilla Sky,Cameron Crowe
Shooter,Antoine Fuqua
Darling Companion,Lawrence Kasdan
Salt,Phillip Noyce
Fight Club,David Fincher
El Mariachi,Robert Rodriguez
Tears of the Sun,Antoine Fuqua
Legends of the Fall,Edward Zwick
