title,director_name
Closer,Mike Nichols
Miracle at St. Anna,Spike Lee
Letters to Juliet,Gary Winick
Space Cowboys,Clint Eastwood
Cloud Atlas,Tom Tykwer
The Guilt Trip,Anne Fletcher
Vera Drake,Mike Leigh
American Outlaws,Les Mayfield
House of Flying Daggers,Zhang Yimou
Flags of Our Fathers,Clint Eastwood
Kindergarten Cop,Ivan Reitman
Jack the Giant Slayer,Bryan Singer
Scary Movie 3,David Zucker
Dangerous Liaisons,Stephen Frears
Lucky You,Curtis Hanson
Kingdom of Heaven,Ridley Scott
The Howling,Joe Dante
Twins,Ivan Reitman
Thor,Kenneth Branagh
Deck the Halls,John Whitesell
