"Game ID","player_name","points","assists","rebounds","steals","blocks"
"0","Al Horford","17","4","13","2","0"
"0","Kyle Korver","17","4","13","2","0"
"0","Jeff Teague","17","7","0","2","0"
"0","Nikola Vucevic","21","0","15","0","0"
"0","Aaron Gordon","17","4","13","2","0"
"0","Evan Fournier","17","4","13","2","0"
"1","Brandon Knight","17","5","0","0","0"
"1","Zaza Pachulia","16","4","14","0","0"
"1","Giannis Antetokounmpo","16","12","12","0","0"
"1","Kendall Marshall","15","3","0","0","0"
"1","Tim Hardaway Jr","17","4","7","0","0"
"1","J.R. Smith","15","7","14","0","0"
"1","Cole Aldrich","12","0","7","0","0"
"1","Jason Smith","10","0","7","0","0"
"2","Courtney Lee","22","0","0","0","0"
"2","Mike Conley","24","11","0","0","0"
"2","Marc Gasol","18","6","5","0","0"
"2","Eric Bledsoe","23","4","5","0","0"
"2","Goran Dragic","6","0","5","0","0"
"2","Isaiah Thomas","15","2","0","0","0"
"2","Markieff Morris","20","0","5","0","0"
"3","DeMar DeRozan","25","4","6","0","0"
"3","Jonas Valanciunas","20","4","11","3","3"
"3","Amir Johnson","17","0","2","0","0"
"3","Greivis Vasquez","13","0","3","2","0"
"3","Louis Williams","12","0","0","2","0"
"3","D.J. Augustin","35","8","0","0","0"
"3","Greg Monroe","21","0","16","0","0"
"3","Andre Drummond","14","8","8","0","0"
"3","Kentavious Caldwell-Pope","16","2","3","2","0"
"4","Reggie Jackson","22","8","2","2","0"
"4","Andre Drummond","15","2","17","4","2"
"4","Marcus Morris","20","null","8","2","0"
"4","Tobias Harris","15","4","4","1","0"
"4","Khris Middleton","26","null","7","1","1"
"4","Jabari Parker","13","3","5","1","2"
"4","Miles Plumlee","10","0","6","1","2"
"4","Greg Monroe","10","3","7","1","1"
"5","Giannis Antetokounmpo","34","null","12","5","2"
"5","Jabari Parker","18","0","0","0","0"
"5","Michael Beasley","17","0","0","0","0"
"5","LeBron James","22","4","4","0","0"
"5","Kyrie Irving","20","4","13","0","0"
"5","Kevin Love","13","4","13","0","0"
"6","LeBron James","46","0","0","0","0"
"6","Kyrie Irving","0","0","0","0","0"
"6","Kevin Love","0","0","0","0","0"
"6","Kelly Olynyk","0","0","0","0","0"
"6","Kendrick Perkins","0","0","0","0","0"
"6","Jae Crowder","0","0","0","0","0"
"6","J.R. Smith","0","0","0","0","0"
"7","Kevin Durant","28","7","9","0","0"
"7","Russell Westbrook","28","7","9","0","0"
"7","Serge Ibaka","15","0","9","0","0"
"7","Reggie Jackson","18","7","7","0","0"
"7","O.J. Mayo","18","0","7","0","0"
"7","Giannis Antetokounmpo","17","7","7","0","0"
"7","Jabari Parker","15","0","7","0","0"
"7","Jarryd Bayless","11","7","7","0","0"
"8","Carmelo Anthony","45","0","0","0","0"
"8","Brandon Jennings","0","11","0","0","0"
"8","Courtney Lee","17","0","9","0","0"
"8","Kristaps Porzingis","15","0","0","0","0"
"8","Justin Holiday","15","0","0","0","0"
"8","Mindaugas Kuzminskas","13","0","0","0","0"
"8","Kyle O'Quinn","8","0","13","0","0"
"8","Joakim Noah","8","0","26","0","0"
"8","Paul Millsap","37","19","19","0","0"
"8","Kent Bazemore","24","0","0","0","0"
"8","Dennis Schroder","23","15","0","0","0"
"8","Dwight Howard","19","0","13","0","0"
"8","Tim Hardaway","19","0","0","0","0"
"8","Mike Dunleavy","0","0","0","0","0"
"9","Steph Curry","29","11","0","0","0"
"9","Kevin Durant","26","10","8","0","0"
"9","Klay Thompson","21","0","7","0","0"
"9","Blake Griffin","31","0","0","3","0"
"9","Jamal Crawford","21","0","0","3","0"
"9","Draymond Green","29","11","8","0","0"
"9","Chris Paul","29","11","8","0","0"
"10","Carmelo Anthony","26","4","12","1","1"
"10","Jose Calderon","9","6","3","1","1"
"10","Kobe Bryant","14","0","2","1","0"
"10","Jordan Clarkson","12","2","3","3","1"
"10","D'Angelo Russell","4","2","2","1","1"
"10","Lou Williams","15","5","1","1","0"
"10","Robin Lopez","16","2","8","2","2"
"10","Derrick Williams","8","1","9","2","1"
"10","Kristaps Porzingis","26","4","12","1","1"
"11","DeMar DeRozan","0","0","0","0","0"
"11","Terrence Ross","15","0","0","0","0"
"11","Kyle Lowry","18","0","0","0","0"
"11","DeMarre Carroll","13","0","13","0","0"
"11","Jonas Valanciunas","11","0","13","0","0"
"11","Giannis Antetokounmpo","30","0","0","0","0"
